ID,OwnerOrTenant,HouseholdCharacteristics,DwellingCharacteristics,Accuracy,Periods,TotalHousingCosts_1,NetRentOrMortgage_2,AdditionalHousingCosts_3,HousingCostRatio_4,NonSkewedRent_5,SkewedTowardsCheapRent_6,SkewedTowardsExpensiveRent_7
1149,T001096,A025399,ZW10414,MBG0095,2015JJ00,728.0,528.0,203.0,30.7,,,
1150,T001096,A025399,ZW10414,MBG0095,2018JJ00,721.0,523.0,200.0,29.6,,,
1151,T001096,A025399,ZW10414,MBG0095,2021JJ00,700.0,513.0,189.0,26.2,,,
1152,T001096,A025399,ZW10415,MW00000,2012JJ00,819.0,633.0,187.0,33.2,,,
1153,T001096,A025399,ZW10415,MW00000,2015JJ00,805.0,625.0,179.0,34.1,,,
1154,T001096,A025399,ZW10415,MW00000,2018JJ00,792.0,608.0,185.0,31.5,,,
1155,T001096,A025399,ZW10415,MW00000,2021JJ00,804.0,633.0,171.0,28.8,,,
1156,T001096,A025399,ZW10415,MOG0095,2012JJ00,765.0,580.0,182.0,31.5,,,
1157,T001096,A025399,ZW10415,MOG0095,2015JJ00,770.0,592.0,175.0,32.8,,,
1158,T001096,A025399,ZW10415,MOG0095,2018JJ00,763.0,579.0,181.0,30.3,,,
1159,T001096,A025399,ZW10415,MOG0095,2021JJ00,773.0,604.0,167.0,27.6,,,
1160,T001096,A025399,ZW10415,MBG0095,2012JJ00,874.0,685.0,192.0,34.9,,,
1161,T001096,A025399,ZW10415,MBG0095,2015JJ00,839.0,659.0,183.0,35.5,,,
1162,T001096,A025399,ZW10415,MBG0095,2018JJ00,822.0,636.0,189.0,32.7,,,
1163,T001096,A025399,ZW10415,MBG0095,2021JJ00,835.0,663.0,175.0,29.9,,,
1164,T001096,A025399,ZW10270,MW00000,2012JJ00,685.0,454.0,231.0,28.6,,,
1165,T001096,A025399,ZW10270,MW00000,2015JJ00,684.0,462.0,223.0,27.9,,,
1166,T001096,A025399,ZW10270,MW00000,2018JJ00,685.0,467.0,218.0,28.1,,,
1167,T001096,A025399,ZW10270,MW00000,2021JJ00,686.0,478.0,208.0,25.3,,,
1168,T001096,A025399,ZW10270,MOG0095,2012JJ00,670.0,440.0,229.0,28.2,,,
1169,T001096,A025399,ZW10270,MOG0095,2015JJ00,674.0,452.0,221.0,27.5,,,
1170,T001096,A025399,ZW10270,MOG0095,2018JJ00,675.0,458.0,216.0,27.7,,,
1171,T001096,A025399,ZW10270,MOG0095,2021JJ00,675.0,468.0,206.0,24.8,,,
1172,T001096,A025399,ZW10270,MBG0095,2012JJ00,699.0,467.0,233.0,29.1,,,
1173,T001096,A025399,ZW10270,MBG0095,2015JJ00,694.0,471.0,225.0,28.3,,,
1174,T001096,A025399,ZW10270,MBG0095,2018JJ00,695.0,477.0,219.0,28.5,,,
1175,T001096,A025399,ZW10270,MBG0095,2021JJ00,696.0,488.0,209.0,25.7,,,
1176,T001096,A025399,ZW10280,MW00000,2012JJ00,607.0,441.0,166.0,32.2,,,
1177,T001096,A025399,ZW10280,MW00000,2015JJ00,645.0,480.0,165.0,33.5,,,
1178,T001096,A025399,ZW10280,MW00000,2018JJ00,649.0,483.0,167.0,32.7,,,
1179,T001096,A025399,ZW10280,MW00000,2021JJ00,654.0,502.0,151.0,31.0,,,
1180,T001096,A025399,ZW10280,MOG0095,2012JJ00,591.0,426.0,163.0,31.4,,,
1181,T001096,A025399,ZW10280,MOG0095,2015JJ00,631.0,467.0,162.0,32.7,,,
1182,T001096,A025399,ZW10280,MOG0095,2018JJ00,635.0,469.0,164.0,32.0,,,
1183,T001096,A025399,ZW10280,MOG0095,2021JJ00,636.0,485.0,149.0,30.2,,,
1184,T001096,A025399,ZW10280,MBG0095,2012JJ00,623.0,456.0,168.0,33.0,,,
1185,T001096,A025399,ZW10280,MBG0095,2015JJ00,659.0,493.0,167.0,34.2,,,
1186,T001096,A025399,ZW10280,MBG0095,2018JJ00,664.0,497.0,169.0,33.4,,,
1187,T001096,A025399,ZW10280,MBG0095,2021JJ00,671.0,520.0,154.0,31.9,,,
1188,T001096,A025399,T001100,MW00000,2012JJ00,667.0,451.0,216.0,29.4,,,
1189,T001096,A025399,T001100,MW00000,2015JJ00,675.0,466.0,210.0,29.2,,,
1190,T001096,A025399,T001100,MW00000,2018JJ00,677.0,471.0,206.0,29.2,,,
1191,T001096,A025399,T001100,MW00000,2021JJ00,678.0,484.0,194.0,26.6,,,
1192,T001096,A025399,T001100,MOG0095,2012JJ00,656.0,440.0,214.0,29.0,,,
1193,T001096,A025399,T001100,MOG0095,2015JJ00,667.0,458.0,208.0,28.8,,,
1194,T001096,A025399,T001100,MOG0095,2018JJ00,669.0,463.0,205.0,28.8,,,
1195,T001096,A025399,T001100,MOG0095,2021JJ00,669.0,475.0,193.0,26.2,,,
1196,T001096,A025399,T001100,MBG0095,2012JJ00,679.0,462.0,218.0,29.8,,,
1197,T001096,A025399,T001100,MBG0095,2015JJ00,684.0,474.0,211.0,29.5,,,
1198,T001096,A025399,T001100,MBG0095,2018JJ00,685.0,479.0,207.0,29.5,,,
1199,T001096,A025399,T001100,MBG0095,2021JJ00,687.0,493.0,196.0,27.0,,,
1200,T001096,A025399,ZW10290,MW00000,2012JJ00,691.0,456.0,235.0,28.4,,,
1201,T001096,A025399,ZW10290,MW00000,2015JJ00,689.0,463.0,226.0,27.5,,,
1202,T001096,A025399,ZW10290,MW00000,2018JJ00,687.0,465.0,222.0,27.7,,,
1203,T001096,A025399,ZW10290,MW00000,2021JJ00,691.0,479.0,212.0,24.9,,,
1204,T001096,A025399,ZW10290,MOG0095,2012JJ00,676.0,442.0,233.0,27.9,,,
1205,T001096,A025399,ZW10290,MOG0095,2015JJ00,678.0,453.0,225.0,27.1,,,
1206,T001096,A025399,ZW10290,MOG0095,2018JJ00,677.0,456.0,220.0,27.2,,,
1207,T001096,A025399,ZW10290,MOG0095,2021JJ00,680.0,468.0,210.0,24.4,,,
1208,T001096,A025399,ZW10290,MBG0095,2012JJ00,706.0,470.0,238.0,28.8,,,
1209,T001096,A025399,ZW10290,MBG0095,2015JJ00,700.0,472.0,228.0,27.9,,,
1210,T001096,A025399,ZW10290,MBG0095,2018JJ00,698.0,475.0,224.0,28.1,,,
1211,T001096,A025399,ZW10290,MBG0095,2021JJ00,702.0,489.0,214.0,25.3,,,
1212,T001096,A025399,ZW10320,MW00000,2012JJ00,840.0,555.0,285.0,28.3,,,
1213,T001096,A025399,ZW10320,MW00000,2015JJ00,812.0,541.0,270.0,27.2,,,
1214,T001096,A025399,ZW10320,MW00000,2018JJ00,792.0,526.0,266.0,27.2,,,
1215,T001096,A025399,ZW10320,MW00000,2021JJ00,809.0,548.0,261.0,23.6,,,
1216,T001096,A025399,ZW10320,MOG0095,2012JJ00,798.0,514.0,280.0,27.3,,,
1217,T001096,A025399,ZW10320,MOG0095,2015JJ00,785.0,516.0,266.0,26.3,,,
1218,T001096,A025399,ZW10320,MOG0095,2018JJ00,766.0,501.0,262.0,26.2,,,
1219,T001096,A025399,ZW10320,MOG0095,2021JJ00,778.0,519.0,257.0,22.7,,,
1220,T001096,A025399,ZW10320,MBG0095,2012JJ00,883.0,596.0,290.0,29.4,,,
1221,T001096,A025399,ZW10320,MBG0095,2015JJ00,838.0,567.0,275.0,28.1,,,
1222,T001096,A025399,ZW10320,MBG0095,2018JJ00,818.0,551.0,270.0,28.2,,,
1223,T001096,A025399,ZW10320,MBG0095,2021JJ00,839.0,577.0,265.0,24.5,,,
1224,T001096,A025399,ZW10300,MW00000,2012JJ00,686.0,448.0,238.0,26.6,,,
1225,T001096,A025399,ZW10300,MW00000,2015JJ00,671.0,437.0,234.0,25.2,,,
1226,T001096,A025399,ZW10300,MW00000,2018JJ00,690.0,464.0,226.0,25.7,,,
1227,T001096,A025399,ZW10300,MW00000,2021JJ00,659.0,446.0,214.0,22.9,,,
1228,T001096,A025399,ZW10300,MOG0095,2012JJ00,654.0,418.0,234.0,25.4,,,
1229,T001096,A025399,ZW10300,MOG0095,2015JJ00,648.0,416.0,230.0,24.4,,,
1230,T001096,A025399,ZW10300,MOG0095,2018JJ00,668.0,442.0,223.0,24.8,,,
1231,T001096,A025399,ZW10300,MOG0095,2021JJ00,638.0,426.0,210.0,22.0,,,
1232,T001096,A025399,ZW10300,MBG0095,2012JJ00,719.0,479.0,242.0,27.8,,,
1233,T001096,A025399,ZW10300,MBG0095,2015JJ00,694.0,459.0,237.0,26.1,,,
1234,T001096,A025399,ZW10300,MBG0095,2018JJ00,712.0,485.0,229.0,26.6,,,
1235,T001096,A025399,ZW10300,MBG0095,2021JJ00,681.0,466.0,217.0,23.9,,,
1236,T001096,A025399,ZW25806,MW00000,2012JJ00,630.0,411.0,219.0,29.1,,,
1237,T001096,A025399,ZW25806,MW00000,2015JJ00,642.0,434.0,209.0,29.1,,,
1238,T001096,A025399,ZW25806,MW00000,2018JJ00,635.0,429.0,205.0,28.7,,,
1239,T001096,A025399,ZW25806,MW00000,2021JJ00,672.0,474.0,198.0,27.0,,,
1240,T001096,A025399,ZW25806,MOG0095,2012JJ00,610.0,392.0,215.0,28.2,,,
1241,T001096,A025399,ZW25806,MOG0095,2015JJ00,626.0,418.0,205.0,28.2,,,
1242,T001096,A025399,ZW25806,MOG0095,2018JJ00,617.0,412.0,202.0,27.6,,,
1243,T001096,A025399,ZW25806,MOG0095,2021JJ00,652.0,454.0,194.0,25.9,,,
1244,T001096,A025399,ZW25806,MBG0095,2012JJ00,650.0,430.0,223.0,29.9,,,
1245,T001096,A025399,ZW25806,MBG0095,2015JJ00,659.0,450.0,212.0,30.1,,,
1246,T001096,A025399,ZW25806,MBG0095,2018JJ00,653.0,447.0,209.0,29.7,,,
1247,T001096,A025399,ZW25806,MBG0095,2021JJ00,693.0,494.0,202.0,28.0,,,
1248,T001096,A025399,ZW25805,MW00000,2012JJ00,615.0,409.0,206.0,28.8,,,
1249,T001096,A025399,ZW25805,MW00000,2015JJ00,624.0,428.0,196.0,28.3,,,
1250,T001096,A025399,ZW25805,MW00000,2018JJ00,634.0,439.0,195.0,28.6,,,
1251,T001096,A025399,ZW25805,MW00000,2021JJ00,632.0,448.0,184.0,25.9,,,
1252,T001096,A025399,ZW25805,MOG0095,2012JJ00,599.0,394.0,204.0,28.2,,,
1253,T001096,A025399,ZW25805,MOG0095,2015JJ00,611.0,416.0,194.0,27.7,,,
1254,T001096,A025399,ZW25805,MOG0095,2018JJ00,622.0,427.0,193.0,27.9,,,
1255,T001096,A025399,ZW25805,MOG0095,2021JJ00,619.0,436.0,181.0,25.2,,,
1256,T001096,A025399,ZW25805,MBG0095,2012JJ00,631.0,423.0,209.0,29.5,,,
1257,T001096,A025399,ZW25805,MBG0095,2015JJ00,637.0,440.0,198.0,28.9,,,
1258,T001096,A025399,ZW25805,MBG0095,2018JJ00,647.0,451.0,197.0,29.2,,,
1259,T001096,A025399,ZW25805,MBG0095,2021JJ00,645.0,461.0,186.0,26.6,,,
1260,T001096,A025399,ZW10340,MW00000,2012JJ00,602.0,438.0,164.0,32.3,,,
1261,T001096,A025399,ZW10340,MW00000,2015JJ00,639.0,474.0,164.0,33.7,,,
1262,T001096,A025399,ZW10340,MW00000,2018JJ00,650.0,485.0,165.0,32.9,,,
1263,T001096,A025399,ZW10340,MW00000,2021JJ00,648.0,497.0,151.0,30.8,,,
1264,T001096,A025399,ZW10340,MOG0095,2012JJ00,587.0,423.0,162.0,31.6,,,
1265,T001096,A025399,ZW10340,MOG0095,2015JJ00,626.0,463.0,162.0,33.0,,,
1266,T001096,A025399,ZW10340,MOG0095,2018JJ00,636.0,472.0,163.0,32.2,,,
1267,T001096,A025399,ZW10340,MOG0095,2021JJ00,632.0,482.0,149.0,30.1,,,
1268,T001096,A025399,ZW10340,MBG0095,2012JJ00,618.0,453.0,167.0,33.1,,,
1269,T001096,A025399,ZW10340,MBG0095,2015JJ00,651.0,486.0,166.0,34.3,,,
1270,T001096,A025399,ZW10340,MBG0095,2018JJ00,664.0,498.0,167.0,33.6,,,
1271,T001096,A025399,ZW10340,MBG0095,2021JJ00,663.0,512.0,153.0,31.5,,,
1272,T001096,A025399,ZW25790,MW00000,2012JJ00,534.0,353.0,181.0,30.5,,,
1273,T001096,A025399,ZW25790,MW00000,2015JJ00,544.0,385.0,158.0,33.5,,,
1274,T001096,A025399,ZW25790,MW00000,2018JJ00,548.0,387.0,160.0,32.7,,,
1275,T001096,A025399,ZW25790,MW00000,2021JJ00,554.0,411.0,143.0,31.5,,,
1276,T001096,A025399,ZW25790,MOG0095,2012JJ00,523.0,343.0,178.0,29.8,,,
1277,T001096,A025399,ZW25790,MOG0095,2015JJ00,530.0,372.0,155.0,32.5,,,
1278,T001096,A025399,ZW25790,MOG0095,2018JJ00,533.0,373.0,157.0,31.8,,,
1279,T001096,A025399,ZW25790,MOG0095,2021JJ00,536.0,393.0,140.0,30.4,,,
1280,T001096,A025399,ZW25790,MBG0095,2012JJ00,545.0,364.0,184.0,31.1,,,
1281,T001096,A025399,ZW25790,MBG0095,2015JJ00,557.0,399.0,162.0,34.4,,,
1282,T001096,A025399,ZW25790,MBG0095,2018JJ00,562.0,402.0,164.0,33.6,,,
1283,T001096,A025399,ZW25790,MBG0095,2021JJ00,573.0,429.0,147.0,32.6,,,
1284,T001096,A025399,ZW25791,MW00000,2012JJ00,598.0,405.0,193.0,31.0,,,
1285,T001096,A025399,ZW25791,MW00000,2015JJ00,595.0,419.0,176.0,31.8,,,
1286,T001096,A025399,ZW25791,MW00000,2018JJ00,613.0,436.0,178.0,31.8,,,
1287,T001096,A025399,ZW25791,MW00000,2021JJ00,629.0,467.0,163.0,29.4,,,
1288,T001096,A025399,ZW25791,MOG0095,2012JJ00,582.0,390.0,189.0,30.1,,,
1289,T001096,A025399,ZW25791,MOG0095,2015JJ00,584.0,408.0,174.0,31.1,,,
1290,T001096,A025399,ZW25791,MOG0095,2018JJ00,603.0,425.0,175.0,31.2,,,
1291,T001096,A025399,ZW25791,MOG0095,2021JJ00,617.0,454.0,160.0,28.7,,,
1292,T001096,A025399,ZW25791,MBG0095,2012JJ00,614.0,421.0,196.0,31.9,,,
1293,T001096,A025399,ZW25791,MBG0095,2015JJ00,605.0,429.0,178.0,32.4,,,
1294,T001096,A025399,ZW25791,MBG0095,2018JJ00,624.0,446.0,180.0,32.5,,,
1295,T001096,A025399,ZW25791,MBG0095,2021JJ00,642.0,479.0,165.0,30.1,,,
1296,T001096,A025399,ZW25792,MW00000,2012JJ00,645.0,425.0,220.0,28.1,,,
1297,T001096,A025399,ZW25792,MW00000,2015JJ00,661.0,451.0,210.0,27.8,,,
1298,T001096,A025399,ZW25792,MW00000,2018JJ00,658.0,451.0,207.0,27.6,,,
1299,T001096,A025399,ZW25792,MW00000,2021JJ00,652.0,457.0,195.0,24.9,,,
1300,T001096,A025399,ZW25792,MOG0095,2012JJ00,629.0,410.0,217.0,27.4,,,
1301,T001096,A025399,ZW25792,MOG0095,2015JJ00,650.0,440.0,208.0,27.2,,,
1302,T001096,A025399,ZW25792,MOG0095,2018JJ00,647.0,440.0,205.0,27.0,,,
1303,T001096,A025399,ZW25792,MOG0095,2021JJ00,641.0,446.0,194.0,24.3,,,
1304,T001096,A025399,ZW25792,MBG0095,2012JJ00,661.0,440.0,223.0,28.8,,,
1305,T001096,A025399,ZW25792,MBG0095,2015JJ00,672.0,462.0,212.0,28.3,,,
1306,T001096,A025399,ZW25792,MBG0095,2018JJ00,669.0,462.0,209.0,28.2,,,
1307,T001096,A025399,ZW25792,MBG0095,2021JJ00,664.0,468.0,197.0,25.5,,,
1308,T001096,A025399,ZW25793,MW00000,2012JJ00,892.0,623.0,269.0,28.7,,,
1309,T001096,A025399,ZW25793,MW00000,2015JJ00,853.0,582.0,270.0,26.8,,,
1310,T001096,A025399,ZW25793,MW00000,2018JJ00,858.0,596.0,262.0,27.2,,,
1311,T001096,A025399,ZW25793,MW00000,2021JJ00,859.0,600.0,259.0,23.8,,,
1312,T001096,A025399,ZW25793,MOG0095,2012JJ00,855.0,587.0,265.0,27.8,,,
1313,T001096,A025399,ZW25793,MOG0095,2015JJ00,827.0,558.0,266.0,25.9,,,
1314,T001096,A025399,ZW25793,MOG0095,2018JJ00,833.0,572.0,258.0,26.2,,,
1315,T001096,A025399,ZW25793,MOG0095,2021JJ00,830.0,572.0,255.0,23.0,,,
1316,T001096,A025399,ZW25793,MBG0095,2012JJ00,929.0,659.0,274.0,29.6,,,
1317,T001096,A025399,ZW25793,MBG0095,2015JJ00,878.0,607.0,274.0,27.7,,,
1318,T001096,A025399,ZW25793,MBG0095,2018JJ00,884.0,621.0,266.0,28.1,,,
1319,T001096,A025399,ZW25793,MBG0095,2021JJ00,888.0,628.0,263.0,24.7,,,
1320,T001096,A025400,2060100,MW00000,2012JJ00,505.0,346.0,159.0,34.1,,,
1321,T001096,A025400,2060100,MW00000,2015JJ00,536.0,375.0,161.0,35.4,,,
1322,T001096,A025400,2060100,MW00000,2018JJ00,538.0,375.0,164.0,34.6,,,
1323,T001096,A025400,2060100,MW00000,2021JJ00,553.0,396.0,157.0,32.2,,,
1324,T001096,A025400,2060100,MOG0095,2012JJ00,493.0,335.0,156.0,33.4,,,
1325,T001096,A025400,2060100,MOG0095,2015JJ00,526.0,365.0,158.0,34.7,,,
1326,T001096,A025400,2060100,MOG0095,2018JJ00,529.0,365.0,162.0,34.0,,,
1327,T001096,A025400,2060100,MOG0095,2021JJ00,541.0,384.0,154.0,31.5,,,
1328,T001096,A025400,2060100,MBG0095,2012JJ00,517.0,358.0,162.0,34.8,,,
1329,T001096,A025400,2060100,MBG0095,2015JJ00,546.0,386.0,163.0,36.1,,,
1330,T001096,A025400,2060100,MBG0095,2018JJ00,548.0,384.0,166.0,35.1,,,
1331,T001096,A025400,2060100,MBG0095,2021JJ00,565.0,408.0,160.0,33.0,,,
1332,T001096,A025400,2060110,MW00000,2012JJ00,553.0,380.0,173.0,33.7,,,
1333,T001096,A025400,2060110,MW00000,2015JJ00,581.0,409.0,171.0,34.6,,,
1334,T001096,A025400,2060110,MW00000,2018JJ00,586.0,410.0,175.0,34.2,,,
1335,T001096,A025400,2060110,MW00000,2021JJ00,594.0,423.0,170.0,31.8,,,
1336,T001096,A025400,2060110,MOG0095,2012JJ00,540.0,367.0,170.0,32.8,,,
1337,T001096,A025400,2060110,MOG0095,2015JJ00,568.0,396.0,169.0,33.9,,,
1338,T001096,A025400,2060110,MOG0095,2018JJ00,574.0,398.0,173.0,33.4,,,
1339,T001096,A025400,2060110,MOG0095,2021JJ00,581.0,410.0,168.0,30.9,,,
1340,T001096,A025400,2060110,MBG0095,2012JJ00,567.0,394.0,176.0,34.7,,,
1341,T001096,A025400,2060110,MBG0095,2015JJ00,593.0,422.0,174.0,35.4,,,
1342,T001096,A025400,2060110,MBG0095,2018JJ00,598.0,422.0,178.0,35.0,,,
1343,T001096,A025400,2060110,MBG0095,2021JJ00,606.0,436.0,173.0,32.7,,,
1344,T001096,A025400,2060120,MW00000,2012JJ00,581.0,382.0,199.0,31.6,,,
1345,T001096,A025400,2060120,MW00000,2015JJ00,586.0,387.0,199.0,30.3,,,
1346,T001096,A025400,2060120,MW00000,2018JJ00,573.0,377.0,196.0,30.3,,,
1347,T001096,A025400,2060120,MW00000,2021JJ00,605.0,411.0,193.0,28.3,,,
1348,T001096,A025400,2060120,MOG0095,2012JJ00,560.0,361.0,195.0,30.5,,,
1349,T001096,A025400,2060120,MOG0095,2015JJ00,568.0,369.0,195.0,29.3,,,
1350,T001096,A025400,2060120,MOG0095,2018JJ00,559.0,363.0,193.0,29.4,,,
1351,T001096,A025400,2060120,MOG0095,2021JJ00,585.0,391.0,190.0,27.4,,,
1352,T001096,A025400,2060120,MBG0095,2012JJ00,602.0,403.0,203.0,32.8,,,
1353,T001096,A025400,2060120,MBG0095,2015JJ00,604.0,405.0,202.0,31.3,,,
1354,T001096,A025400,2060120,MBG0095,2018JJ00,587.0,391.0,199.0,31.2,,,
1355,T001096,A025400,2060120,MBG0095,2021JJ00,624.0,431.0,196.0,29.3,,,
1356,T001096,A025400,2060130,MW00000,2012JJ00,673.0,416.0,257.0,29.0,,,
1357,T001096,A025400,2060130,MW00000,2015JJ00,677.0,428.0,249.0,28.6,,,
1358,T001096,A025400,2060130,MW00000,2018JJ00,704.0,453.0,251.0,29.3,,,
1359,T001096,A025400,2060130,MW00000,2021JJ00,734.0,485.0,249.0,27.9,,,
1360,T001096,A025400,2060130,MOG0095,2012JJ00,646.0,390.0,252.0,27.7,,,
1361,T001096,A025400,2060130,MOG0095,2015JJ00,653.0,405.0,244.0,27.5,,,
1362,T001096,A025400,2060130,MOG0095,2018JJ00,677.0,427.0,246.0,28.2,,,
1363,T001096,A025400,2060130,MOG0095,2021JJ00,711.0,463.0,244.0,26.7,,,
1364,T001096,A025400,2060130,MBG0095,2012JJ00,700.0,442.0,262.0,30.3,,,
1365,T001096,A025400,2060130,MBG0095,2015JJ00,701.0,450.0,254.0,29.7,,,
1366,T001096,A025400,2060130,MBG0095,2018JJ00,731.0,479.0,256.0,30.5,,,
1367,T001096,A025400,2060130,MBG0095,2021JJ00,756.0,507.0,253.0,29.0,,,
1368,T001096,A025400,ZW25799,MW00000,2012JJ00,585.0,354.0,231.0,30.9,,,
1369,T001096,A025400,ZW25799,MW00000,2015JJ00,602.0,372.0,230.0,30.4,,,
1370,T001096,A025400,ZW25799,MW00000,2018JJ00,622.0,389.0,233.0,30.8,,,
1371,T001096,A025400,ZW25799,MW00000,2021JJ00,634.0,397.0,236.0,30.2,,,
1372,T001096,A025400,ZW25799,MOG0095,2012JJ00,551.0,322.0,224.0,29.2,,,
1373,T001096,A025400,ZW25799,MOG0095,2015JJ00,570.0,342.0,223.0,28.9,,,
1374,T001096,A025400,ZW25799,MOG0095,2018JJ00,584.0,352.0,226.0,29.3,,,
1375,T001096,A025400,ZW25799,MOG0095,2021JJ00,608.0,374.0,230.0,28.7,,,
1376,T001096,A025400,ZW25799,MBG0095,2012JJ00,619.0,386.0,238.0,32.6,,,
1377,T001096,A025400,ZW25799,MBG0095,2015JJ00,633.0,402.0,236.0,32.0,,,
1378,T001096,A025400,ZW25799,MBG0095,2018JJ00,660.0,426.0,240.0,32.2,,,
1379,T001096,A025400,ZW25799,MBG0095,2021JJ00,659.0,421.0,242.0,31.6,,,
1380,T001096,A025400,ZW10412,MW00000,2012JJ00,534.0,330.0,204.0,30.6,,,
1381,T001096,A025400,ZW10412,MW00000,2015JJ00,535.0,332.0,203.0,30.1,,,
1382,T001096,A025400,ZW10412,MW00000,2018JJ00,551.0,347.0,204.0,30.9,,,
1383,T001096,A025400,ZW10412,MW00000,2021JJ00,550.0,355.0,196.0,28.0,,,
1384,T001096,A025400,ZW10412,MOG0095,2012JJ00,521.0,317.0,201.0,29.8,,,
1385,T001096,A025400,ZW10412,MOG0095,2015JJ00,523.0,321.0,200.0,29.4,,,
1386,T001096,A025400,ZW10412,MOG0095,2018JJ00,539.0,336.0,201.0,30.1,,,
1387,T001096,A025400,ZW10412,MOG0095,2021JJ00,539.0,343.0,192.0,27.2,,,
1388,T001096,A025400,ZW10412,MBG0095,2012JJ00,547.0,342.0,208.0,31.4,,,
1389,T001096,A025400,ZW10412,MBG0095,2015JJ00,546.0,343.0,206.0,30.8,,,
1390,T001096,A025400,ZW10412,MBG0095,2018JJ00,562.0,358.0,207.0,31.6,,,
1391,T001096,A025400,ZW10412,MBG0095,2021JJ00,562.0,366.0,199.0,28.8,,,
1392,T001096,A025400,ZW10413,MW00000,2012JJ00,578.0,386.0,192.0,33.0,,,
1393,T001096,A025400,ZW10413,MW00000,2015JJ00,600.0,404.0,195.0,32.8,,,
1394,T001096,A025400,ZW10413,MW00000,2018JJ00,592.0,392.0,200.0,31.4,,,
1395,T001096,A025400,ZW10413,MW00000,2021JJ00,612.0,418.0,195.0,29.5,,,
1396,T001096,A025400,ZW10413,MOG0095,2012JJ00,557.0,366.0,188.0,32.0,,,
1397,T001096,A025400,ZW10413,MOG0095,2015JJ00,585.0,390.0,192.0,32.0,,,
1398,T001096,A025400,ZW10413,MOG0095,2018JJ00,577.0,378.0,196.0,30.6,,,
1399,T001096,A025400,ZW10413,MOG0095,2021JJ00,597.0,403.0,191.0,28.6,,,
1400,T001096,A025400,ZW10413,MBG0095,2012JJ00,599.0,406.0,197.0,34.1,,,
1401,T001096,A025400,ZW10413,MBG0095,2015JJ00,615.0,418.0,199.0,33.7,,,
1402,T001096,A025400,ZW10413,MBG0095,2018JJ00,606.0,405.0,203.0,32.1,,,
1403,T001096,A025400,ZW10413,MBG0095,2021JJ00,627.0,432.0,198.0,30.4,,,
1404,T001096,A025400,ZW10414,MW00000,2012JJ00,567.0,398.0,169.0,33.2,,,
1405,T001096,A025400,ZW10414,MW00000,2015JJ00,612.0,445.0,167.0,34.9,,,
1406,T001096,A025400,ZW10414,MW00000,2018JJ00,599.0,426.0,173.0,33.5,,,
1407,T001096,A025400,ZW10414,MW00000,2021JJ00,614.0,448.0,166.0,30.7,,,
1408,T001096,A025400,ZW10414,MOG0095,2012JJ00,550.0,381.0,166.0,32.2,,,
1409,T001096,A025400,ZW10414,MOG0095,2015JJ00,594.0,428.0,164.0,33.9,,,
1410,T001096,A025400,ZW10414,MOG0095,2018JJ00,582.0,411.0,170.0,32.6,,,
1411,T001096,A025400,ZW10414,MOG0095,2021JJ00,597.0,431.0,163.0,29.7,,,
1412,T001096,A025400,ZW10414,MBG0095,2012JJ00,585.0,415.0,173.0,34.2,,,
1413,T001096,A025400,ZW10414,MBG0095,2015JJ00,630.0,462.0,170.0,35.9,,,
1414,T001096,A025400,ZW10414,MBG0095,2018JJ00,616.0,442.0,176.0,34.4,,,
1415,T001096,A025400,ZW10414,MBG0095,2021JJ00,631.0,464.0,170.0,31.7,,,
1416,T001096,A025400,ZW10415,MW00000,2012JJ00,682.0,524.0,158.0,36.8,,,
1417,T001096,A025400,ZW10415,MW00000,2015JJ00,676.0,519.0,157.0,36.6,,,
1418,T001096,A025400,ZW10415,MW00000,2018JJ00,692.0,529.0,163.0,37.0,,,
1419,T001096,A025400,ZW10415,MW00000,2021JJ00,734.0,576.0,158.0,35.2,,,
1420,T001096,A025400,ZW10415,MOG0095,2012JJ00,649.0,492.0,153.0,35.0,,,
1421,T001096,A025400,ZW10415,MOG0095,2015JJ00,647.0,491.0,153.0,35.1,,,
1422,T001096,A025400,ZW10415,MOG0095,2018JJ00,669.0,506.0,159.0,35.6,,,
1423,T001096,A025400,ZW10415,MOG0095,2021JJ00,700.0,542.0,154.0,33.7,,,
1424,T001096,A025400,ZW10415,MBG0095,2012JJ00,716.0,556.0,163.0,38.6,,,
1425,T001096,A025400,ZW10415,MBG0095,2015JJ00,704.0,547.0,161.0,38.0,,,
1426,T001096,A025400,ZW10415,MBG0095,2018JJ00,715.0,553.0,166.0,38.4,,,
1427,T001096,A025400,ZW10415,MBG0095,2021JJ00,768.0,609.0,162.0,36.8,,,
1428,T001096,A025400,ZW10270,MW00000,2012JJ00,565.0,349.0,215.0,30.9,,,
1429,T001096,A025400,ZW10270,MW00000,2015JJ00,573.0,361.0,212.0,30.5,,,
1430,T001096,A025400,ZW10270,MW00000,2018JJ00,588.0,376.0,212.0,30.8,,,
1431,T001096,A025400,ZW10270,MW00000,2021JJ00,602.0,395.0,208.0,28.6,,,
1432,T001096,A025400,ZW10270,MOG0095,2012JJ00,552.0,338.0,212.0,30.3,,,
1433,T001096,A025400,ZW10270,MOG0095,2015JJ00,563.0,352.0,210.0,29.9,,,
1434,T001096,A025400,ZW10270,MOG0095,2018JJ00,578.0,367.0,210.0,30.3,,,
1435,T001096,A025400,ZW10270,MOG0095,2021JJ00,593.0,386.0,206.0,28.1,,,
