ID,OnLandOffShore,Periods,ProductionOfElectricity_1,ProductionFactor_2,ProductionByRotorSurface_3,PowerOfWindTurbines_4,RotorSurfaceOfWindTurbines_5,ValueMeasured_6,SeasonallyAdjusted_7
354,E006637 ,2005MM06,103.0,12.4,465.0,1149.0,2692.0,54.0,77.0
355,E006637 ,2005KW02,391.0,15.7,586.0,1149.0,2692.0,70.0,86.0
356,E006637 ,2005MM07,110.0,12.8,478.0,1153.0,2703.0,57.0,86.0
357,E006637 ,2005MM08,124.0,14.3,534.0,1168.0,2734.0,63.0,116.0
358,E006637 ,2005MM09,106.0,12.4,464.0,1186.0,2783.0,53.0,72.0
359,E006637 ,2005KW03,340.0,13.2,492.0,1186.0,2783.0,58.0,89.0
360,E006637 ,2005MM10,185.0,20.9,781.0,1190.0,2793.0,89.0,73.0
361,E006637 ,2005MM11,193.0,22.3,834.0,1199.0,2812.0,98.0,92.0
362,E006637 ,2005MM12,217.0,23.9,892.0,1224.0,2869.0,108.0,81.0
363,E006637 ,2005KW04,596.0,22.4,836.0,1224.0,2869.0,98.0,82.0
364,E006637 ,2005JJ00,2067.0,20.4,763.0,1224.0,2869.0,92.0,92.0
365,E006637 ,2006MM01,191.0,20.8,778.0,1237.0,2897.0,89.0,61.0
366,E006637 ,2006MM02,223.0,26.6,995.0,1249.0,2921.0,106.0,74.0
367,E006637 ,2006MM03,259.0,26.5,992.0,1316.0,3075.0,123.0,112.0
368,E006637 ,2006KW01,674.0,24.6,921.0,1316.0,3075.0,106.0,80.0
369,E006637 ,2006MM04,212.0,22.3,837.0,1322.0,3088.0,99.0,111.0
370,E006637 ,2006MM05,259.0,25.9,975.0,1343.0,3125.0,118.0,139.0
371,E006637 ,2006MM06,112.0,11.5,433.0,1348.0,3131.0,51.0,73.0
372,E006637 ,2006KW02,583.0,19.9,751.0,1348.0,3131.0,89.0,110.0
373,E006637 ,2006MM07,82.0,8.2,307.0,1355.0,3147.0,35.0,52.0
374,E006637 ,2006MM08,162.0,15.6,590.0,1395.0,3226.0,67.0,124.0
375,E006637 ,2006MM09,145.0,14.2,539.0,1418.0,3266.0,59.0,80.0
376,E006637 ,2006KW03,389.0,12.7,480.0,1418.0,3266.0,54.0,83.0
377,E006637 ,2006MM10,276.0,25.7,983.0,1441.0,3307.0,113.0,93.0
378,E006637 ,2006MM11,359.0,34.5,1316.0,1443.0,3314.0,146.0,138.0
379,E006637 ,2006MM12,386.0,35.7,1364.0,1453.0,3334.0,166.0,125.0
380,E006637 ,2006KW04,1021.0,32.0,1221.0,1453.0,3334.0,142.0,118.0
381,E006637 ,2006JJ00,2666.0,22.4,845.0,1453.0,3334.0,98.0,98.0
382,E006637 ,2007MM01,507.0,46.9,1789.0,1453.0,3336.0,228.0,155.0
383,E006637 ,2007MM02,233.0,23.9,914.0,1449.0,3323.0,98.0,69.0
384,E006637 ,2007MM03,346.0,31.6,1206.0,1472.0,3375.0,145.0,132.0
385,E006637 ,2007KW01,1086.0,34.5,1316.0,1472.0,3375.0,157.0,118.0
386,E006637 ,2007MM04,159.0,15.0,572.0,1473.0,3376.0,65.0,73.0
387,E006637 ,2007MM05,225.0,20.4,779.0,1484.0,3401.0,91.0,107.0
388,E006637 ,2007MM06,146.0,13.5,515.0,1505.0,3446.0,59.0,84.0
389,E006637 ,2007KW02,529.0,16.3,623.0,1505.0,3446.0,72.0,88.0
390,E006637 ,2007MM07,253.0,22.3,853.0,1524.0,3490.0,101.0,151.0
391,E006637 ,2007MM08,169.0,14.8,563.0,1543.0,3542.0,68.0,126.0
392,E006637 ,2007MM09,246.0,22.1,844.0,1543.0,3545.0,95.0,128.0
393,E006637 ,2007KW03,668.0,19.7,752.0,1543.0,3545.0,88.0,135.0
394,E006637 ,2007MM10,129.0,11.2,429.0,1545.0,3544.0,49.0,40.0
395,E006637 ,2007MM11,318.0,27.8,1061.0,1587.0,3646.0,121.0,114.0
396,E006637 ,2007MM12,378.0,31.0,1180.0,1641.0,3773.0,143.0,108.0
397,E006637 ,2007KW04,825.0,23.5,896.0,1641.0,3773.0,104.0,87.0
398,E006637 ,2007JJ00,3108.0,23.4,892.0,1641.0,3773.0,105.0,105.0
399,E006637 ,2008MM01,580.0,46.9,1794.0,1663.0,3820.0,220.0,150.0
400,E006637 ,2008MM02,336.0,28.7,1098.0,1680.0,3858.0,123.0,86.0
401,E006637 ,2008MM03,468.0,37.3,1426.0,1687.0,3873.0,173.0,157.0
402,E006637 ,2008KW01,1384.0,37.8,1446.0,1687.0,3873.0,172.0,129.0
403,E006637 ,2008MM04,229.0,18.7,714.0,1702.0,3905.0,81.0,91.0
404,E006637 ,2008MM05,189.0,14.8,567.0,1714.0,3937.0,64.0,75.0
405,E006637 ,2008MM06,181.0,14.7,563.0,1707.0,3921.0,61.0,88.0
406,E006637 ,2008KW02,599.0,16.1,614.0,1707.0,3921.0,69.0,84.0
407,E006637 ,2008MM07,210.0,16.5,630.0,1719.0,3946.0,67.0,100.0
408,E006637 ,2008MM08,270.0,20.6,793.0,1761.0,4025.0,87.0,160.0
409,E006637 ,2008MM09,229.0,17.3,670.0,1832.0,4165.0,71.0,96.0
410,E006637 ,2008KW03,709.0,18.2,698.0,1832.0,4165.0,75.0,115.0
411,E006637 ,2008MM10,319.0,23.1,895.0,1857.0,4215.0,98.0,81.0
412,E006637 ,2008MM11,377.0,28.1,1090.0,1860.0,4220.0,120.0,113.0
413,E006637 ,2008MM12,275.0,19.3,749.0,1921.0,4338.0,83.0,62.0
414,E006637 ,2008KW04,972.0,23.4,908.0,1921.0,4338.0,100.0,83.0
415,E006637 ,2008JJ00,3664.0,23.7,912.0,1921.0,4338.0,104.0,104.0
416,E006637 ,2009MM01,365.0,25.1,973.0,1956.0,4412.0,109.0,74.0
417,E006637 ,2009MM02,269.0,20.1,782.0,1995.0,4483.0,76.0,53.0
418,E006637 ,2009MM03,377.0,25.3,987.0,2006.0,4503.0,107.0,97.0
419,E006637 ,2009KW01,1011.0,23.6,918.0,2006.0,4503.0,97.0,73.0
420,E006637 ,2009MM04,194.0,13.4,524.0,2006.0,4503.0,54.0,61.0
421,E006637 ,2009MM05,337.0,22.6,881.0,2006.0,4503.0,96.0,112.0
422,E006637 ,2009MM06,212.0,14.6,569.0,2016.0,4525.0,58.0,82.0
423,E006637 ,2009KW02,742.0,16.9,660.0,2016.0,4525.0,69.0,85.0
424,E006637 ,2009MM07,278.0,18.5,724.0,2017.0,4527.0,76.0,113.0
425,E006637 ,2009MM08,197.0,13.1,512.0,2020.0,4533.0,52.0,97.0
426,E006637 ,2009MM09,305.0,21.0,818.0,2020.0,4533.0,83.0,112.0
427,E006637 ,2009KW03,780.0,17.5,683.0,2020.0,4533.0,70.0,108.0
428,E006637 ,2009MM10,343.0,22.7,886.0,2027.0,4552.0,92.0,75.0
429,E006637 ,2009MM11,588.0,40.2,1570.0,2029.0,4556.0,168.0,159.0
430,E006637 ,2009MM12,382.0,25.8,1006.0,1994.0,4475.0,109.0,82.0
431,E006637 ,2009KW04,1312.0,29.5,1150.0,1994.0,4475.0,123.0,102.0
432,E006637 ,2009JJ00,3846.0,21.9,853.0,1994.0,4475.0,90.0,90.0
433,E006637 ,2010MM01,266.0,17.9,700.0,1988.0,4467.0,76.0,52.0
434,E006637 ,2010MM02,305.0,22.8,890.0,1988.0,4467.0,86.0,60.0
435,E006637 ,2010MM03,345.0,23.3,908.0,1990.0,4471.0,96.0,87.0
436,E006637 ,2010KW01,915.0,21.3,831.0,1990.0,4471.0,86.0,64.0
437,E006637 ,2010MM04,249.0,17.4,679.0,1991.0,4472.0,72.0,80.0
438,E006637 ,2010MM05,253.0,17.1,665.0,1995.0,4480.0,71.0,84.0
439,E006637 ,2010MM06,167.0,11.6,453.0,1994.0,4477.0,46.0,65.0
440,E006637 ,2010KW02,669.0,15.4,600.0,1994.0,4477.0,63.0,77.0
441,E006637 ,2010MM07,149.0,10.0,391.0,1994.0,4477.0,41.0,61.0
442,E006637 ,2010MM08,286.0,19.3,752.0,1994.0,4476.0,77.0,143.0
443,E006637 ,2010MM09,260.0,18.1,706.0,1994.0,4476.0,69.0,93.0
444,E006637 ,2010KW03,694.0,15.8,616.0,1994.0,4476.0,63.0,96.0
445,E006637 ,2010MM10,375.0,25.1,981.0,2003.0,4494.0,100.0,82.0
446,E006637 ,2010MM11,339.0,23.4,915.0,2009.0,4502.0,95.0,90.0
447,E006637 ,2010MM12,322.0,21.6,843.0,2009.0,4502.0,91.0,69.0
448,E006637 ,2010KW04,1035.0,23.4,913.0,2009.0,4502.0,96.0,79.0
449,E006637 ,2010JJ00,3315.0,19.0,740.0,2009.0,4502.0,77.0,77.0
450,E006637 ,2011MM01,396.0,26.5,1025.0,2011.0,4549.0,106.0,72.0
451,E006637 ,2011MM02,421.0,30.8,1203.0,2034.0,4561.0,118.0,83.0
452,E006637 ,2011MM03,254.0,16.8,655.0,2035.0,4562.0,68.0,61.0
453,E006637 ,2011KW01,1071.0,24.5,953.0,2035.0,4562.0,97.0,73.0
454,E006637 ,2011MM04,279.0,19.0,744.0,2035.0,4562.0,75.0,84.0
455,E006637 ,2011MM05,347.0,22.9,900.0,2037.0,4547.0,93.0,110.0
456,E006637 ,2011MM06,264.0,18.0,707.0,2037.0,4546.0,69.0,99.0
457,E006637 ,2011KW02,890.0,20.0,785.0,2037.0,4546.0,79.0,97.0
458,E006637 ,2011MM07,324.0,21.3,836.0,2046.0,4559.0,88.0,131.0
459,E006637 ,2011MM08,243.0,16.0,629.0,2044.0,4554.0,63.0,117.0
460,E006637 ,2011MM09,324.0,21.9,861.0,2054.0,4584.0,86.0,117.0
461,E006637 ,2011KW03,891.0,19.7,775.0,2054.0,4584.0,79.0,122.0
462,E006637 ,2011MM10,420.0,27.3,1071.0,2067.0,4613.0,109.0,90.0
463,E006637 ,2011MM11,295.0,19.7,772.0,2086.0,4657.0,78.0,73.0
464,E006637 ,2011MM12,731.0,47.1,1847.0,2088.0,4660.0,194.0,146.0
465,E006637 ,2011KW04,1446.0,31.5,1236.0,2088.0,4660.0,127.0,106.0
466,E006637 ,2011JJ00,4298.0,24.0,939.0,2088.0,4660.0,96.0,96.0
467,E006637 ,2012MM01,576.0,37.1,1461.0,2084.0,4652.0,154.0,105.0
468,E006637 ,2012MM02,391.0,26.9,1058.0,2089.0,4666.0,100.0,70.0
469,E006637 ,2012MM03,229.0,14.6,575.0,2106.0,4696.0,59.0,54.0
470,E006637 ,2012KW01,1196.0,26.2,1029.0,2106.0,4696.0,104.0,78.0
471,E006637 ,2012MM04,347.0,23.2,913.0,2084.0,4641.0,92.0,104.0
472,E006637 ,2012MM05,262.0,16.7,658.0,2113.0,4701.0,68.0,80.0
473,E006637 ,2012MM06,317.0,20.7,819.0,2127.0,4728.0,82.0,117.0
474,E006637 ,2012KW02,927.0,20.1,795.0,2127.0,4728.0,81.0,99.0
475,E006637 ,2012MM07,249.0,15.8,626.0,2115.0,4704.0,62.0,92.0
476,E006637 ,2012MM08,211.0,13.3,524.0,2138.0,4754.0,51.0,95.0
477,E006637 ,2012MM09,303.0,19.5,774.0,2151.0,4775.0,74.0,101.0
478,E006637 ,2012KW03,763.0,16.2,640.0,2151.0,4775.0,62.0,96.0
479,E006637 ,2012MM10,337.0,21.0,831.0,2155.0,4783.0,84.0,69.0
480,E006637 ,2012MM11,383.0,24.2,956.0,2193.0,4883.0,94.0,89.0
481,E006637 ,2012MM12,588.0,35.8,1414.0,2205.0,4909.0,143.0,108.0
482,E006637 ,2012KW04,1307.0,27.1,1070.0,2205.0,4909.0,107.0,89.0
483,E006637 ,2012JJ00,4193.0,22.4,884.0,2205.0,4909.0,89.0,89.0
484,E006637 ,2013MM01,456.0,27.5,1083.0,2233.0,4958.0,113.0,77.0
485,E006637 ,2013MM02,375.0,23.8,929.0,2347.0,5269.0,89.0,62.0
486,E006637 ,2013MM03,507.0,29.0,1133.0,2345.0,5266.0,121.0,110.0
487,E006637 ,2013KW01,1338.0,26.9,1052.0,2345.0,5266.0,107.0,81.0
488,E006637 ,2013MM04,405.0,23.6,916.0,2384.0,5379.0,92.0,104.0
489,E006637 ,2013MM05,363.0,20.3,787.0,2400.0,5429.0,82.0,96.0
490,E006637 ,2013MM06,394.0,22.7,881.0,2412.0,5448.0,89.0,127.0
491,E006637 ,2013KW02,1162.0,22.2,860.0,2412.0,5448.0,88.0,108.0
492,E006637 ,2013MM07,166.0,9.2,358.0,2424.0,5469.0,35.0,53.0
493,E006637 ,2013MM08,217.0,11.8,455.0,2467.0,5603.0,46.0,86.0
494,E006637 ,2013MM09,299.0,16.8,646.0,2476.0,5631.0,64.0,86.0
495,E006637 ,2013KW03,682.0,12.6,486.0,2476.0,5631.0,48.0,75.0
496,E006637 ,2013MM10,549.0,29.7,1142.0,2486.0,5660.0,116.0,95.0
497,E006637 ,2013MM11,395.0,22.1,850.0,2485.0,5658.0,82.0,77.0
498,E006637 ,2013MM12,730.0,39.5,1519.0,2485.0,5658.0,161.0,121.0
499,E006637 ,2013KW04,1674.0,30.5,1174.0,2485.0,5658.0,120.0,100.0
500,E006637 ,2013JJ00,4856.0,23.0,891.0,2485.0,5658.0,91.0,91.0
501,E006637 ,2014MM01,690.0,37.3,1434.0,2488.0,5663.0,148.0,101.0
502,E006637 ,2014MM02,731.0,43.7,1683.0,2487.0,5662.0,163.0,114.0
503,E006637 ,2014MM03,424.0,22.9,881.0,2490.0,5670.0,91.0,83.0
504,E006637 ,2014KW01,1845.0,34.3,1321.0,2490.0,5670.0,134.0,101.0
505,E006637 ,2014MM04,312.0,17.4,670.0,2492.0,5675.0,68.0,76.0
506,E006637 ,2014MM05,342.0,18.5,712.0,2480.0,5650.0,72.0,85.0
507,E006637 ,2014MM06,190.0,10.5,404.0,2504.0,5714.0,40.0,57.0
508,E006637 ,2014KW02,844.0,15.5,596.0,2504.0,5714.0,60.0,74.0
509,E006637 ,2014MM07,236.0,12.7,486.0,2504.0,5715.0,49.0,73.0
510,E006637 ,2014MM08,363.0,19.3,738.0,2536.0,5795.0,74.0,138.0
511,E006637 ,2014MM09,174.0,9.4,362.0,2553.0,5839.0,35.0,48.0
512,E006637 ,2014KW03,773.0,13.8,530.0,2553.0,5839.0,53.0,82.0
513,E006637 ,2014MM10,433.0,22.6,866.0,2577.0,5889.0,88.0,72.0
514,E006637 ,2014MM11,364.0,19.4,743.0,2611.0,5963.0,72.0,68.0
515,E006637 ,2014MM12,790.0,40.2,1545.0,2637.0,6018.0,161.0,121.0
516,E006637 ,2014KW04,1587.0,27.6,1057.0,2637.0,6018.0,107.0,89.0
517,E006637 ,2014JJ00,5049.0,22.8,875.0,2637.0,6018.0,89.0,89.0
518,E006637 ,2015MM01,773.0,38.5,1475.0,2699.0,6170.0,,
519,E006637 ,2015MM02,440.0,24.2,927.0,2708.0,6183.0,,
520,E006637 ,2015MM03,605.0,29.4,1128.0,2762.0,6309.0,,
521,E006637 ,2015KW01,1817.0,30.9,1184.0,2762.0,6309.0,,
522,E006637 ,2015MM04,376.0,18.7,720.0,2786.0,6347.0,,
523,E006637 ,2015MM05,499.0,23.7,913.0,2823.0,6430.0,,
524,E006637 ,2015MM06,352.0,17.1,659.0,2860.0,6497.0,,
525,E006637 ,2015KW02,1226.0,19.9,766.0,2860.0,6497.0,,
526,E006637 ,2015MM07,471.0,22.0,851.0,2873.0,6518.0,,
527,E006637 ,2015MM08,312.0,14.6,566.0,2861.0,6489.0,,
528,E006637 ,2015MM09,428.0,20.4,787.0,2918.0,6621.0,,
529,E006637 ,2015KW03,1211.0,19.0,735.0,2918.0,6621.0,,
530,E006637 ,2015MM10,238.0,10.9,421.0,2931.0,6651.0,,
531,E006637 ,2015MM11,938.0,43.1,1651.0,3020.0,6911.0,,
532,E006637 ,2015MM12,989.0,43.8,1675.0,3034.0,6953.0,,
533,E006637 ,2015KW04,2165.0,32.7,1256.0,3034.0,6953.0,,
534,E006637 ,2015JJ00,6420.0,25.6,986.0,3034.0,6953.0,,
535,E006637 ,2016MM01,771.0,33.3,1254.0,3118.0,7261.0,,
536,E006637 ,2016MM02,739.0,33.8,1277.0,3145.0,7303.0,,
537,E006637 ,2016MM03,525.0,22.5,849.0,3133.0,7299.0,,
538,E006637 ,2016KW01,2035.0,29.8,1123.0,3133.0,7299.0,,
539,E006637 ,2016MM04,478.0,21.2,802.0,3134.0,7269.0,,
540,E006637 ,2016MM05,463.0,19.7,745.0,3159.0,7333.0,,
541,E006637 ,2016MM06,262.0,11.4,431.0,3198.0,7416.0,,
542,E006637 ,2016KW02,1203.0,17.4,659.0,3198.0,7416.0,,
543,E006637 ,2016MM07,364.0,15.3,579.0,3199.0,7422.0,,
544,E006637 ,2016MM08,415.0,17.3,657.0,3217.0,7457.0,,
545,E006637 ,2016MM09,309.0,13.3,503.0,3238.0,7498.0,,
546,E006637 ,2016KW03,1088.0,15.3,581.0,3238.0,7498.0,,
547,E006637 ,2016MM10,353.0,14.5,551.0,3261.0,7559.0,,
548,E006637 ,2016MM11,593.0,25.0,946.0,3291.0,7657.0,,
549,E006637 ,2016MM12,629.0,25.6,969.0,3300.0,7663.0,,
550,E006637 ,2016KW04,1575.0,21.7,822.0,3300.0,7663.0,,
551,E006637 ,2016JJ00,5901.0,21.0,794.0,3300.0,7663.0,,
552,E006637 ,2017MM01,538.0,22.0,830.0,3283.0,7627.0,,
553,E006637 ,2017MM02,765.0,34.9,1315.0,3261.0,7582.0,,
554,E006637 ,2017MM03,669.0,27.5,1036.0,3270.0,7606.0,,
555,E006637 ,2017KW01,1971.0,27.9,1051.0,3270.0,7606.0,,
556,E006637 ,2017MM04,464.0,19.7,742.0,3270.0,7606.0,,
557,E006637 ,2017MM05,356.0,14.6,551.0,3270.0,7604.0,,
558,E006637 ,2017MM06,498.0,21.2,798.0,3261.0,7584.0,,
559,E006637 ,2017KW02,1317.0,18.5,695.0,3261.0,7584.0,,
560,E006637 ,2017MM07,383.0,15.9,600.0,3231.0,7524.0,,
561,E006637 ,2017MM08,340.0,14.2,533.0,3231.0,7524.0,,
562,E006637 ,2017MM09,407.0,17.6,662.0,3207.0,7472.0,,
563,E006637 ,2017KW03,1130.0,15.9,597.0,3207.0,7472.0,,
564,E006637 ,2017MM10,899.0,37.8,1419.0,3199.0,7461.0,,
565,E006637 ,2017MM11,634.0,27.2,1020.0,3235.0,7562.0,,
566,E006637 ,2017MM12,918.0,38.0,1421.0,3245.0,7605.0,,
567,E006637 ,2017KW04,2451.0,34.4,1289.0,3245.0,7605.0,,
568,E006637 ,2017JJ00,6869.0,24.2,908.0,3245.0,7605.0,,
569,E006637 ,2018MM01,965.0,39.8,1484.0,3259.0,7659.0,,
570,E006637 ,2018MM02,619.0,28.1,1047.0,3271.0,7700.0,,
571,E006637 ,2018MM03,739.0,30.3,1129.0,3275.0,7709.0,,
572,E006637 ,2018KW01,2323.0,32.9,1225.0,3275.0,7709.0,,
573,E006637 ,2018MM04,487.0,20.6,763.0,3289.0,7760.0,,
574,E006637 ,2018MM05,395.0,16.1,599.0,3290.0,7759.0,,
575,E006637 ,2018MM06,369.0,15.6,579.0,3288.0,7755.0,,
576,E006637 ,2018KW02,1251.0,17.4,647.0,3288.0,7755.0,,
577,E006637 ,2018MM07,294.0,11.9,440.0,3323.0,7857.0,,
578,E006637 ,2018MM08,375.0,15.2,562.0,3323.0,7857.0,,
579,E006637 ,2018MM09,501.0,20.5,754.0,3397.0,8080.0,,
580,E006637 ,2018KW03,1170.0,15.8,585.0,3397.0,8080.0,,
581,E006637 ,2018MM10,576.0,22.6,831.0,3423.0,8161.0,,
582,E006637 ,2018MM11,702.0,28.5,1047.0,3422.0,8159.0,,
583,E006637 ,2018MM12,896.0,35.1,1287.0,3436.0,8199.0,,
584,E006637 ,2018KW04,2175.0,28.7,1056.0,3436.0,8199.0,,
585,E006637 ,2018JJ00,6918.0,23.7,877.0,3436.0,8199.0,,
586,E006637 ,2019MM01,890.0,,,,,,
587,E006637 ,2019MM02,652.0,,,,,,
588,E006637 ,2019MM03,1062.0,,,,,,
589,E006637 ,2019KW01,2604.0,,,,,,
590,E006637 ,2019MM04,546.0,,,,,,
591,E006637 ,2019MM05,448.0,,,,,,
592,E006637 ,2019MM06,410.0,,,,,,
593,E006637 ,2019KW02,1403.0,,,,,,
594,E006638 ,2002MM01,,,,,,,
595,E006638 ,2002MM02,,,,,,,
596,E006638 ,2002MM03,,,,,,,
597,E006638 ,2002KW01,,,,,,,
598,E006638 ,2002MM04,,,,,,,
599,E006638 ,2002MM05,,,,,,,
600,E006638 ,2002MM06,,,,,,,
601,E006638 ,2002KW02,,,,,,,
602,E006638 ,2002MM07,,,,,,,
603,E006638 ,2002MM08,,,,,,,
604,E006638 ,2002MM09,,,,,,,
605,E006638 ,2002KW03,,,,,,,
606,E006638 ,2002MM10,,,,,,,
607,E006638 ,2002MM11,,,,,,,
608,E006638 ,2002MM12,,,,,,,
609,E006638 ,2002KW04,,,,,,,
610,E006638 ,2002JJ00,,,,,,,
611,E006638 ,2003MM01,,,,,,,
612,E006638 ,2003MM02,,,,,,,
613,E006638 ,2003MM03,,,,,,,
614,E006638 ,2003KW01,,,,,,,
615,E006638 ,2003MM04,,,,,,,
616,E006638 ,2003MM05,,,,,,,
617,E006638 ,2003MM06,,,,,,,
618,E006638 ,2003KW02,,,,,,,
619,E006638 ,2003MM07,,,,,,,
620,E006638 ,2003MM08,,,,,,,
621,E006638 ,2003MM09,,,,,,,
622,E006638 ,2003KW03,,,,,,,
623,E006638 ,2003MM10,,,,,,,
624,E006638 ,2003MM11,,,,,,,
625,E006638 ,2003MM12,,,,,,,
626,E006638 ,2003KW04,,,,,,,
627,E006638 ,2003JJ00,,,,,,,
628,E006638 ,2004MM01,,,,,,,
629,E006638 ,2004MM02,,,,,,,
630,E006638 ,2004MM03,,,,,,,
631,E006638 ,2004KW01,,,,,,,
632,E006638 ,2004MM04,,,,,,,
633,E006638 ,2004MM05,,,,,,,
634,E006638 ,2004MM06,,,,,,,
635,E006638 ,2004KW02,,,,,,,
636,E006638 ,2004MM07,,,,,,,
637,E006638 ,2004MM08,,,,,,,
638,E006638 ,2004MM09,,,,,,,
639,E006638 ,2004KW03,,,,,,,
640,E006638 ,2004MM10,,,,,,,
641,E006638 ,2004MM11,,,,,,,
642,E006638 ,2004MM12,,,,,,,
643,E006638 ,2004KW04,,,,,,,
644,E006638 ,2004JJ00,,,,,,,
645,E006638 ,2005MM01,,,,,,,
646,E006638 ,2005MM02,,,,,,,
647,E006638 ,2005MM03,,,,,,,
648,E006638 ,2005KW01,,,,,,,
649,E006638 ,2005MM04,,,,,,,
650,E006638 ,2005MM05,,,,,,,
651,E006638 ,2005MM06,,,,,,,
652,E006638 ,2005KW02,,,,,,,
653,E006638 ,2005MM07,,,,,,,
654,E006638 ,2005MM08,,,,,,,
655,E006638 ,2005MM09,,,,,,,
656,E006638 ,2005KW03,,,,,,,
657,E006638 ,2005MM10,,,,,,,
658,E006638 ,2005MM11,,,,,,,
659,E006638 ,2005MM12,,,,,,,
660,E006638 ,2005KW04,,,,,,,
661,E006638 ,2005JJ00,,,,,,,
662,E006638 ,2006MM01,,,,,,,
663,E006638 ,2006MM02,,,,,,,
664,E006638 ,2006MM03,,,,,,,
665,E006638 ,2006KW01,,,,,,,
666,E006638 ,2006MM04,,,,,,,
667,E006638 ,2006MM05,,,,,,,
668,E006638 ,2006MM06,,,,,,,
669,E006638 ,2006KW02,,,,,,,
670,E006638 ,2006MM07,,,,,,,
671,E006638 ,2006MM08,,,,,,,
672,E006638 ,2006MM09,,,,,,,
673,E006638 ,2006KW03,,,,,,,
674,E006638 ,2006MM10,15.0,18.2,753.0,108.0,229.0,,
675,E006638 ,2006MM11,27.0,34.8,1437.0,108.0,229.0,,
676,E006638 ,2006MM12,27.0,33.0,1365.0,108.0,229.0,,
677,E006638 ,2006KW04,68.0,28.6,1182.0,108.0,229.0,,
678,E006638 ,2006JJ00,68.0,28.6,1182.0,108.0,229.0,,
679,E006638 ,2007MM01,42.0,52.6,2174.0,108.0,229.0,,
680,E006638 ,2007MM02,29.0,40.5,1675.0,108.0,229.0,,
681,E006638 ,2007MM03,36.0,45.1,1865.0,108.0,229.0,,
682,E006638 ,2007KW01,108.0,46.3,1912.0,108.0,229.0,,
683,E006638 ,2007MM04,19.0,24.8,1024.0,108.0,229.0,,
684,E006638 ,2007MM05,28.0,34.7,1432.0,108.0,229.0,,
685,E006638 ,2007MM06,20.0,26.2,1084.0,108.0,229.0,,
686,E006638 ,2007KW02,67.0,28.6,1183.0,108.0,229.0,,
687,E006638 ,2007MM07,32.0,40.4,1669.0,108.0,229.0,,
688,E006638 ,2007MM08,22.0,27.3,1130.0,108.0,229.0,,
689,E006638 ,2007MM09,28.0,35.6,1473.0,108.0,229.0,,
690,E006638 ,2007KW03,82.0,34.4,1423.0,108.0,229.0,,
691,E006638 ,2007MM10,16.0,20.5,847.0,108.0,229.0,,
692,E006638 ,2007MM11,27.0,35.2,1454.0,108.0,229.0,,
693,E006638 ,2007MM12,28.0,35.1,1450.0,108.0,229.0,,
694,E006638 ,2007KW04,72.0,30.2,1248.0,108.0,229.0,,
695,E006638 ,2007JJ00,330.0,34.8,1440.0,108.0,229.0,,
696,E006638 ,2008MM01,42.0,24.7,931.0,228.0,530.0,,
697,E006638 ,2008MM02,27.0,16.8,635.0,228.0,530.0,,
698,E006638 ,2008MM03,42.0,25.0,943.0,228.0,530.0,,
699,E006638 ,2008KW01,111.0,22.3,841.0,228.0,530.0,,
700,E006638 ,2008MM04,32.0,19.7,745.0,228.0,530.0,,
701,E006638 ,2008MM05,43.0,25.3,956.0,228.0,530.0,,
702,E006638 ,2008MM06,38.0,23.3,881.0,228.0,530.0,,
703,E006638 ,2008KW02,114.0,22.8,862.0,228.0,530.0,,
704,E006638 ,2008MM07,47.0,27.7,1047.0,228.0,530.0,,
705,E006638 ,2008MM08,65.0,38.4,1450.0,228.0,530.0,,
706,E006638 ,2008MM09,48.0,29.1,1099.0,228.0,530.0,,
707,E006638 ,2008KW03,160.0,31.8,1200.0,228.0,530.0,,
708,E006638 ,2008MM10,70.0,41.4,1563.0,228.0,530.0,,
709,E006638 ,2008MM11,78.0,47.4,1790.0,228.0,530.0,,
710,E006638 ,2008MM12,63.0,37.4,1413.0,228.0,530.0,,
711,E006638 ,2008KW04,212.0,42.0,1587.0,228.0,530.0,,
712,E006638 ,2008JJ00,596.0,29.8,1124.0,228.0,530.0,,
713,E006638 ,2009MM01,69.0,40.5,1526.0,228.0,530.0,,
714,E006638 ,2009MM02,51.0,33.0,1245.0,228.0,530.0,,
715,E006638 ,2009MM03,63.0,37.2,1400.0,228.0,530.0,,
716,E006638 ,2009KW01,182.0,37.0,1395.0,228.0,530.0,,
717,E006638 ,2009MM04,35.0,21.4,806.0,228.0,530.0,,
718,E006638 ,2009MM05,67.0,39.6,1491.0,228.0,530.0,,
719,E006638 ,2009MM06,36.0,22.2,834.0,228.0,530.0,,
720,E006638 ,2009KW02,139.0,27.8,1049.0,228.0,530.0,,
721,E006638 ,2009MM07,59.0,34.6,1302.0,228.0,530.0,,
722,E006638 ,2009MM08,42.0,24.9,936.0,228.0,530.0,,
723,E006638 ,2009MM09,60.0,36.4,1371.0,228.0,530.0,,
724,E006638 ,2009KW03,161.0,31.9,1201.0,228.0,530.0,,
725,E006638 ,2009MM10,69.0,40.9,1538.0,228.0,530.0,,
726,E006638 ,2009MM11,96.0,58.6,2207.0,228.0,530.0,,
727,E006638 ,2009MM12,88.0,51.7,1947.0,228.0,530.0,,
728,E006638 ,2009KW04,253.0,50.3,1894.0,228.0,530.0,,
729,E006638 ,2009JJ00,735.0,36.8,1386.0,228.0,530.0,,
