ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,VoornUitgDoorEigenPersoneel_10,VoornUitgDoorExterneLeveranciers_11,NietVanToepassing_12,VoornUitgDoorEigenPersoneel_13,VoornUitgDoorExterneLeveranciers_14,NietVanToepassing_15,VoornUitgDoorEigenPersoneel_16,VoornUitgDoorExterneLeveranciers_17,NietVanToepassing_18,VoornUitgDoorEigenPersoneel_19,VoornUitgDoorExterneLeveranciers_20,NietVanToepassing_21,VoornUitgDoorEigenPersoneel_22,VoornUitgDoorExterneLeveranciers_23,NietVanToepassing_24,VoornUitgDoorEigenPersoneel_25,VoornUitgDoorExterneLeveranciers_26,NietVanToepassing_27,VoornUitgDoorEigenPersoneel_28,VoornUitgDoorExterneLeveranciers_29,NietVanToepassing_30,Internet_31,VastBreedband_32,MobielBreedband_33,MinderDan2MegabitPerSeconde_34,k_2Tot10MegabitPerSeconde_35,k_10Tot30MegabitPerSeconde_36,k_30Tot100MegabitPerSeconde_37,k_100MegabitPerSecondeOfMeer_38,AantalBedrijvenMetWebsite_39,OnlineBestellenBoekenOfReserveren_40,InfoOverBeveiligingEnPrivacy_41,BeschrijvingenVanProductenPrijslijst_42,BestellingOnlineVolgen_43,ProductaanpassingDoorKlant_44,KlantspecifiekeInfoVoorVasteBezoeker_45,PersoneelsadvertentiesVanBedrijfZelf_46,VerwijzingNaarSocialeMedia_47,MobielInternetVerschaftAanWerknemers_48,SocialeMediaGebruikt_49,SocialeNetwerkenBijvFacebook_50,BlogsOfMicroblogsBijvTwitter_51,MultimediaDelenBijvYouTube_52,WikiSOmKennisTeDelen_53,MarketingProductenBedrijfsimago_54,MeningenKlantenReagerenOpVragen_55,BetrekkenKlantBijProductontwikkeling_56,SamenwerkenMetZakenrelaties_57,WervenVanPersoneel_58,KennisUitwisselenBinnenHetBedrijf_59,ERPSoftware_60,OpslagKlantgegevens_61,AnalyseKlantgegevens_62,BedrijvenMetSCM_63,ViaWebsites_64,ViaAutomatischeVerwerking_65,BedrijvenMetICTBeveiligingsbeleid_66,VernietigingOfVerminkingGegevens_67,OnthullingVanVertrouwelijkeGegevens_68,UitvalVanICTDiensten_69,k_12MaandenOfKorterGeleden_70,k_13TM24MaandenGeleden_71,LangerDan24MaandenGeleden_72,EFactuur_73,ElektronischMaarGeenEFactuur_74,InPapierenVorm_75,EFactuur_76,ElektronischMaarGeenEFactuur_77,InPapierenVorm_78,ElektronischeFacturenVerzonden_79,ElektronischeFacturenOntvangen_80,VerkoopViaECommerce_81,Verkoopwaarde1VanDeTotaleOmzet_82,Verkoopwaarde1VanDeTotaleOmzet_83,Verkoopwaarde2VanDeTotaleOmzet_84,Verkoopwaarde5VanDeTotaleOmzet_85,Verkoopwaarde10VanDeTotaleOmzet_86,Verkoopwaarde25VanDeTotaleOmzet_87,Verkoopwaarde50VanDeTotaleOmzet_88,VerkoopViaEenWebsiteApp_89,Verkoopwaarde1VanDeTotaleOmzet_90,Verkoopwaarde1VanDeTotaleOmzet_91,Verkoopwaarde2VanDeTotaleOmzet_92,Verkoopwaarde5VanDeTotaleOmzet_93,Verkoopwaarde10VanDeTotaleOmzet_94,Verkoopwaarde25VanDeTotaleOmzet_95,Verkoopwaarde50VanDeTotaleOmzet_96,NederlandseConsumenten_97,BuitenlandseConsumenten_98,Bedrijven_99,Overheden_100,KlantenInNederland_101,KlantenInAndereEULanden_102,KlantenInLandenBuitenDeEU_103,VerkoopViaEDI_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,KlantenInNederland_112,KlantenInAndereEULanden_113,KlantenInLandenBuitenDeEU_114,InkoopViaECommerce_115,Inkoopwaarde1VanDeTotaleInkoop_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde2VanDeTotaleInkoop_118,Inkoopwaarde5VanDeTotaleInkoop_119,Inkoopwaarde10VanDeTotaleInkoop_120,Inkoopwaarde25VanDeTotaleInkoop_121,Inkoopwaarde50VanDeTotaleInkoop_122,InkoopViaEenWebsiteApp_123,Inkoopwaarde1VanDeTotaleInkoop_124,Inkoopwaarde1VanDeTotaleInkoop_125,Inkoopwaarde2VanDeTotaleInkoop_126,Inkoopwaarde5VanDeTotaleInkoop_127,Inkoopwaarde10VanDeTotaleInkoop_128,Inkoopwaarde25VanDeTotaleInkoop_129,Inkoopwaarde50VanDeTotaleInkoop_130,AanbiedersInNederland_131,AanbiedersInAndereEULanden_132,AanbiedersInLandenBuitenDeEU_133,InkoopViaEDI_134,Inkoopwaarde1VanDeTotaleInkoop_135,Inkoopwaarde1VanDeTotaleInkoop_136,Inkoopwaarde2VanDeTotaleInkoop_137,Inkoopwaarde5VanDeTotaleInkoop_138,Inkoopwaarde10VanDeTotaleInkoop_139,Inkoopwaarde25VanDeTotaleInkoop_140,Inkoopwaarde50VanDeTotaleInkoop_141,AanbiedersInNederland_142,AanbiedersInAndereEULanden_143,AanbiedersInLandenBuitenDeEU_144
28,405900,94,91,44,45,93,9,6,19,15,40,58,2,60,34,6,20,53,27,31,49,19,24,51,25,31,44,25,33,63,4,100,99,86,0,13,24,34,29,94,16,30,79,3,3,18,71,55,86,69,66,31,25,8,80,34,27,43,70,41,45,51,30,13,10,7,38,83,83,77,63,21,16,3,25,73,2,31,67,58,82,10,5,6,6,3,3,2,1,10,5,5,5,3,3,2,1,18,1,71,10,90,8,2,0,0,0,0,0,0,0,0,35.0,65.0,0.0,52,18,34,30,21,19,10,10,52,18,34,30,21,18,10,9,88,8,4,3,1,1,1,1,1,1,1,88,6,6
29,406800,94,93,35,47,95,25,12,29,19,38,59,3,55,40,5,23,52,25,30,58,13,26,45,29,30,47,24,40,54,6,100,97,79,0,19,27,26,29,97,24,34,81,6,5,14,71,60,78,72,65,48,44,15,84,37,25,48,71,42,51,57,32,17,12,11,44,83,79,72,59,31,10,2,30,68,4,29,67,55,77,14,7,8,5,4,2,2,2,13,6,8,5,3,2,1,1,11,8,72,9,62,22,16,2,1,1,1,1,1,1,1,55.0,12.0,34.0,63,22,42,32,22,18,11,8,62,20,42,32,22,17,11,7,84,10,6,2,1,1,1,1,1,1,1,39,42,20
30,408100,89,89,29,30,79,16,10,21,10,45,44,11,57,26,16,24,45,30,35,37,27,43,33,24,45,27,28,34,54,12,100,100,77,0,17,25,29,29,94,24,39,78,6,8,28,65,74,76,84,82,57,47,17,88,47,43,56,71,51,42,52,29,14,11,9,29,73,79,75,75,18,8,4,37,59,2,33,65,66,83,13,4,9,7,6,4,1,1,13,5,7,5,4,2,1,1,10,1,88,1,93,6,1,2,0,2,2,2,2,0,0,97.0,2.0,1.0,57,21,35,30,22,21,14,12,57,21,35,30,22,21,14,12,88,8,4,2,2,0,0,0,0,0,0,98,2,0
31,800023,85,82,28,29,86,11,4,11,10,30,67,4,51,40,9,19,55,26,23,55,22,21,58,21,27,52,21,27,66,7,100,99,77,0,13,26,34,27,93,39,36,80,10,8,33,50,67,74,72,71,32,32,7,89,58,33,31,50,32,35,53,30,15,9,9,32,73,72,73,64,15,21,5,23,72,4,35,61,50,85,21,6,15,14,10,6,5,2,21,6,15,14,10,6,5,2,47,3,47,3,93,5,3,1,1,1,1,1,1,0,0,67.0,33.0,0.0,62,19,43,38,30,25,16,15,61,20,41,36,28,24,15,14,92,5,3,5,3,3,3,1,1,1,1,79,21,1
32,410300,75,72,36,30,74,9,3,12,5,29,64,7,44,41,15,12,55,33,19,58,23,10,61,28,14,59,28,23,68,9,100,100,77,0,20,31,27,22,96,48,39,91,16,10,24,53,59,74,59,58,26,21,4,87,52,27,40,53,35,49,60,36,16,11,13,43,81,83,72,67,14,19,7,28,65,8,28,64,66,84,25,7,18,15,14,11,8,4,25,7,18,15,13,9,7,4,31,3,62,4,92,6,2,4,0,4,4,3,1,1,0,96.0,3.0,1.0,50,17,33,30,25,17,13,10,48,16,32,29,24,16,12,8,93,5,2,3,1,2,2,2,2,1,0,100,0,0
33,412700,86,85,47,27,75,5,3,7,5,17,67,16,29,51,20,13,46,41,14,56,30,11,54,35,13,52,35,14,64,21,100,99,75,0,23,31,29,18,84,21,33,66,5,6,29,66,53,74,62,61,31,18,3,81,38,30,49,89,36,35,45,27,16,11,8,24,76,74,72,70,14,16,5,35,60,4,28,68,61,70,9,3,6,5,4,3,2,2,8,3,5,4,4,3,2,2,10,1,78,12,91,6,3,1,0,1,1,0,0,0,0,95.0,5.0,0.0,35,16,19,16,13,10,8,4,35,16,19,16,13,10,8,4,97,2,1,1,0,1,1,1,0,0,0,96,4,1
34,413700,99,99,28,32,84,15,9,22,11,35,62,3,50,41,9,19,69,12,29,59,12,28,56,16,37,47,16,32,65,3,100,100,77,0,11,26,25,38,94,88,65,89,38,29,41,57,74,75,88,86,53,41,6,91,78,36,43,50,33,48,68,52,29,26,22,43,94,98,91,80,10,11,6,32,62,10,27,63,54,75,54,23,31,25,22,16,12,12,54,23,31,25,22,15,12,12,62,11,25,2,90,8,1,3,2,1,1,0,0,0,0,93.0,7.0,0.0,62,42,20,17,14,11,11,8,62,42,19,17,13,11,7,7,88,7,5,9,5,4,4,4,4,1,1,40,59,0
35,800010,34,31,11,11,65,5,3,8,6,21,66,13,31,51,18,11,47,42,14,51,35,11,56,33,15,52,33,17,63,20,100,97,76,0,25,36,23,16,87,25,35,71,8,4,25,55,45,73,56,53,27,23,5,78,37,29,45,58,28,28,37,21,12,8,10,26,85,89,85,74,12,14,5,24,72,5,27,69,64,81,15,6,9,8,5,4,3,1,14,6,8,7,5,4,3,1,31,3,58,9,92,4,4,1,0,1,0,0,0,0,0,100.0,0.0,0.0,41,19,22,16,12,11,7,5,40,18,21,15,11,10,7,5,96,3,1,1,0,1,1,1,1,0,0,100,0,0
36,422500,90,86,15,29,90,11,5,16,13,28,67,5,44,43,13,10,62,28,19,59,23,10,70,20,16,66,18,24,70,6,100,100,53,0,14,32,33,22,92,39,45,83,4,2,48,57,50,51,53,49,27,24,6,87,45,35,43,51,42,30,31,13,21,15,14,55,79,87,74,71,16,13,21,11,68,6,23,71,43,69,14,6,8,6,5,4,2,2,11,4,7,5,5,4,1,0,65,5,22,8,96,4,0,4,3,2,2,1,1,1,1,97.0,3.0,0.0,48,19,28,24,20,16,13,6,47,19,28,23,19,16,12,6,97,3,0,4,3,1,0,0,0,0,0,99,1,0
37,425305,71,69,25,29,83,8,3,19,12,23,69,7,40,50,10,10,56,34,20,59,22,12,66,22,22,58,20,18,71,11,100,97,72,0,16,32,35,17,95,32,40,85,5,6,48,74,66,71,73,70,39,33,6,83,48,39,43,62,38,28,42,16,17,12,12,32,75,77,72,60,26,16,6,17,77,5,24,71,34,68,11,6,4,3,3,2,2,2,10,6,4,3,3,2,2,2,92,0,5,4,100,0,0,2,1,0,0,0,0,0,0,100.0,0.0,0.0,52,18,34,29,23,19,13,10,50,17,33,29,22,19,13,10,99,1,0,3,2,1,1,1,1,0,0,100,0,0
38,332905,74,69,24,29,86,8,4,20,12,39,56,5,57,35,8,21,59,20,30,56,13,20,58,23,24,52,24,33,61,5,100,99,84,0,26,29,30,16,97,21,30,84,4,4,19,62,51,83,63,55,26,39,7,79,34,29,35,55,28,72,62,39,19,13,11,37,80,73,73,61,17,23,4,30,66,4,34,62,64,84,19,8,12,10,9,7,5,3,15,7,8,7,5,4,1,1,15,4,78,3,60,24,17,6,2,4,4,4,3,3,2,47.0,40.0,14.0,57,26,31,26,19,16,14,9,54,26,29,23,18,15,12,8,84,10,6,6,2,4,3,2,2,1,1,66,27,7
39,403405,95,93,46,51,93,10,6,20,16,31,66,3,52,42,6,19,54,27,27,56,17,16,61,22,24,56,21,23,72,5,100,99,83,0,12,23,36,29,93,19,37,79,6,6,24,71,60,82,71,68,38,26,10,82,39,29,47,70,40,43,58,31,18,14,13,45,80,78,75,63,17,20,4,24,72,4,27,69,56,82,12,4,8,7,5,4,3,2,11,4,6,6,4,3,2,1,23,3,66,9,90,7,3,2,1,1,1,1,1,1,0,71.0,22.0,8.0,50,18,32,28,20,15,9,6,49,17,32,27,19,15,9,6,92,5,3,4,1,2,2,1,1,0,0,90,6,5
40,408105,88,86,29,30,82,14,7,17,10,38,54,8,55,32,13,22,50,28,30,45,25,34,43,23,38,37,25,31,59,10,100,100,77,0,15,25,31,28,94,30,37,79,7,8,30,58,71,75,79,77,46,41,13,89,51,39,47,63,44,39,53,30,15,10,9,30,73,75,74,69,17,14,4,31,65,3,34,63,59,84,17,5,12,10,8,5,3,2,16,6,10,9,7,4,3,2,30,2,66,2,93,5,2,2,0,1,1,1,1,0,0,92.0,8.0,1.0,59,21,38,33,25,23,15,13,58,21,38,33,24,22,14,13,90,7,4,3,2,1,1,0,0,0,0,85,15,0
