ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,AandeelICTSpecialisten_8,ICTSpecOntwEnOnderhoudSoftware_9,InternetVast_10,MinderDan2MbitS_11,k_2Tot10MbitS_12,k_10Tot30MbitS_13,k_30Tot100MbitS_14,k_100MbitSOfMeer_15,VoiceOfVideoAppsGebruikt_16,MobielInternetVerstrekt_17,PersoneelDatWerktMetMobielInternet_18,BedrijvenMetWebsite_19,BeschrijvingenVanProductenPrijslijst_20,OnlineBestellenBoekenOfReserveren_21,ProductaanpassingDoorKlant_22,BestellingOnlineVolgen_23,KlantspecifiekeInfoVoorDeBezoeker_24,VerwijzingNaarSocialeMedia_25,GegevensBezoekersOpWebsiteGebruikt_26,SocialeMediaGebruikt_27,SocialeNetwerkenBijvFacebook_28,BlogsOfMicroblogsBijvTwitter_29,MultimediaDelenBijvYouTube_30,WikiSOmKennisTeDelen_31,MarketingProductenBedrijfsimago_32,MeningenKlantReagerenOpVragen_33,BetrekkingKlantBijProductontwikkeling_34,SamenwerkenMetZakenrelaties_35,WervenVanPersoneel_36,KennisUitwisselingBinnenHetBedrijf_37,ERPSoftware_38,OpslagKlantgegevens_39,AnalyseKlantgegevens_40,NietGedigitaliseerd_41,NauwelijksGedigitaliseerd_42,GemiddeldGedigitaliseerd_43,VeelGedigitaliseerd_44,BijnaVolledigGedigitaliseerd_45,AntiVirussoftware_46,BeleidVoorSterkeWachtwoorden_47,UpdatenSoftwareBesturingssysteem_48,AuthenticatieViaSoftOfHardwaretoken_49,EncryptieVanData_50,GegevensOpAndereFysiekeLocatie_51,NetworkAccessControl_52,VPNInternetgebruikBuitenHetBedrijf_53,LogbestandenVoorAnalyseIncidenten_54,MethodesVoorBeoordelenICTVeiligheid_55,Risicoanalyses_56,VrijwilligeTraining_57,VerplichteTraining_58,MetContract_59,ExterneLeverancier_60,EigenPersoneel_61,EigenPersoneelEnExterneLeverancier_62,ICTVeiligheidsdocumentenAanwezig_63,BeheerToegangsrechten_64,OmgangData_65,PreventieVanVeiligheidsincidenten_66,RegelsVoorPersoneel_67,OpleidenPersoneel_68,MinderDan12MaandenGeleden_69,TussenDe12En24MaandenGeleden_70,MeerDan24MaandenGeleden_71,IncidentDoorInterneOorzaak_72,IncidentDoorAanvalVanBuiten_73,UitvalICTDienstDoorVeiligheidsinc_74,VernietigingDataDoorVeiligheidsinc_75,OnthullingDoorInternIncident_76,UitvalICTDienstDoorAanvalBuitenaf_77,VernietigingDataAanvalVanBuitenaf_78,OnthullingGegevensDoorICTInbraak_79,KostenIncidentAanvalBuitenaf_80,KostenIncidentIntern_81,UitvalICTDienstDoorVeiligheidsinc_82,VernietigingDataDoorVeiligheidsinc_83,OnthullingDoorInternIncident_84,UitvalICTDienstDoorAanvalBuitenaf_85,VernietigingDataAanvalBuitenaf_86,OnthullingDoorICTInbraak_87,VerzekeringICTVeiligheidsincidenten_88,GezochtNaarMeldingenCyberdreigingen_89,BekendMetDTC_90,DTCWebsiteAlsBronGebruikt_91,AndereBedrijven_92,Overheid_93,Consumenten_94,EFactuur_95,ElektronischMaarGeenEFactuur_96,PapierenVorm_97,EFactuur_98,AndersElektronischOfPapier_99,EFacturenVerzonden_100,EFacturenOntvangen_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,VerkoopViaWebsiteOfApp_112,Verkoopwaarde1VanDeTotaleOmzet_113,Verkoopwaarde1VanDeTotaleOmzet_114,Verkoopwaarde2VanDeTotaleOmzet_115,Verkoopwaarde5VanDeTotaleOmzet_116,Verkoopwaarde10VanDeTotaleOmzet_117,Verkoopwaarde25VanDeTotaleOmzet_118,Verkoopwaarde50VanDeTotaleOmzet_119,NederlandseConsumenten_120,BuitenlandseConsumenten_121,Bedrijven_122,Overheden_123,KlantenInNederland_124,KlantenInAndereEULanden_125,KlantenInLandenBuitenDeEU_126,HogeKostenBezorgenRetournerenEU_127,ProbleemOplossenKlachtenEnGeschillen_128,LabelsEtikettenAanpassen_129,OnvoldoendeKennisVanAndereTalen_130,BeperkingenOpgelegdDoorZakenpartners_131,LageKosten_132,Gemak_133,GrotereMarkt_134,BereikenInternationaleMarkt_135,MartkaandeelBehoudenVergroten_136,PlatformDomineertDeMarkt_137,FeedbackReviewsRatings_138,Anders_139,NegatiefOmzetDaalt_140,NeutraalOmzetBlijftGelijk_141,PositiefOmzetStijgt_142,NietBekendMetPlatformsBinnenBranche_143,NegatiefOmzetDaalt_144,NeutraalOmzetBlijftGelijk_145,PositiefOmzetStijgt_146,NietBekendMetPlatformsBinnenBranche_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155,KlantenInNederland_156,KlantenInAndereEULanden_157,KlantenInLandenBuitenDeEU_158,InkoopViaECommerce_159,Inkoopwaarde1VanDeTotaleInkoop_160,Inkoopwaarde1VanDeTotaleInkoop_161,Inkoopwaarde2VanDeTotaleInkoop_162,Inkoopwaarde5VanDeTotaleInkoop_163,Inkoopwaarde10VanDeTotaleInkoop_164,Inkoopwaarde25VanDeTotaleInkoop_165,Inkoopwaarde50VanDeTotaleInkoop_166,InkoopViaWebsiteOfApp_167,Inkoopwaarde1VanDeTotaleInkoop_168,Inkoopwaarde1VanDeTotaleInkoop_169,Inkoopwaarde2VanDeTotaleInkoop_170,Inkoopwaarde5VanDeTotaleInkoop_171,Inkoopwaarde10VanDeTotaleInkoop_172,Inkoopwaarde25VanDeTotaleInkoop_173,Inkoopwaarde50VanDeTotaleInkoop_174,AanbiedersInNederland_175,AanbiedersInAndereEULanden_176,AanbiedersInLandenBuitenDeEU_177,InkoopViaEDI_178,Inkoopwaarde1VanDeTotaleInkoop_179,Inkoopwaarde1VanDeTotaleInkoop_180,Inkoopwaarde2VanDeTotaleInkoop_181,Inkoopwaarde5VanDeTotaleInkoop_182,Inkoopwaarde10VanDeTotaleInkoop_183,Inkoopwaarde25VanDeTotaleInkoop_184,Inkoopwaarde50VanDeTotaleInkoop_185,AanbiedersInNederland_186,AanbiedersInAndereEULanden_187,AanbiedersInAndereLandenBuitenEU_188
37,900009,95,94,51,94,16,11,32,5,3,98,0,5,9,34,49,56,71,51,95,82,15,3,2,22,66,30,79,77,35,29,9,82,32,29,46,87,41,44,75,33,3,3,28,37,30,98,89,97,73,63,95,62,73,75,64,63,61,25,63,46,15,39,68,65,65,53,50,38,56,10,2,56,9,52,8,12,6,4,1,4,27,26,3,1,3,1,1,48,20,16,8,96,48,57,13,68,19,19,81,27,54,12,84,16,4,8,8,6,6,4,4,9,2,6,6,5,4,3,2,36,3,47,14,85,11,3,1,0,0,0,0,44,55,78,58,87,57,48,10,0,3,3,2,2,38,12,48,5,1,4,3,2,2,1,1,88,8,5,74,25,49,37,26,17,10,6,73,25,48,36,25,17,10,5,69,3,2,4,1,3,3,2,2,1,0,88,7,5
38,405900,97,96,55,94,14,9,42,4,2,96,0,3,9,36,49,70,79,51,97,83,9,2,2,20,66,22,88,85,32,37,7,79,19,25,41,86,33,47,68,23,2,5,30,40,23,98,81,96,49,51,93,58,79,77,57,59,48,16,55,33,24,44,53,52,52,42,41,26,38,12,4,45,10,42,4,6,6,5,2,3,17,17,2,0,3,1,0,26,19,12,4,97,60,37,12,73,16,15,85,25,41,11,79,21,3,8,7,5,5,3,1,9,2,5,5,3,3,1,1,8,0,85,6,78,16,6,0,0,0,0,0,48,74,81,55,55,4,48,4,0,3,4,1,0,34,12,53,4,0,3,3,2,1,1,0,90,8,1,76,24,53,43,31,25,14,10,76,24,52,43,31,24,14,10,70,4,2,2,1,2,1,1,1,1,0,98,1,1
39,406800,96,95,49,97,20,12,52,3,1,100,0,2,8,38,51,80,73,41,98,77,22,2,2,23,63,30,79,77,42,41,11,77,29,35,46,86,35,58,59,28,2,8,31,39,20,98,82,96,65,68,98,64,75,81,63,61,61,29,55,31,20,49,62,60,60,55,52,43,48,10,5,44,14,43,6,7,8,7,4,6,14,13,2,2,1,4,2,32,28,22,12,91,48,27,14,68,17,21,79,30,51,11,87,13,4,7,7,5,4,3,2,10,2,6,6,4,3,2,1,26,12,53,9,61,26,13,0,1,1,0,1,35,100,100,18,35,18,35,82,1,3,2,4,2,33,6,59,1,1,1,1,1,1,1,0,47,20,33,72,28,45,37,26,22,15,9,72,28,43,36,24,20,14,8,60,8,4,3,1,2,2,2,2,1,1,71,16,13
40,408100,95,94,49,92,14,11,34,4,2,97,0,4,7,32,54,75,69,37,95,81,23,9,4,23,72,35,85,85,49,49,13,90,36,38,51,88,48,48,69,37,3,6,30,33,27,94,79,93,63,59,92,51,70,65,52,56,42,24,56,42,25,34,47,46,47,39,36,26,39,6,2,44,10,42,6,4,8,2,2,4,17,16,3,1,4,0,0,36,12,14,7,98,45,26,23,67,10,22,78,34,51,16,94,6,9,8,7,6,4,4,4,16,5,7,6,6,4,4,4,19,5,72,4,84,12,4,0,1,0,0,0,100,100,78,19,78,19,19,19,1,5,6,4,4,38,13,44,3,3,0,0,0,0,0,0,95,4,1,79,25,54,47,31,19,14,11,79,25,54,46,31,19,14,11,67,7,5,2,1,2,2,1,0,0,0,85,8,7
41,800023,83,83,37,95,13,7,23,3,2,97,0,6,11,39,42,60,59,27,93,77,32,7,9,22,71,25,82,82,36,40,13,83,49,31,40,75,36,42,58,26,8,6,29,27,29,95,76,95,47,49,86,48,53,59,46,50,34,17,44,43,24,33,45,41,42,33,32,28,28,13,3,57,12,52,11,8,7,3,4,8,22,22,2,3,6,1,1,21,10,10,5,90,44,59,11,60,28,16,84,19,41,24,81,19,6,18,17,13,12,9,5,24,3,18,17,13,12,9,5,39,12,46,4,79,17,4,5,1,2,0,0,79,85,83,56,63,63,42,14,0,10,10,3,10,31,20,39,2,2,0,0,0,0,0,0,83,4,13,73,18,55,49,41,36,32,28,72,19,53,47,39,34,30,27,65,5,2,6,0,5,5,5,5,4,3,88,8,5
42,410300,84,82,35,86,14,11,32,5,3,96,0,8,16,37,35,58,70,49,92,82,43,10,12,21,60,25,77,75,24,39,4,88,45,32,37,82,34,40,58,33,8,12,35,31,15,98,80,93,51,45,87,57,61,70,53,52,39,20,45,36,27,37,45,43,44,38,36,35,30,14,1,53,12,50,5,8,9,7,3,7,21,19,4,2,6,3,3,27,14,16,3,95,39,46,14,73,13,17,83,27,45,29,93,7,9,21,19,14,11,9,6,28,7,19,18,13,10,9,6,31,5,62,2,89,6,5,2,0,1,0,0,43,54,74,28,61,67,33,3,6,11,6,5,7,32,17,44,4,2,2,2,1,0,0,0,99,1,0,68,28,40,32,26,21,13,7,67,29,39,31,24,19,12,5,62,4,2,5,2,3,3,3,3,2,1,97,3,0
43,412700,82,82,47,76,8,6,13,2,2,93,0,10,16,39,28,51,60,48,83,70,18,4,3,27,58,26,69,69,23,22,3,81,39,28,50,95,30,31,55,23,9,10,33,27,20,92,74,88,52,48,84,49,47,56,48,46,30,14,43,51,28,20,34,33,33,27,25,18,28,5,1,35,10,34,3,4,8,3,1,5,11,10,1,1,3,1,0,21,9,10,3,94,33,24,15,74,11,18,82,24,46,9,86,14,1,8,7,6,5,3,2,8,1,7,6,5,4,3,1,23,4,67,6,93,7,0,0,0,0,0,0,61,92,87,33,74,26,38,7,0,2,4,2,3,35,15,47,1,0,1,1,1,1,0,0,94,5,1,58,22,36,30,22,17,11,8,58,23,35,30,22,16,11,8,55,2,1,2,1,1,1,1,1,1,1,95,5,0
44,413700,98,98,29,90,16,13,36,6,4,100,0,6,13,35,46,61,59,24,95,87,82,43,32,37,79,59,87,87,57,55,8,91,69,51,48,84,31,29,63,36,7,1,50,28,14,100,86,98,57,51,90,56,78,76,67,62,51,27,61,39,23,38,76,70,74,58,56,30,55,15,6,48,10,48,6,1,5,3,2,7,15,15,2,0,5,2,0,34,11,12,4,92,27,92,9,75,16,13,87,28,38,57,95,5,6,51,51,50,39,29,23,57,5,51,51,50,39,29,23,51,14,33,3,85,12,2,5,0,0,1,1,64,49,97,81,85,67,50,15,10,23,19,5,10,46,25,18,1,1,1,1,1,1,1,0,90,5,5,67,29,39,36,35,29,22,21,67,29,38,36,34,29,22,20,57,7,3,1,0,1,1,1,1,1,1,50,25,25
45,900011,46,44,18,81,8,5,19,1,1,97,0,11,17,42,27,43,65,19,88,77,21,5,5,18,51,22,70,68,18,23,3,77,36,26,35,85,23,35,48,15,9,19,36,23,14,97,80,91,55,45,79,52,50,58,55,53,32,18,38,45,25,29,39,38,37,31,29,22,32,7,1,39,8,39,4,4,6,3,1,4,15,15,2,0,3,2,0,24,12,13,6,96,54,62,16,68,15,20,80,27,51,17,87,13,5,11,10,9,6,5,4,14,2,10,8,7,4,4,3,29,4,61,6,93,5,2,0,0,0,0,0,71,53,98,24,70,40,44,54,1,5,4,4,2,35,10,53,3,1,2,2,2,1,1,1,97,3,0,70,28,42,36,25,20,13,11,70,28,41,35,24,20,13,11,67,2,0,2,1,1,1,1,1,0,0,96,0,3
46,422500,94,86,33,89,10,7,24,2,1,100,0,5,8,55,31,40,51,23,99,92,31,5,1,49,54,19,67,63,23,20,4,75,42,27,29,77,27,25,46,8,4,6,26,29,35,99,85,98,73,83,92,61,72,79,62,68,53,26,54,44,13,43,67,63,63,52,50,41,50,16,1,54,8,50,3,17,5,3,3,5,27,24,2,5,2,2,1,33,19,18,9,77,38,82,41,29,30,27,73,47,68,14,77,23,6,9,9,8,5,4,3,8,1,4,4,3,2,1,1,44,0,41,16,100,0,0,0,0,0,0,0,100,100,38,25,46,50,25,25,0,3,2,4,0,30,6,64,6,1,5,5,5,4,3,2,100,0,0,80,25,55,49,37,33,21,16,80,25,54,49,37,32,21,15,78,1,0,5,2,3,3,3,3,3,0,98,2,0
47,425305,85,82,40,84,12,6,27,1,0,99,0,9,15,39,35,36,61,36,97,88,28,4,3,40,63,19,81,80,26,28,3,71,37,24,26,88,29,32,47,6,6,9,37,31,17,97,82,94,55,61,91,47,53,62,42,49,46,19,48,50,19,31,55,53,53,36,39,28,39,14,2,48,10,43,7,14,4,3,3,3,19,18,2,2,1,1,1,27,16,13,5,72,56,84,24,53,22,24,76,31,58,13,90,10,2,10,10,8,7,6,5,10,1,8,8,6,5,4,4,88,1,5,6,99,1,0,0,0,0,0,0,54,69,77,20,59,43,31,23,0,3,2,4,1,26,6,68,3,1,2,2,2,2,2,2,100,0,0,76,22,53,46,37,32,19,10,75,23,53,45,36,31,17,10,75,1,0,5,1,4,4,3,3,2,1,99,1,0
48,437600,82,82,35,85,31,19,63,28,11,100,0,4,10,50,37,73,81,42,87,83,27,0,19,27,67,37,71,67,35,50,13,81,54,19,35,89,19,85,94,48,6,0,10,29,56,100,96,94,67,60,100,77,75,92,60,83,63,33,54,4,83,13,69,69,65,54,50,54,62,8,0,46,15,27,19,0,15,0,10,15,10,10,0,0,15,0,0,40,17,25,12,100,37,62,7,90,4,17,83,10,44,21,84,16,4,17,17,17,17,13,13,21,4,17,8,8,8,4,4,17,2,80,0,39,61,0,10,0,0,0,4,100,100,0,0,0,0,0,0,0,4,10,8,0,42,13,44,10,0,10,10,10,10,10,10,50,50,0,65,10,56,56,52,52,52,42,62,10,52,52,48,48,48,38,54,5,3,17,0,17,17,17,17,17,4,89,11,0
49,332905,75,71,28,88,11,8,36,2,1,98,0,6,13,40,39,62,76,28,95,87,16,7,5,21,60,26,74,72,18,43,9,85,25,33,40,83,27,81,73,34,1,6,46,30,17,98,77,98,47,45,91,58,75,71,58,52,38,18,46,35,23,42,48,46,45,39,39,29,34,11,4,52,11,49,8,4,8,3,4,6,20,19,3,1,4,2,1,21,16,10,5,98,32,20,11,72,17,14,86,20,41,16,92,8,5,11,10,9,8,4,3,12,4,7,6,5,5,2,1,14,6,79,1,59,28,13,1,0,0,1,0,45,69,100,71,87,65,69,46,0,4,4,3,1,32,12,55,7,1,6,5,4,3,3,2,47,44,10,78,44,34,27,19,15,10,8,77,45,33,26,18,14,8,6,66,8,3,5,2,3,3,3,3,2,2,56,36,8
50,403405,96,95,53,94,15,11,36,5,3,97,0,4,9,35,49,61,74,51,96,82,13,3,2,21,66,27,82,80,34,32,8,81,27,28,44,86,38,45,72,29,2,4,29,38,27,98,86,97,65,59,95,61,75,76,62,62,56,22,60,41,18,41,63,60,61,49,47,34,49,10,3,52,9,49,7,10,6,4,2,4,23,23,3,1,3,1,1,40,20,14,6,96,52,50,12,70,18,17,83,26,49,12,82,18,4,8,8,6,5,4,3,9,2,6,6,4,4,2,2,26,2,60,11,83,13,4,0,0,0,0,0,45,60,79,57,78,42,48,8,0,3,4,2,1,37,12,50,5,1,3,3,2,2,1,1,89,8,4,75,25,50,39,28,20,12,8,74,25,49,39,27,20,11,7,69,3,2,3,1,3,2,2,1,1,0,91,6,4
51,408105,90,89,44,93,14,10,30,4,2,97,0,4,9,35,49,69,65,33,94,80,27,8,6,22,71,31,84,84,44,45,13,87,41,35,46,83,44,45,64,32,5,6,30,31,28,95,78,94,57,55,90,50,63,63,49,53,39,21,51,42,24,33,46,44,45,37,35,27,35,9,3,49,11,46,8,6,7,3,3,6,19,19,3,2,5,1,0,30,11,13,6,95,44,39,19,64,17,20,80,28,47,19,88,12,8,12,10,9,7,6,5,19,4,11,10,9,7,6,5,29,9,59,4,82,14,4,2,1,1,0,0,85,90,81,45,68,50,35,16,1,7,7,4,7,35,16,42,3,3,0,0,0,0,0,0,91,4,5,77,22,54,47,35,26,21,17,76,23,53,46,34,25,20,17,66,6,4,4,1,3,3,3,2,2,1,86,8,6
52,800010,76,75,41,79,8,6,16,2,1,95,0,10,16,40,28,49,62,42,85,73,22,6,5,24,56,26,70,69,22,24,3,80,39,28,44,90,27,32,52,20,9,13,35,25,18,94,77,89,53,47,82,50,49,58,52,50,31,16,42,49,27,25,38,37,36,30,28,20,31,6,1,37,9,36,4,4,7,3,1,5,13,12,1,1,3,2,0,23,10,11,4,95,41,42,15,72,13,19,81,25,48,14,88,12,3,11,10,9,7,5,3,12,2,10,9,8,6,4,3,31,6,58,5,91,7,1,0,0,0,0,0,66,66,94,41,75,42,43,27,1,4,5,3,3,35,14,48,2,1,1,1,1,1,1,1,96,4,0,63,25,38,33,24,18,12,10,63,25,38,32,23,18,12,9,60,2,1,2,1,1,1,1,1,1,0,95,3,2
53,332915,97,96,59,96,53,44,74,23,8,99,0,3,4,32,60,83,79,58,96,87,26,8,11,24,76,42,90,87,52,48,25,90,40,36,53,90,44,64,80,46,2,4,24,34,36,97,91,97,71,78,95,69,82,85,66,72,65,33,68,13,44,43,71,70,70,60,67,52,57,13,2,41,13,37,6,7,10,3,3,5,16,14,3,2,4,2,1,48,28,24,9,97,52,26,16,75,8,17,83,31,49,23,86,14,4,19,18,15,14,10,8,19,3,14,13,12,9,7,5,14,12,70,4,72,18,9,2,1,0,1,0,49,84,88,76,81,70,47,16,0,7,8,4,1,37,21,41,8,1,7,6,5,4,3,2,62,32,7,76,15,60,56,47,37,23,15,75,16,59,54,45,35,21,13,60,10,5,6,1,5,5,4,4,2,1,69,13,18
