ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20172019_7,k_31122019_8,k_31122018_9,k_31122017_10,Gemiddelde20172019_11,k_31122019_12,k_31122018_13,k_31122017_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122018_25,PersonenMetBijstand31122019_26,WajongUitkeringen31122019_27,PersonenMetLoonkostensubs31122019_28,PsychischMedicijngebruikOuders2019_29
342,GM0479,102230,31280,70360,26230,18310,2790,1170,1080,1160,1280,1230,1130,1200,1360,68600,24000,24400,25000,30200,4500,3800,82,14,17,16410,4150,2140,30,1500
343,GM0297,18350,6510,11860,4570,3330,310,80,70,80,100,100,90,100,110,10900,26200,4400,27000,6500,500,500,15,3,18,2540,350,250,40,360
344,GM0473,10350,2750,8560,2490,1690,260,100,110,100,100,100,100,100,110,8600,25600,2300,27500,2600,400,400,7,1,17,1880,450,200,10,110
345,GM0050,15730,4940,9670,3750,2720,270,80,80,80,80,100,100,100,100,8900,25400,3700,27100,5400,500,500,12,2,14,1930,340,210,20,180
346,GM0355,40000,13830,29320,9660,7350,800,300,280,310,330,360,320,370,400,29400,27700,8600,32500,12500,1500,1400,30,4,14,6950,1420,1300,70,660
347,GM0299,26830,7750,19850,6590,4550,510,220,200,220,240,210,200,200,240,19400,23700,6400,24400,8000,1000,900,22,4,19,4190,960,700,60,370
348,GM0637,80230,25470,56030,20770,14420,2390,1050,980,1050,1120,1100,1000,1110,1210,55100,25700,20400,25600,24700,4200,3700,68,10,15,12900,3290,1540,130,1370
349,GM0638,5490,1660,3480,1360,940,100,20,20,20,20,20,20,20,30,3600,27000,1300,29200,1500,100,100,5,1,25,800,60,290,10,90
350,GM1892,27830,9580,17850,7410,5310,570,130,120,130,130,180,170,190,180,16900,28100,6700,29300,8800,600,600,23,4,15,3630,580,480,30,430
351,GM0879,14100,3550,9500,3170,1990,180,50,50,40,40,70,70,60,70,9400,25100,3100,28400,3600,300,300,10,2,19,2130,250,280,10,150
352,GM0301,30200,9100,22050,7050,5130,700,390,370,390,400,420,390,430,430,22000,23100,6900,23600,9500,1500,1200,24,4,17,6180,1720,1150,120,540
353,GM1896,14170,5650,8570,3660,2730,190,60,60,60,60,80,80,80,80,8400,24600,3500,25300,5800,300,400,12,3,26,1910,270,310,30,210
354,GM0642,27380,8700,20160,6990,4840,770,390,370,400,410,420,390,430,440,20200,25000,6800,25200,8400,1400,1300,22,4,20,4730,1240,480,80,520
355,GM0193,85720,27140,60090,19170,14810,1670,820,800,810,850,900,870,890,930,58400,23400,18300,25200,26400,3000,2700,69,7,10,13290,4100,2830,120,1490
