ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,InternetVast_1,MinderDan30MbitS_2,k_30Tot100MbitS_3,k_100Tot500MbitS_4,k_500MbitSTot1GbitS_5,TenMinste1GbitS_6,BedrijvenMetWebsite_7,MobieleAppVoorKlanten_8,WebsiteOfAppHeeftPlatformfunctie_9,ClouddienstenGebruikt_10,EMail_11,OfficeSoftware_12,OpslagDatabases_13,OpslagBestanden_14,Boekhoudingsoftware_15,ERPSoftware_16,CRMSoftware_17,Veiligheidssoftware_18,Rekenkracht_19,Rekenplatform_20,Antivirussoftware_21,BeleidVoorSterkeWachtwoorden_22,BiometrischeMethoden_23,Multifactorauthenticatie_24,EncryptieVanData_25,GegevensOpAndereFysiekeLocatie_26,NetworkAccessControl_27,VPNGebruikBuitenHetBedrijf_28,LogbestandenVoorAnalyseIncidenten_29,MethodesVoorBeoordelenICTVeiligheid_30,Risicoanalyses_31,ICTBeveiligingsmonitoringsysteem_32,CyberincidentGeoefend_33,PhishingAanval_34,DDoSAanval_35,DatalekOfDatamanipulatie_36,GehacktSocialemediaAccount_37,BECFraude_38,AndereCyberIncidenten_39,IncidentMetInterneOorzaakGehad_40,IncidentDoorAanvalVanBuitenGehad_41,UitvalICTDienstDoorInterneOorzaak_42,VernietigingDataDoorInterneOorzaak_43,OnthullingGegevensDoorInterneOorzaak_44,UitvalICTDienstDoorAanvalBuitenaf_45,VernietigingDataAanvalBuitenaf_46,OnthullingGegevensDoorICTInbraak_47,KostenIncidentInterneOorzaakGehad_48,KostenIncidentAanvalBuitenafGehad_49,UitvalICTDienstDoorInterneOorzaak_50,VernietigingDataDoorInterneOorzaak_51,OnthullingGegevensDoorInterneOorzaak_52,UitvalICTDienstDoorAanvalBuitenaf_53,VernietigingDataAanvalBuitenaf_54,OnthullingGegevensDoorICTInbraak_55,RansomwareAanvalGehad_56,BestandenOfICTSystemenVersleuteld_57,AfpersingOpenbaarmakingInformatie_58,VerzekeringICTVeiligheidsincidenten_59,BekendMetDTC_60,DTCWebsiteAlsBronGebruikt_61,GezochtNaarMeldingenCyberdreigingen_62,GebruikICTOplossingenVoorMilieu_63,VerminderenEnergieverbruik_64,VerbeterenMateriaalverbruik_65,MonitoringICTOplossingenVoorMilieu_66
53,WP19097,410200,99,3,13.0,36.0,31.0,16.0,92,18.0,17.0,74.0,71.0,67.0,64.0,68.0,61.0,35.0,51.0,63.0,26.0,26.0,96,86,41.0,87,59.0,88,79.0,58.0,68.0,56.0,58.0,64.0,10.0,35.0,3,2.0,1,4.0,1.0,13.0,7,11.0,1,3.0,4,1,3,1,1,1,0,1,1,0,1,1,1,1,35.0,19.0,10.0,16.0,27.0,19.0,20.0,11.0
54,WP19097,422400,99,2,7.0,42.0,30.0,19.0,98,22.0,10.0,84.0,81.0,80.0,75.0,79.0,72.0,31.0,52.0,77.0,31.0,30.0,99,97,46.0,96,81.0,93,90.0,56.0,86.0,75.0,77.0,80.0,17.0,33.0,1,11.0,1,3.0,4.0,24.0,5,15.0,2,12.0,2,1,3,2,1,1,0,1,0,0,0,0,0,0,39.0,34.0,14.0,20.0,37.0,22.0,30.0,10.0
55,WP19097,332915,100,0,3.0,28.0,33.0,35.0,98,23.0,20.0,93.0,90.0,89.0,81.0,86.0,77.0,58.0,78.0,82.0,65.0,71.0,99,98,65.0,98,89.0,98,97.0,83.0,92.0,91.0,93.0,92.0,34.0,52.0,8,4.0,1,3.0,8.0,22.0,7,19.0,2,6.0,4,0,3,3,2,3,1,0,1,0,1,1,1,1,63.0,48.0,29.0,51.0,51.0,38.0,37.0,25.0
56,WP19107,399907,100,0,5.0,26.0,30.0,39.0,98,30.0,17.0,92.0,87.0,85.0,79.0,85.0,71.0,58.0,65.0,80.0,59.0,58.0,99,98,62.0,97,91.0,97,93.0,85.0,92.0,89.0,89.0,91.0,37.0,59.0,10,14.0,3,11.0,10.0,35.0,16,28.0,4,16.0,9,2,9,7,3,6,1,1,2,1,1,2,2,1,46.0,58.0,36.0,54.0,59.0,47.0,46.0,29.0
57,WP19107,307500,100,1,6.0,26.0,28.0,39.0,98,21.0,11.0,92.0,86.0,83.0,75.0,83.0,59.0,50.0,58.0,76.0,54.0,48.0,100,99,63.0,99,94.0,99,93.0,94.0,94.0,94.0,90.0,93.0,35.0,59.0,6,8.0,4,13.0,11.0,32.0,14,27.0,3,9.0,8,1,7,6,2,5,1,1,1,0,1,2,2,1,51.0,59.0,34.0,57.0,65.0,51.0,51.0,30.0
58,WP19107,800036,100,0,0.0,15.0,,51.0,100,48.0,21.0,100.0,87.0,78.0,82.0,81.0,,45.0,,,66.0,60.0,100,100,,100,97.0,97,91.0,97.0,94.0,94.0,97.0,94.0,66.0,63.0,6,11.0,0,8.0,9.0,16.0,19,9.0,0,10.0,6,0,12,0,3,0,0,0,0,0,3,3,0,3,49.0,65.0,51.0,62.0,82.0,79.0,73.0,31.0
59,WP19107,350000,100,0,2.0,22.0,34.0,42.0,99,24.0,8.0,92.0,84.0,84.0,82.0,88.0,63.0,56.0,59.0,82.0,62.0,67.0,100,98,69.0,97,89.0,100,94.0,93.0,90.0,93.0,93.0,95.0,47.0,68.0,9,3.0,2,16.0,13.0,38.0,16,32.0,9,16.0,8,5,11,5,6,4,1,1,3,3,3,2,2,1,46.0,58.0,45.0,59.0,65.0,55.0,57.0,36.0
60,WP19107,354200,100,0,5.0,29.0,36.0,30.0,98,42.0,25.0,94.0,86.0,83.0,76.0,83.0,65.0,50.0,63.0,76.0,56.0,60.0,99,99,60.0,98,91.0,98,94.0,93.0,92.0,90.0,87.0,93.0,37.0,61.0,7,8.0,3,13.0,9.0,31.0,15,27.0,6,9.0,8,3,8,7,4,7,1,0,3,2,2,3,2,2,42.0,53.0,32.0,54.0,66.0,54.0,54.0,36.0
61,WP19107,383100,99,1,4.0,33.0,34.0,28.0,97,29.0,22.0,89.0,84.0,83.0,70.0,81.0,59.0,45.0,60.0,71.0,61.0,66.0,97,96,52.0,94,87.0,96,93.0,91.0,91.0,89.0,88.0,93.0,39.0,55.0,17,5.0,2,10.0,8.0,34.0,22,32.0,4,9.0,14,4,8,7,4,7,2,1,2,2,0,2,2,1,46.0,59.0,35.0,56.0,62.0,45.0,43.0,27.0
62,WP19107,389100,100,0,4.0,19.0,47.0,30.0,91,41.0,22.0,91.0,89.0,83.0,81.0,83.0,78.0,61.0,72.0,83.0,45.0,55.0,100,100,59.0,100,91.0,94,92.0,79.0,94.0,81.0,87.0,87.0,28.0,54.0,9,11.0,4,2.0,11.0,30.0,17,28.0,6,9.0,9,2,13,9,4,5,0,4,2,0,2,0,0,0,38.0,40.0,13.0,38.0,53.0,40.0,36.0,21.0
63,WP19107,391600,100,0,0.0,22.0,24.0,55.0,100,32.0,26.0,96.0,93.0,94.0,88.0,94.0,83.0,71.0,85.0,90.0,75.0,78.0,99,100,81.0,99,96.0,98,98.0,95.0,97.0,99.0,98.0,96.0,51.0,48.0,21,7.0,3,8.0,9.0,31.0,23,24.0,2,10.0,17,4,10,4,5,4,0,0,3,0,2,3,3,2,75.0,71.0,46.0,68.0,71.0,61.0,50.0,50.0
64,WP19107,396300,100,0,0.0,9.0,19.0,72.0,95,54.0,12.0,93.0,93.0,93.0,86.0,93.0,69.0,65.0,79.0,91.0,86.0,86.0,100,100,83.0,100,100.0,100,98.0,98.0,100.0,100.0,100.0,100.0,76.0,64.0,29,21.0,2,14.0,15.0,43.0,24,35.0,5,24.0,21,5,10,7,2,7,2,2,2,0,0,2,2,0,69.0,73.0,59.0,81.0,69.0,62.0,55.0,53.0
65,WP19107,402000,100,0,6.0,,,,100,,6.0,100.0,100.0,94.0,94.0,100.0,,,88.0,94.0,,,100,100,88.0,100,94.0,100,100.0,88.0,94.0,94.0,88.0,100.0,,,18,,0,,,,12,,0,,6,0,6,6,6,0,0,6,0,0,6,0,0,0,,,,,,,,
66,WP19107,403300,99,0,1.0,15.0,29.0,54.0,93,32.0,24.0,92.0,88.0,84.0,85.0,86.0,72.0,66.0,71.0,85.0,72.0,76.0,98,98,71.0,98,94.0,98,97.0,96.0,98.0,95.0,96.0,97.0,49.0,70.0,17,12.0,1,13.0,11.0,29.0,16,22.0,5,14.0,12,2,6,7,3,7,2,1,2,1,1,1,1,0,62.0,72.0,46.0,71.0,70.0,56.0,56.0,45.0
67,WP19107,410200,99,1,11.0,30.0,30.0,27.0,96,31.0,24.0,83.0,81.0,80.0,77.0,78.0,74.0,56.0,68.0,76.0,48.0,48.0,97,93,50.0,91,74.0,92,86.0,62.0,83.0,74.0,76.0,82.0,21.0,48.0,7,9.0,3,6.0,5.0,24.0,11,19.0,2,8.0,5,1,7,4,2,3,1,1,2,0,1,1,1,1,33.0,32.0,17.0,24.0,37.0,27.0,28.0,17.0
68,WP19107,422400,100,0,4.0,26.0,28.0,42.0,100,25.0,9.0,94.0,90.0,88.0,81.0,89.0,84.0,67.0,62.0,85.0,59.0,51.0,100,99,61.0,100,97.0,99,92.0,74.0,92.0,89.0,89.0,87.0,35.0,62.0,9,32.0,3,10.0,11.0,51.0,18,35.0,6,33.0,10,1,11,10,3,9,1,3,2,0,1,2,2,0,38.0,67.0,44.0,59.0,53.0,41.0,41.0,19.0
69,WP19107,332915,100,0,1.0,26.0,30.0,43.0,100,29.0,23.0,95.0,88.0,87.0,83.0,89.0,75.0,65.0,82.0,85.0,67.0,71.0,99,100,82.0,99,95.0,98,97.0,95.0,97.0,97.0,97.0,95.0,44.0,48.0,13,6.0,2,6.0,7.0,29.0,18,26.0,2,7.0,14,3,8,7,4,7,1,0,2,0,2,2,2,2,74.0,63.0,42.0,66.0,73.0,64.0,52.0,51.0
