ID,GegevensdefinitiePerSoortGegeven,MateVanStandaardisatieVanDefinities,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzPers_2
573,  6,  2,       3,2006JJ00  ,79,27
574,  6,  2,       3,2007JJ00  ,113,38
575,  6,  2,       3,2008JJ00  ,110,37
576,  6,  2,       4,2006JJ00  ,58,38
577,  6,  2,       4,2007JJ00  ,56,37
578,  6,  2,       4,2008JJ00  ,52,36
579,  6,  2,       5,2006JJ00  ,19,26
580,  6,  2,       5,2007JJ00  ,17,23
581,  6,  2,       5,2008JJ00  ,20,32
582,  6,  2,       6,2006JJ00  ,130,30
583,  6,  2,       6,2007JJ00  ,117,28
584,  6,  2,       6,2008JJ00  ,120,28
585,  6,  2,       7,2006JJ00  ,244,29
586,  6,  2,       7,2007JJ00  ,242,29
587,  6,  2,       7,2008JJ00  ,255,31
588,  6,  3,       1,2006JJ00  ,183,8
589,  6,  3,       1,2007JJ00  ,144,6
590,  6,  3,       1,2008JJ00  ,161,7
591,  6,  3,       2,2006JJ00  ,34,7
592,  6,  3,       2,2007JJ00  ,29,6
593,  6,  3,       2,2008JJ00  ,41,8
594,  6,  3,       3,2006JJ00  ,42,14
595,  6,  3,       3,2007JJ00  ,25,8
596,  6,  3,       3,2008JJ00  ,28,9
597,  6,  3,       4,2006JJ00  ,10,7
598,  6,  3,       4,2007JJ00  ,23,15
599,  6,  3,       4,2008JJ00  ,12,8
600,  6,  3,       5,2006JJ00  ,8,11
601,  6,  3,       5,2007JJ00  ,2,3
602,  6,  3,       5,2008JJ00  ,0,0
603,  6,  3,       6,2006JJ00  ,23,5
604,  6,  3,       6,2007JJ00  ,28,7
605,  6,  3,       6,2008JJ00  ,34,8
606,  6,  3,       7,2006JJ00  ,66,8
607,  6,  3,       7,2007JJ00  ,38,5
608,  6,  3,       7,2008JJ00  ,46,6
609,  6,  4,       1,2006JJ00  ,40,2
610,  6,  4,       1,2007JJ00  ,31,1
611,  6,  4,       1,2008JJ00  ,37,2
612,  6,  4,       2,2006JJ00  ,8,2
613,  6,  4,       2,2007JJ00  ,4,1
614,  6,  4,       2,2008JJ00  ,2,0
615,  6,  4,       3,2006JJ00  ,11,4
616,  6,  4,       3,2007JJ00  ,2,1
617,  6,  4,       3,2008JJ00  ,4,1
618,  6,  4,       4,2006JJ00  ,2,1
619,  6,  4,       4,2007JJ00  ,0,0
620,  6,  4,       4,2008JJ00  ,2,1
621,  6,  4,       5,2006JJ00  ,2,3
622,  6,  4,       5,2007JJ00  ,0,0
623,  6,  4,       5,2008JJ00  ,0,0
624,  6,  4,       6,2006JJ00  ,12,3
625,  6,  4,       6,2007JJ00  ,2,0
626,  6,  4,       6,2008JJ00  ,6,1
627,  6,  4,       7,2006JJ00  ,5,1
628,  6,  4,       7,2007JJ00  ,23,3
629,  6,  4,       7,2008JJ00  ,24,3
630,  7,  0,       1,2006JJ00  ,2282,100
631,  7,  0,       1,2007JJ00  ,2273,100
632,  7,  0,       1,2008JJ00  ,2256,100
633,  7,  0,       2,2006JJ00  ,495,100
634,  7,  0,       2,2007JJ00  ,496,100
635,  7,  0,       2,2008JJ00  ,492,100
636,  7,  0,       3,2006JJ00  ,293,100
637,  7,  0,       3,2007JJ00  ,298,100
638,  7,  0,       3,2008JJ00  ,299,100
639,  7,  0,       4,2006JJ00  ,152,100
640,  7,  0,       4,2007JJ00  ,153,100
641,  7,  0,       4,2008JJ00  ,146,100
642,  7,  0,       5,2006JJ00  ,74,100
643,  7,  0,       5,2007JJ00  ,73,100
644,  7,  0,       5,2008JJ00  ,63,100
645,  7,  0,       6,2006JJ00  ,430,100
646,  7,  0,       6,2007JJ00  ,423,100
647,  7,  0,       6,2008JJ00  ,430,100
648,  7,  0,       7,2006JJ00  ,838,100
649,  7,  0,       7,2007JJ00  ,830,100
650,  7,  0,       7,2008JJ00  ,827,100
651,  7,  1,       1,2006JJ00  ,348,15
652,  7,  1,       1,2007JJ00  ,353,16
653,  7,  1,       1,2008JJ00  ,394,17
654,  7,  1,       2,2006JJ00  ,73,15
655,  7,  1,       2,2007JJ00  ,54,11
656,  7,  1,       2,2008JJ00  ,96,20
657,  7,  1,       3,2006JJ00  ,42,14
658,  7,  1,       3,2007JJ00  ,37,12
659,  7,  1,       3,2008JJ00  ,35,12
660,  7,  1,       4,2006JJ00  ,16,11
661,  7,  1,       4,2007JJ00  ,21,14
662,  7,  1,       4,2008JJ00  ,23,16
663,  7,  1,       5,2006JJ00  ,17,23
664,  7,  1,       5,2007JJ00  ,3,4
665,  7,  1,       5,2008JJ00  ,11,17
666,  7,  1,       6,2006JJ00  ,120,28
667,  7,  1,       6,2007JJ00  ,123,29
668,  7,  1,       6,2008JJ00  ,107,25
669,  7,  1,       7,2006JJ00  ,80,10
670,  7,  1,       7,2007JJ00  ,114,14
671,  7,  1,       7,2008JJ00  ,123,15
672,  7,  2,       1,2006JJ00  ,845,37
673,  7,  2,       1,2007JJ00  ,882,39
674,  7,  2,       1,2008JJ00  ,830,37
675,  7,  2,       2,2006JJ00  ,171,35
676,  7,  2,       2,2007JJ00  ,225,45
677,  7,  2,       2,2008JJ00  ,192,39
678,  7,  2,       3,2006JJ00  ,90,31
679,  7,  2,       3,2007JJ00  ,86,29
680,  7,  2,       3,2008JJ00  ,127,42
681,  7,  2,       4,2006JJ00  ,62,41
682,  7,  2,       4,2007JJ00  ,66,43
683,  7,  2,       4,2008JJ00  ,57,39
684,  7,  2,       5,2006JJ00  ,19,26
685,  7,  2,       5,2007JJ00  ,33,45
686,  7,  2,       5,2008JJ00  ,22,35
687,  7,  2,       6,2006JJ00  ,151,35
688,  7,  2,       6,2007JJ00  ,152,36
689,  7,  2,       6,2008JJ00  ,149,35
690,  7,  2,       7,2006JJ00  ,352,42
691,  7,  2,       7,2007JJ00  ,320,39
692,  7,  2,       7,2008JJ00  ,282,34
693,  7,  3,       1,2006JJ00  ,1044,46
694,  7,  3,       1,2007JJ00  ,1005,44
695,  7,  3,       1,2008JJ00  ,987,44
696,  7,  3,       2,2006JJ00  ,246,50
697,  7,  3,       2,2007JJ00  ,211,43
698,  7,  3,       2,2008JJ00  ,200,41
699,  7,  3,       3,2006JJ00  ,147,50
700,  7,  3,       3,2007JJ00  ,173,58
701,  7,  3,       3,2008JJ00  ,134,45
702,  7,  3,       4,2006JJ00  ,71,47
703,  7,  3,       4,2007JJ00  ,65,42
704,  7,  3,       4,2008JJ00  ,62,42
705,  7,  3,       5,2006JJ00  ,36,49
706,  7,  3,       5,2007JJ00  ,37,51
707,  7,  3,       5,2008JJ00  ,31,49
708,  7,  3,       6,2006JJ00  ,147,34
709,  7,  3,       6,2007JJ00  ,147,35
710,  7,  3,       6,2008JJ00  ,166,39
711,  7,  3,       7,2006JJ00  ,396,47
712,  7,  3,       7,2007JJ00  ,372,45
713,  7,  3,       7,2008JJ00  ,394,48
714,  7,  4,       1,2006JJ00  ,45,2
715,  7,  4,       1,2007JJ00  ,34,1
716,  7,  4,       1,2008JJ00  ,45,2
717,  7,  4,       2,2006JJ00  ,6,1
718,  7,  4,       2,2007JJ00  ,6,1
719,  7,  4,       2,2008JJ00  ,3,1
720,  7,  4,       3,2006JJ00  ,13,4
721,  7,  4,       3,2007JJ00  ,2,1
722,  7,  4,       3,2008JJ00  ,4,1
723,  7,  4,       4,2006JJ00  ,2,1
724,  7,  4,       4,2007JJ00  ,0,0
725,  7,  4,       4,2008JJ00  ,4,3
726,  7,  4,       5,2006JJ00  ,2,3
727,  7,  4,       5,2007JJ00  ,0,0
728,  7,  4,       5,2008JJ00  ,0,0
729,  7,  4,       6,2006JJ00  ,12,3
730,  7,  4,       6,2007JJ00  ,2,0
731,  7,  4,       6,2008JJ00  ,8,2
732,  7,  4,       7,2006JJ00  ,10,1
733,  7,  4,       7,2007JJ00  ,25,3
734,  7,  4,       7,2008JJ00  ,27,3
