ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,VoornUitgDoorEigenPersoneel_10,VoornUitgDoorExterneLeveranciers_11,NietVanToepassing_12,VoornUitgDoorEigenPersoneel_13,VoornUitgDoorExterneLeveranciers_14,NietVanToepassing_15,VoornUitgDoorEigenPersoneel_16,VoornUitgDoorExterneLeveranciers_17,NietVanToepassing_18,VoornUitgDoorEigenPersoneel_19,VoornUitgDoorExterneLeveranciers_20,NietVanToepassing_21,VoornUitgDoorEigenPersoneel_22,VoornUitgDoorExterneLeveranciers_23,NietVanToepassing_24,VoornUitgDoorEigenPersoneel_25,VoornUitgDoorExterneLeveranciers_26,NietVanToepassing_27,VoornUitgDoorEigenPersoneel_28,VoornUitgDoorExterneLeveranciers_29,NietVanToepassing_30,Internet_31,VastBreedband_32,MobielBreedband_33,MinderDan2MegabitPerSeconde_34,k_2Tot10MegabitPerSeconde_35,k_10Tot30MegabitPerSeconde_36,k_30Tot100MegabitPerSeconde_37,k_100MegabitPerSecondeOfMeer_38,LaptopTablet_39,Smartphone_40,MobielInternetVerschaftAanWerknemers_41,ToegangEMailsysteemVanHetBedrijf_42,ToegangTotBestandenVanHetBedrijf_43,ToegangTotBedrijfssystemenBijvERP_44,BedrijvenMetWebsite_45,OnlineBestellenBoekenOfReserveren_46,BeschrijvingenVanProductenPrijslijst_47,BestellingOnlineVolgen_48,ProductaanpassingDoorKlant_49,KlantspecifiekeInfoVoorDeBezoeker_50,PersoneelsadvertentiesVanBedrijfZelf_51,VerwijzingNaarSocialeMedia_52,AdverterenOpInternet_53,InhoudVanDeWebsite_54,EerdereActiviteitenVanDeGebruiker_55,GeografischeLocaties_56,AndereGerichteMethoden_57,SocialeMediaGebruikt_58,SocialeNetwerkenBijvFacebook_59,BlogsOfMicroblogsBijvTwitter_60,MultimediaDelenBijvYouTube_61,WikiSOmKennisTeDelen_62,CloudDienstenGebruikt_63,EMailAlsCloudDienst_64,OfficeSoftware_65,DatabaseHosting_66,BestandenOpslaanAlsCloudDienst_67,SoftwareVoorBoekhouding_68,SoftwareKlantinformatiebeheer_69,RekenkrachtVoorSoftwareBedrijf_70,GedeeldeServers_71,ServersUitsluitendVoorHetBedrijf_72,Uitgevoerd_73,DataVanBedrijfZelf_74,DataOverGeografischeLocaties_75,DataVanSocialeMedia_76,AndereBronnen_77,MedewerkersEigenBedrijf_78,AnderBedrijf_79,EFactuur_80,ElektronischMaarGeenEFactuur_81,InPapierenVorm_82,EFactuur_83,GeenEFactuur_84,EFacturenVerzonden_85,EFacturenOntvangen_86,VerkoopViaECommerce_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde1VanDeTotaleOmzet_89,Verkoopwaarde2VanDeTotaleOmzet_90,Verkoopwaarde5VanDeTotaleOmzet_91,Verkoopwaarde10VanDeTotaleOmzet_92,Verkoopwaarde25VanDeTotaleOmzet_93,Verkoopwaarde50VanDeTotaleOmzet_94,VerkoopViaEenWebsiteApp_95,Verkoopwaarde1VanDeTotaleOmzet_96,Verkoopwaarde1VanDeTotaleOmzet_97,Verkoopwaarde2VanDeTotaleOmzet_98,Verkoopwaarde5VanDeTotaleOmzet_99,Verkoopwaarde10VanDeTotaleOmzet_100,Verkoopwaarde25VanDeTotaleOmzet_101,Verkoopwaarde50VanDeTotaleOmzet_102,NederlandseConsumenten_103,BuitenlandseConsumenten_104,Bedrijven_105,Overheden_106,KlantenInNederland_107,KlantenInAndereEULanden_108,KlantenInLandenBuitenDeEU_109,OnlineBetalingen_110,OfflineBetalingen_111,GoederenOfDienstenOngeschikt_112,LogistiekeProblemen_113,ProblemenMetBetalingen_114,ProblemenMetBeveiliging_115,JuridischeProblemen_116,TeHogeKosten_117,VerkoopViaEDI_118,Verkoopwaarde1VanDeTotaleOmzet_119,Verkoopwaarde1VanDeTotaleOmzet_120,Verkoopwaarde2VanDeTotaleOmzet_121,Verkoopwaarde5VanDeTotaleOmzet_122,Verkoopwaarde10VanDeTotaleOmzet_123,Verkoopwaarde25VanDeTotaleOmzet_124,Verkoopwaarde50VanDeTotaleOmzet_125,KlantenInNederland_126,KlantenInAndereEULanden_127,KlantenInLandenBuitenDeEU_128,InkoopViaECommerce_129,Inkoopwaarde1VanDeTotaleInkoop_130,Inkoopwaarde1VanDeTotaleInkoop_131,Inkoopwaarde2VanDeTotaleInkoop_132,Inkoopwaarde5VanDeTotaleInkoop_133,Inkoopwaarde10VanDeTotaleInkoop_134,Inkoopwaarde25VanDeTotaleInkoop_135,Inkoopwaarde50VanDeTotaleInkoop_136,InkoopViaEenWebsiteApp_137,Inkoopwaarde1VanDeTotaleInkoop_138,Inkoopwaarde1VanDeTotaleInkoop_139,Inkoopwaarde2VanDeTotaleInkoop_140,Inkoopwaarde5VanDeTotaleInkoop_141,Inkoopwaarde10VanDeTotaleInkoop_142,Inkoopwaarde25VanDeTotaleInkoop_143,Inkoopwaarde50VanDeTotaleInkoop_144,AanbiedersInNederland_145,AanbiedersInAndereEULanden_146,AanbiedersInLandenBuitenDeEU_147,InkoopViaEDI_148,Inkoopwaarde1VanDeTotaleInkoop_149,Inkoopwaarde1VanDeTotaleInkoop_150,Inkoopwaarde2VanDeTotaleOmzet_151,Inkoopwaarde5VanDeTotaleInkoop_152,Inkoopwaarde10VanDeTotaleInkoop_153,Inkoopwaarde25VanDeTotaleInkoop_154,Inkoopwaarde50VanDeTotaleInkoop_155,AanbiedersInNederland_156,AanbiedersInAndereEULanden_157,AanbiedersInLandenBuitenDeEU_158
25,900021,99,98,33,28,86,26,16,21,21,51,41,8,59,33,8,43,45,12,53,39,8,42,42,16,49,35,16,35,56,9,100,99,75,0,11,21,33,35,52,71,68,65,52,46,87,25,69,16,11,42,63,60,38,31,24,22,25,70,70,36,22,12,43,28,28,27,34,29,18,11,33,18,20,11,2,9,6,13,9,3,30,66,24,76,12,54,7,1,6,5,5,5,5,3,7,1,6,5,5,5,5,3,46,0,54,0,98,2,0,3,7,36,18,14,17,26,10,0,0,0,0,0,0,0,0,0,0,0,55,19,36,22,17,10,5,5,55,19,36,22,17,10,5,5,92,7,1,0,0,0,0,0,0,0,0,0,0,0
26,402100,95,93,52,39,89,10,3,30,34,24,64,12,42,45,13,6,66,28,15,66,20,4,76,20,9,73,18,21,69,10,100,100,82,0,8,24,35,32,61,79,80,76,48,46,90,39,76,13,7,48,59,72,22,19,8,10,10,76,69,42,27,8,50,26,25,28,30,24,22,12,41,17,10,3,3,9,1,8,8,4,27,69,11,89,11,44,11,2,9,7,5,4,3,2,11,2,9,6,3,3,3,2,67,11,21,2,84,11,5,5,3,50,19,15,15,17,14,2,0,2,2,1,1,0,0,52,23,24,54,37,17,11,11,9,5,5,54,37,17,11,10,9,5,4,97,3,0,3,1,2,2,2,2,0,0,88,11,1
27,900009,94,92,49,54,91,13,5,18,21,22,71,7,45,46,10,18,58,24,27,59,14,17,62,21,24,58,17,20,74,7,100,98,80,0,12,18,36,35,57,76,76,72,54,44,93,22,80,7,7,30,75,64,29,23,10,9,12,72,69,45,25,8,58,32,28,38,38,40,25,14,40,32,18,7,6,10,6,16,10,6,40,54,12,88,19,41,14,4,10,8,7,6,3,1,12,4,8,7,5,5,2,0,31,4,57,8,89,7,4,5,8,60,17,13,18,20,15,4,2,2,2,1,1,1,0,70,22,8,59,21,38,32,25,17,8,4,59,21,38,31,24,16,7,4,94,4,2,4,2,2,1,1,1,0,0,91,4,5
28,405900,93,90,40,43,91,8,5,22,18,33,59,8,50,35,14,19,46,35,25,52,23,20,52,28,24,47,29,28,65,8,100,98,84,0,9,22,35,34,60,82,78,75,58,46,92,19,73,6,6,17,74,60,19,16,7,5,5,71,66,39,30,9,44,26,19,21,25,17,14,7,31,20,14,7,7,6,2,12,8,4,43,53,11,89,13,36,10,3,7,6,4,2,2,2,8,3,5,4,3,2,1,1,13,0,62,25,90,7,3,2,2,69,24,19,17,20,20,2,0,2,2,1,1,1,0,74,17,10,67,21,46,40,30,19,11,7,66,21,45,39,28,18,10,6,91,5,3,4,1,3,3,2,2,1,1,65,7,28
29,406800,95,93,37,54,93,15,7,21,16,37,58,5,50,41,9,24,51,25,40,47,13,20,54,25,27,46,27,37,57,6,100,98,79,0,12,24,28,36,50,75,76,73,55,44,94,23,80,6,3,23,64,59,18,14,4,3,8,72,68,47,36,17,48,27,26,30,34,25,19,13,38,25,30,18,5,11,9,30,13,4,51,46,10,90,9,36,12,4,8,7,5,3,2,1,10,4,6,4,2,1,1,1,25,2,61,12,73,19,8,5,6,69,20,16,20,22,21,4,1,2,2,2,2,2,0,73,8,19,58,16,42,31,25,19,12,6,58,17,41,31,25,18,11,5,78,15,7,4,2,2,2,2,2,1,1,77,17,6
30,408100,89,88,36,36,90,11,6,16,14,35,59,6,51,37,11,22,51,27,26,49,24,38,38,23,36,41,23,27,66,8,100,96,81,0,12,20,30,38,57,78,79,75,49,46,90,22,81,7,9,18,69,71,37,30,17,16,22,82,78,59,48,17,58,42,30,42,37,40,25,11,43,34,27,10,9,18,5,25,14,6,54,40,13,87,15,37,18,3,15,14,11,9,5,3,16,3,13,11,8,6,3,3,17,4,78,1,84,12,4,9,9,61,20,12,13,11,13,5,2,3,3,2,2,2,0,97,3,1,65,20,45,34,20,14,9,6,65,20,45,33,20,14,8,6,86,10,4,5,3,3,2,1,1,0,0,98,2,0
31,800023,88,86,24,33,86,7,5,13,17,27,64,9,46,36,18,17,50,33,20,56,24,15,58,27,22,53,25,19,67,14,100,97,70,0,19,24,32,25,46,69,66,50,37,36,90,41,77,7,9,35,46,66,39,33,11,11,14,74,74,34,31,5,45,24,26,31,27,25,24,6,35,18,23,8,6,16,6,21,16,7,38,54,10,90,17,34,28,13,15,13,11,8,8,5,27,12,15,13,10,7,7,5,54,4,41,1,94,5,1,18,17,53,32,24,22,16,27,2,1,1,1,1,1,0,0,100,0,0,67,20,47,41,38,35,29,19,66,20,46,41,37,35,29,19,92,7,2,6,4,2,2,2,2,1,0,96,4,0
32,410300,74,67,35,28,74,12,8,14,9,30,63,7,46,42,12,18,52,30,23,52,25,12,64,24,16,60,24,26,63,11,100,95,78,0,20,20,38,22,56,72,76,64,41,39,92,47,81,15,18,30,61,58,37,34,15,17,14,71,67,34,27,4,29,14,10,14,14,14,10,4,26,9,27,13,15,12,4,26,13,9,43,48,17,83,21,46,25,4,21,19,19,14,11,6,24,4,19,17,17,13,11,6,29,5,63,3,88,8,4,12,13,61,26,25,23,23,26,3,0,3,3,3,1,0,0,64,30,6,55,24,31,29,22,20,13,9,55,25,30,29,21,18,12,8,91,7,2,3,2,2,2,1,1,1,1,82,18,0
33,412700,85,84,47,27,65,6,2,6,9,16,63,21,28,49,23,10,46,45,13,50,37,9,53,38,11,52,37,13,65,22,100,96,71,0,21,32,33,14,47,68,66,57,43,39,80,21,60,4,5,24,65,51,34,24,15,14,21,61,60,33,18,4,40,30,25,32,30,27,24,11,32,15,13,5,4,9,2,10,7,8,50,42,15,85,14,38,9,2,7,6,6,5,4,2,8,2,7,6,5,4,3,1,17,0,72,10,97,3,0,2,5,47,20,16,17,18,18,1,0,0,0,0,0,0,0,80,20,0,38,14,24,20,15,11,7,3,37,14,23,19,14,10,7,3,98,2,1,3,1,2,1,1,1,0,0,87,1,12
34,413700,99,99,26,31,73,19,9,16,18,34,59,7,41,39,20,27,61,12,30,50,20,31,50,19,39,48,13,38,54,7,100,99,64,0,19,29,18,34,28,60,61,52,41,29,95,83,94,33,40,45,71,80,75,72,42,27,23,84,84,54,45,6,46,27,28,38,33,22,20,16,39,26,30,7,6,28,6,27,22,4,43,53,14,86,18,43,69,29,39,39,36,29,18,17,66,29,37,37,33,28,18,17,71,12,17,1,87,9,4,52,42,29,14,8,11,11,15,4,1,4,4,3,0,0,0,94,4,2,64,27,37,37,34,30,27,23,60,27,33,33,30,26,23,19,85,9,6,8,4,4,4,4,4,4,4,57,43,0
35,900011,36,33,14,14,65,6,4,10,7,21,64,15,34,44,22,14,50,37,16,54,30,13,59,28,14,58,28,16,69,15,100,96,78,0,21,35,28,16,53,74,70,60,43,38,87,28,73,11,6,29,59,53,27,22,12,12,15,64,62,28,21,5,33,17,16,20,21,18,13,4,27,11,12,6,5,6,3,11,6,6,37,57,12,88,17,38,17,7,10,7,4,3,3,2,15,7,9,6,3,2,2,1,22,6,59,13,87,10,3,6,6,55,27,22,22,22,25,2,1,2,1,1,1,0,0,83,16,1,47,16,31,28,18,14,9,6,47,16,31,28,18,13,9,6,94,3,2,2,1,1,1,0,0,0,0,98,2,0
36,422500,92,89,21,31,84,12,5,15,24,27,67,6,41,49,11,11,66,22,19,64,17,11,66,23,16,61,23,23,71,6,100,97,58,0,14,29,40,18,48,52,53,45,36,35,90,38,80,2,1,37,60,58,29,24,12,13,9,59,57,32,25,7,37,22,20,29,27,23,19,8,23,23,19,9,3,7,7,19,9,22,21,57,14,86,35,44,16,9,8,7,5,3,1,1,12,5,6,6,4,3,1,1,63,0,24,12,100,0,0,5,9,67,22,17,24,23,20,5,3,1,1,1,1,1,1,100,0,0,65,22,42,37,34,31,19,11,63,23,40,36,33,30,18,11,98,2,1,5,1,3,1,1,1,1,0,95,2,3
37,425305,76,74,28,32,83,10,4,16,18,21,71,9,39,47,14,10,56,34,15,65,21,6,65,29,15,61,23,13,74,13,100,96,69,0,13,27,35,25,49,66,66,58,46,40,96,28,87,4,5,42,79,63,18,13,5,9,6,71,68,35,28,7,49,27,22,33,30,27,27,11,38,21,11,3,3,7,3,9,6,9,25,66,14,86,19,43,8,4,4,4,2,2,1,1,6,3,3,2,2,1,1,1,89,0,2,9,100,0,0,1,4,59,21,17,18,18,17,2,1,1,1,1,0,0,0,100,0,0,61,20,41,36,30,25,16,10,60,20,41,36,29,25,16,10,99,1,0,5,2,2,2,1,1,0,0,99,0,0
38,332905,77,73,33,30,85,7,3,18,14,40,57,4,57,35,7,24,56,20,33,55,12,23,54,24,25,53,22,33,59,7,100,97,82,0,19,31,32,18,56,78,80,74,57,53,97,19,81,6,5,20,66,59,22,19,5,6,6,65,58,26,41,4,24,13,12,12,15,10,9,4,19,11,18,12,6,7,3,17,8,6,47,47,12,88,15,33,17,6,11,11,8,6,5,3,14,5,8,8,5,3,2,1,15,7,77,1,65,25,10,7,10,69,30,23,17,22,22,6,1,5,4,4,4,3,2,50,31,19,62,34,28,23,18,12,8,5,60,34,26,21,16,10,6,4,87,9,4,4,1,3,3,3,3,2,1,63,18,19
39,403405,94,92,46,50,91,11,5,19,20,26,67,7,46,42,11,18,54,27,27,57,17,18,59,23,24,55,21,22,71,7,100,98,81,0,11,19,35,35,58,78,77,73,55,45,93,21,78,7,7,26,75,63,26,21,9,8,10,72,68,43,27,8,54,30,25,33,34,33,21,11,37,28,17,7,6,9,4,15,9,6,41,54,11,89,17,39,13,4,9,7,6,5,3,1,11,3,7,6,5,4,2,1,26,3,58,13,89,7,4,4,6,63,19,15,18,20,17,3,2,2,2,1,1,1,0,71,21,8,61,21,41,35,26,17,9,5,61,21,40,33,25,17,8,5,93,5,2,4,2,2,2,2,1,1,0,84,5,11
40,408105,89,87,31,35,88,10,6,15,15,32,61,7,49,37,14,20,51,29,24,52,24,29,46,25,31,45,24,24,66,10,100,96,77,0,15,21,31,33,52,74,74,65,44,42,90,30,80,7,9,24,59,69,38,31,15,14,19,79,76,49,41,12,53,35,28,37,33,34,25,9,40,27,25,9,8,17,5,23,15,7,48,46,12,88,16,36,22,7,15,13,11,9,6,4,21,7,14,12,9,6,5,4,37,4,58,1,89,8,3,13,12,58,25,17,16,13,19,4,2,2,2,2,2,1,0,97,2,1,66,20,46,37,27,23,17,11,65,20,45,36,27,22,16,11,88,9,3,5,3,2,2,1,1,0,0,97,3,0
41,332915,97,96,63,59,94,48,37,55,36,71,24,6,77,14,9,49,34,17,54,31,14,52,30,18,54,28,19,61,30,8,100,99,82,0,5,16,31,47,60,78,79,76,65,61,94,31,83,11,10,31,82,74,48,42,25,20,28,81,77,56,43,26,63,38,34,47,46,33,34,15,47,38,33,17,13,21,8,31,14,9,57,34,14,86,21,38,21,9,12,10,8,7,5,3,19,9,10,8,7,6,4,3,13,3,78,5,81,13,7,9,12,58,18,16,16,17,17,5,2,3,3,2,1,1,0,84,13,3,65,15,50,45,37,31,19,13,64,15,49,44,36,30,18,13,83,11,7,4,1,2,2,2,1,1,1,77,18,5
