ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,LAN_5,DraadloosLAN_6,Intranet_7,Extranet_8,Telewerkers_9,Internet_10,ISDNOfAnaloogModem_11,TotaalBreedband_12,ADSLVDSLEnSDSLEnDergelijke_13,BreedbandVast_14,AndereHoogwaardigeVasteVerbindingen_15,MobielBreedbandTotaal_16,ViaDraagbareComputer_17,ViaMobieleTelefoonSmartphone_18,AndereMobieleVerbindingGPRSEDGE_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,TenMinsteEenAangebodenFaciliteit_23,PresentatieEigenBedrijf_24,ProductcatalogiEnPrijslijsten_25,ProductaanpassingVoorKlant_26,OnlineBestellenOfBoeken_27,BestellingVolgen_28,PaginaVoorVasteBezoekers_29,WervenVanPersoneel_30,AndereFaciliteiten_31,TenMinsteEenSoortCommunicatie_32,VerkrijgenVanInformatie_33,VerkrijgenVanFormulieren_34,RetournerenIngevuldeFormulieren_35,VolledigeElekAfhandelingAanvraag_36,ElektronischInschrijvenOpAanbesteding_37,VerkoopViaExterneNetwerken_38,CryptografischeProtocollen_39,Verkoopwaarde1VanDeTotaleOmzet_40,Verkoopwaarde2VanDeTotaleOmzet_41,Verkoopwaarde5VanDeTotaleOmzet_42,Verkoopwaarde10VanDeTotaleOmzet_43,Verkoopwaarde25VanDeTotaleOmzet_44,Verkoopwaarde50VanDeTotaleOmzet_45,VerkoopViaEenWebsite_46,Verkoopwaarde1VanDeTotaleOmzet_47,Verkoopwaarde2VanDeTotaleOmzet_48,Verkoopwaarde5VanDeTotaleOmzet_49,Verkoopwaarde10VanDeTotaleOmzet_50,Verkoopwaarde25VanDeTotaleOmzet_51,Verkoopwaarde50VanDeTotaleOmzet_52,VerkoopViaNietInternetnetwerken_53,Verkoopwaarde1VanDeTotaleOmzet_54,Verkoopwaarde2VanDeTotaleOmzet_55,Verkoopwaarde5VanDeTotaleOmzet_56,Verkoopwaarde10VanDeTotaleOmzet_57,Verkoopwaarde25VanDeTotaleOmzet_58,Verkoopwaarde50VanDeTotaleOmzet_59,InkoopViaExterneNetwerken_60,Inkoopwaarde1VanDeTotaleInkoop_61,Inkoopwaarde2VanDeTotaleInkoop_62,Inkoopwaarde5VanDeTotaleInkoop_63,Inkoopwaarde10VanDeTotaleInkoop_64,Inkoopwaarde25VanDeTotaleInkoop_65,Inkoopwaarde50VanDeTotaleInkoop_66,ERPSoftware_67,TotaalCRMSoftware_68,OpslagKlantgegevens_69,AnalyseKlantgegevens_70,TotaalOpenSourceSoftware_71,BesturingssystemenServerSoftware_72,KantoorEnBedrijfsapplicaties_73,TotaalVerkooporderverwerkingssysteem_74,FactureringsEnBoekhoudsystemen_75,Voorraadbeheersystemen_76,Productiesystemen_77,LogistiekeSystemen_78,TotaalInkooporderverwerkingssysteem_79,BetalingsEnBoekhoudsysteem_80,Voorraadbeheersystemen_81,TenMinsteEenSoortADE_82,OrderverwerkingMetDerden_83,VerzendenVanInkooporders_84,OntvangenVanElektronischeFacturen_85,OntvangenVanVerkooporders_86,VerzendenVanElektronischeFacturen_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,TotaalBedrijvenMetSCM_92,TotaalSCMMetLeveranciers_93,TotaalSCMMetAfnemers_94,ViaWebsites_95,ViaAutomatedDataExchangeADE_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,DigitaleHandtekening_113,Totaal_114,VernietigingOfVerminkingVanGegevens_115,OnthullingVanVertrouwelijkeGegevens_116,UitvalVanICTDiensten_117,VerplichteTrainingOfVoorlichting_118,OpnameInEenArbeidsContract_119,VrijwilligeTraining_120,Storingen_121,AanvalVanBuitenaf_122,Infectie_123,InbraakPharmingOfPhishing_124,Personeel_125,SterkeWachtwoorden_126,HardwareTokens_127,BiometrischeMethoden_128,OffsiteDataBackup_129,LoggingActiviteiten_130
35,58,13,59.0,97,96,16,98,40,96,83,96,98,41,98,62,98,90,76,67,52,55,98,90,61,96,98,72,45,60,44,68,96,85,98,85,95,95,60,14,80,75,54,54,48,48,38,24,48,43,43,35,29,13,7,65,41,41,35,33,26,17,81,50,45,45,40,22,10,28,81,76,69,58,49,34,90,78,40,39,28,71,46,26,98,81,36,31,74,36,59,12,83,65,30,23,21,30,27,79,21,0,0,70,25,5,0,23,47,26,4,17,64,0,19,74,98,93,91,94,50,84,83,66,18,16,19,24,90,70,6,93,88
36,59,14,1101.0,90,87,29,85,26,40,15,61,99,27,88,76,88,34,38,27,35,17,95,95,9,72,89,38,7,16,8,14,39,50,99,74,98,95,46,5,8,4,7,7,7,7,5,5,5,5,5,5,4,3,3,5,3,3,3,3,3,2,45,28,22,20,14,9,3,22,23,18,16,34,17,29,42,32,7,8,6,36,29,7,80,43,22,31,14,9,31,5,59,30,3,3,1,2,1,43,46,4,7,52,34,14,1,19,41,27,14,18,66,16,0,22,30,78,62,84,13,29,26,23,4,4,3,3,54,20,3,56,36
37,59,11,868.0,85,82,22,81,23,27,12,53,99,29,84,74,84,25,29,21,28,9,95,95,5,67,87,34,4,11,6,11,28,45,99,71,97,94,42,3,6,3,4,4,4,4,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,39,21,15,14,13,8,3,11,21,15,15,29,11,27,40,29,3,6,6,33,25,4,78,43,19,35,13,9,29,6,55,31,2,2,0,1,1,46,46,0,8,62,15,23,0,19,38,24,19,12,75,12,0,22,26,81,65,84,11,24,20,20,5,4,4,3,50,11,3,48,30
38,59,12,204.0,90,88,29,97,37,79,25,88,100,19,100,84,100,58,65,43,55,40,93,93,16,89,97,54,16,32,15,25,77,65,100,82,100,100,57,10,18,9,16,16,16,16,13,10,13,12,12,12,10,10,6,11,10,10,10,10,7,4,68,51,46,38,20,12,7,58,28,28,17,52,37,37,46,41,19,14,8,45,41,14,84,39,30,14,17,7,37,0,75,23,8,8,4,8,0,31,51,12,6,40,60,0,0,19,42,32,7,26,60,14,0,21,43,69,53,82,18,46,45,28,3,1,1,3,68,47,4,79,50
39,59,13,29.0,93,91,35,100,44,93,44,89,100,26,100,81,100,96,78,59,74,51,100,100,55,93,100,51,11,33,15,19,85,78,100,81,100,100,63,4,7,7,7,7,7,7,4,4,7,7,7,7,7,4,4,4,4,4,4,4,4,4,59,37,37,33,15,4,4,59,37,33,22,42,38,27,63,51,29,14,11,70,55,22,89,55,48,29,18,11,40,7,74,55,4,4,4,4,0,55,27,9,9,41,33,17,9,9,64,18,9,26,37,38,0,36,43,92,75,92,29,40,55,49,0,4,0,8,81,58,0,96,78
40,60,14,7209.0,91,88,37,90,44,48,28,74,99,22,95,77,93,34,43,29,35,23,93,93,18,71,88,21,5,17,4,13,52,52,98,74,97,97,52,14,18,6,16,15,14,11,8,6,12,11,10,8,6,4,2,13,11,11,10,9,6,5,46,35,30,28,19,9,5,20,31,27,21,35,20,27,44,32,9,12,10,33,25,9,69,40,21,34,16,11,24,11,52,30,4,3,3,3,3,47,32,15,6,47,38,12,2,30,37,22,11,29,43,24,4,36,42,80,74,79,17,32,34,26,9,9,5,7,62,27,4,62,41
41,60,11,6234.0,92,89,32,90,43,42,26,71,99,22,94,78,93,28,38,26,31,19,93,93,15,69,87,20,4,16,3,13,47,50,98,72,96,96,51,12,17,4,14,14,13,11,8,6,11,10,9,8,5,4,1,11,10,10,9,8,6,4,43,33,29,27,18,9,5,16,28,24,18,33,17,27,40,29,8,10,8,31,23,7,67,39,20,34,14,9,23,10,49,28,3,2,2,2,2,50,28,15,8,48,34,15,3,32,34,22,12,30,43,23,4,35,39,78,72,77,14,29,30,24,9,8,5,6,60,24,4,60,37
42,60,12,833.0,91,88,34,94,53,73,37,85,98,25,97,73,96,66,63,46,54,42,94,93,29,83,90,26,5,23,7,17,72,64,98,81,98,97,57,25,26,15,23,20,18,15,9,8,17,14,11,10,8,6,4,19,17,16,15,12,7,5,56,43,36,33,23,13,7,35,46,43,33,44,32,31,61,48,13,21,19,45,36,15,78,45,26,34,20,16,26,19,63,37,8,6,5,6,6,39,44,14,3,48,46,6,0,26,46,23,5,25,40,30,4,43,56,85,78,83,27,45,49,33,9,14,6,10,72,37,6,71,62
43,60,13,142.0,90,88,43,98,57,90,68,94,100,20,100,69,99,81,77,65,66,54,96,95,60,92,99,29,9,23,8,23,87,80,100,87,100,98,63,34,32,25,25,23,23,17,15,10,14,12,12,8,5,4,1,24,19,17,16,13,10,9,74,51,47,40,27,12,6,60,65,63,51,49,45,25,60,54,23,26,24,58,47,21,91,60,40,44,34,28,42,29,79,54,14,14,12,12,11,46,35,16,3,40,52,8,0,21,49,21,10,26,55,12,7,50,74,92,87,90,33,60,68,47,12,14,8,13,81,68,13,85,76
44,61,14,5946.0,68,67,21,80,37,26,15,51,99,24,91,80,89,19,26,17,20,13,92,92,11,65,79,21,5,24,5,13,48,36,97,62,95,95,45,12,22,8,20,19,18,16,12,10,18,17,15,13,11,7,4,14,13,12,11,10,7,5,30,20,19,18,13,7,5,12,21,17,14,21,10,19,43,33,10,7,9,30,22,8,73,40,16,30,24,13,24,7,54,30,3,3,2,3,2,48,27,20,5,45,40,13,3,22,45,21,13,30,46,20,3,25,24,84,73,79,8,19,16,17,7,6,3,4,49,14,2,43,24
45,61,11,4384.0,62,60,20,75,35,19,12,46,99,26,89,78,87,16,22,13,16,10,92,92,8,60,74,22,4,25,4,12,38,32,97,59,94,94,42,10,23,7,21,19,18,17,14,11,19,18,16,14,12,8,4,14,13,13,12,11,8,6,26,18,17,17,13,7,6,9,16,13,10,19,8,17,39,29,9,5,7,27,20,7,71,40,15,29,24,12,26,7,49,29,3,3,2,3,2,48,23,24,6,39,41,15,5,22,46,17,15,32,45,18,4,22,18,83,75,80,6,15,13,14,6,6,2,2,44,12,2,38,20
46,61,12,1308.0,72,70,19,91,41,38,19,59,99,19,94,86,93,20,34,26,26,16,92,91,14,77,88,20,7,20,8,17,71,42,98,67,97,97,53,15,19,9,17,16,14,12,7,6,13,11,10,9,8,5,4,10,9,8,7,7,4,3,39,23,20,18,13,6,3,16,30,22,21,25,12,22,52,41,12,11,12,36,26,11,77,39,16,29,21,16,17,5,64,31,2,2,1,2,1,43,37,14,6,51,37,12,0,21,42,30,7,28,50,21,1,31,36,84,68,74,10,27,21,24,8,6,4,8,56,17,1,51,31
47,61,13,254.0,68,68,21,94,48,64,36,82,100,24,98,82,98,55,52,41,44,32,95,92,36,88,94,24,10,31,9,22,83,64,100,81,100,100,61,26,28,18,26,25,22,21,15,11,22,19,18,15,13,6,3,20,20,20,18,16,11,6,51,34,30,27,18,8,6,35,52,46,39,36,23,24,64,50,13,20,16,43,30,9,89,58,27,43,32,27,30,7,78,45,7,4,4,6,4,57,32,9,2,54,41,6,0,20,47,16,17,27,38,28,7,45,57,90,79,86,26,48,40,34,9,12,8,10,74,41,5,76,60
48,62,14,4596.0,67,64,14,91,36,42,17,73,99,23,94,82,93,35,28,19,21,15,93,93,18,81,92,41,4,21,3,13,58,54,96,74,95,91,46,9,12,4,11,10,9,8,7,5,9,9,8,7,6,3,2,7,6,6,6,5,5,4,41,31,28,26,21,12,8,8,8,7,4,30,15,23,31,20,5,6,6,23,16,7,70,43,20,25,9,19,19,4,43,32,2,2,1,2,2,27,39,26,8,47,40,10,2,21,44,24,11,17,47,32,5,31,38,74,64,66,15,21,30,25,8,9,5,5,62,26,3,62,34
49,62,11,2995.0,65,63,20,87,32,29,13,66,99,25,92,81,91,23,16,9,13,7,93,93,14,74,90,42,4,23,2,12,43,48,95,69,94,89,42,7,12,2,10,9,7,6,5,5,10,10,8,7,6,3,2,6,4,4,4,4,3,3,34,25,23,21,18,12,8,4,5,4,2,24,6,21,30,18,4,3,4,17,10,2,63,38,15,24,8,20,15,3,33,24,1,1,0,1,1,21,41,28,10,46,41,11,1,22,48,21,10,20,44,35,2,26,31,68,58,63,15,14,21,20,8,9,5,4,60,19,3,56,25
50,62,12,949.0,66,63,17,95,36,54,21,82,100,19,99,85,97,40,37,28,24,21,94,94,18,91,96,42,6,18,5,12,81,61,98,82,95,94,50,13,14,6,13,13,13,12,10,6,10,9,9,9,7,4,3,9,9,9,9,8,7,4,45,36,32,30,24,11,6,12,14,11,6,38,22,28,35,22,5,7,7,21,14,5,81,48,26,26,10,15,22,6,55,40,4,4,2,4,3,31,40,21,8,47,37,11,5,18,36,30,16,11,55,20,13,39,46,81,68,64,13,26,43,32,6,8,2,5,65,28,2,68,45
51,62,13,652.0,67,64,13,98,50,83,32,89,100,21,99,84,99,81,64,52,52,40,93,92,34,95,98,38,3,14,3,18,92,74,100,87,100,97,62,15,12,8,10,10,9,8,7,7,7,5,5,4,3,1,1,8,7,7,7,7,6,5,66,47,44,40,33,16,10,20,14,12,7,47,41,23,33,25,12,14,12,53,42,27,88,55,38,29,11,22,33,10,69,55,6,5,1,3,5,38,33,25,4,48,43,9,1,24,44,23,9,13,47,35,4,43,55,80,74,78,16,44,53,37,9,9,6,9,69,54,3,79,62
