ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,Internet_6,TotaalBreedband_7,BreedbandVastTotaal_8,ADSLVDSLEnSDSLEnDergelijke_9,AndereHoogwaardigeVasteVerbindingen_10,MobielBreedbandTotaal_11,MinderDan2MegabitPerSeconde_12,k_2Tot10MegabitPerSeconde_13,k_10Tot30MegabitPerSeconde_14,k_30Tot100MegabitPerSeconde_15,k_100MegabitPerSecondeOfMeer_16,AantalBedrijvenMetWebsite_17,OnlineBestellenBoekenOfReserveren_18,InfoOverBeveiligingEnPrivacyVdSite_19,BeschrijvingenVanProductenPrijslijst_20,BestellingOnlineVolgen_21,ProductaanpassingDoorKlant_22,KlantspecifiekeInfoVoorVasteBezoeker_23,PersoneelsadvertentiesVanBedrijfZelf_24,VerkrijgenVanInformatie_25,VerkrijgenVanFormulieren_26,RetournerenIngevuldeFormulieren_27,SocialePremiesVanMedewerkers_28,BTWAangifte_29,DocumentenRaadplegenOverAanbesteding_30,OverheidInNederland_31,OverheidInAnderEULand_32,MobielInternetVerschaftAanWerknemers_33,ERPSoftware_34,OpslagKlantgegevens_35,AnalyseKlantgegevens_36,SocialeMediaGebruikt_37,SocialeNetwerkenBijvFacebook_38,BlogsOfMicroblogsBijvTwitter_39,SitesDieMultimediaDelenBvYouTube_40,WikiSOmKennisTeDelen_41,MarketingProductenBedrijfsimago_42,MeningenKlantenReagerenOpVragen_43,BetrekkenKlantBijProductontwikkeling_44,SamenwerkenMetZakenrelaties_45,WervenVanPersoneel_46,KennisUitwisselenBinnenHetBedrijf_47,FormeelBeleidGebruikSocialeMedia_48,EFactuur_49,ElektronischMaarGeenEFactuur_50,InPapierenVorm_51,EFactuur_52,ElektronischMaarGeenEFactuur_53,InPapierenVorm_54,ElektronischeFacturenVerzonden_55,ElektronischeFacturenOntvangen_56,VerkoopViaExterneNetwerken_57,Verkoopwaarde1VanDeTotaleOmzet_58,Verkoopwaarde1VanDeTotaleOmzet_59,Verkoopwaarde2VanDeTotaleOmzet_60,Verkoopwaarde5VanDeTotaleOmzet_61,Verkoopwaarde10VanDeTotaleOmzet_62,Verkoopwaarde25VanDeTotaleOmzet_63,Verkoopwaarde50VanDeTotaleOmzet_64,VerkoopViaEenWebsite_65,Verkoopwaarde1VanDeTotaleOmzet_66,Verkoopwaarde1VanDeTotaleOmzet_67,Verkoopwaarde2VanDeTotaleOmzet_68,Verkoopwaarde5VanDeTotaleOmzet_69,Verkoopwaarde10VanDeTotaleOmzet_70,Verkoopwaarde25VanDeTotaleOmzet_71,Verkoopwaarde50VanDeTotaleOmzet_72,ProductOngeschikt_73,LogistiekeProblemen_74,ProblemenMetBetalingen_75,ProblemenMetBeveiliging_76,JuridischeProblemen_77,TeHogeKosten_78,NederlandseConsumenten_79,BuitenlandseConsumenten_80,Bedrijven_81,Overheden_82,KlantenInNederland_83,KlantenInAndereEULanden_84,KlantenInLandenBuitenDeEU_85,VerkoopViaEDI_86,Verkoopwaarde1VanDeTotaleOmzet_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde2VanDeTotaleOmzet_89,Verkoopwaarde5VanDeTotaleOmzet_90,Verkoopwaarde10VanDeTotaleOmzet_91,Verkoopwaarde25VanDeTotaleOmzet_92,Verkoopwaarde50VanDeTotaleOmzet_93,KlantenInNederland_94,KlantenInAndereEULanden_95,KlantenInLandenBuitenDeEU_96,InkoopViaExterneNetwerken_97,Inkoopwaarde1VanDeTotaleInkoop_98,Inkoopwaarde1VanDeTotaleInkoop_99,Inkoopwaarde2VanDeTotaleInkoop_100,Inkoopwaarde5VanDeTotaleInkoop_101,Inkoopwaarde10VanDeTotaleInkoop_102,Inkoopwaarde25VanDeTotaleInkoop_103,Inkoopwaarde50VanDeTotaleInkoop_104,InkoopViaEenWebsite_105,Inkoopwaarde1VanDeTotaleInkoop_106,Inkoopwaarde1VanDeTotaleInkoop_107,Inkoopwaarde2VanDeTotaleInkoop_108,Inkoopwaarde5VanDeTotaleInkoop_109,Inkoopwaarde10VanDeTotaleInkoop_110,Inkoopwaarde25VanDeTotaleInkoop_111,Inkoopwaarde50VanDeTotaleInkoop_112,AanbiedersInNederland_113,AanbiedersInAndereEULanden_114,AanbiedersInLandenBuitenDeEU_115,InkoopViaEDI_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde1VanDeTotaleInkoop_118,Inkoopwaarde2VanDeTotaleOmzet_119,Inkoopwaarde5VanDeTotaleInkoop_120,Inkoopwaarde10VanDeTotaleInkoop_121,Inkoopwaarde25VanDeTotaleInkoop_122,Inkoopwaarde50VanDeTotaleInkoop_123,AanbiedersInNederland_124,AanbiedersInAndereEULanden_125,AanbiedersInLandenBuitenDeEU_126
34,396300,100800,99,97,27,25,95,100,100,100,65,88,91,0,16,18,32,34,95,37,65,64,15,5,37,73,85,90,96,76,80,25,7,3,89,41,70,54,50,48,35,22,20,91,76,54,65,78,54,80,1,6,92,3,10,87,22,64,21,8,13,13,4,4,2,0,18,7,13,13,4,4,0,0,57,21,17,18,24,15,52,0,19,29,100,0,0,7,5,2,2,0,0,0,0,83,17,0,64,36,28,24,22,22,13,13,64,36,28,24,22,22,13,13,96,4,1,11,11,0,0,0,0,0,0,84,16,0
35,396300,101150,98,98,51,46,96,100,100,100,92,96,100,0,0,10,19,71,100,56,77,96,21,33,77,94,96,100,100,88,77,42,4,0,100,54,83,75,100,100,88,60,48,73,67,60,58,65,77,67,13,7,80,17,19,64,33,81,65,38,27,27,27,21,10,10,54,29,25,25,25,19,8,8,65,8,23,17,19,17,79,2,18,1,94,5,1,31,19,15,10,10,10,2,2,97,3,0,77,54,21,17,17,17,10,6,77,54,21,17,17,13,6,2,96,3,0,4,0,4,4,4,4,4,4,100,0,0
36,402000,100550,94,91,39,40,85,100,98,98,73,60,82,2,23,22,40,14,94,22,48,69,4,6,42,66,90,90,91,69,85,17,7,2,83,44,49,22,65,55,49,30,3,79,52,35,41,34,24,46,0,4,96,3,13,84,8,72,3,3,1,1,1,1,1,0,3,3,1,1,1,1,1,0,64,36,32,24,27,20,32,1,64,2,88,10,2,0,0,0,0,0,0,0,0,0,0,0,63,39,24,23,19,13,11,7,63,39,24,23,19,13,11,7,99,1,0,0,0,0,0,0,0,0,0,0,0,0
37,402000,100480,87,84,30,25,80,100,98,98,73,53,76,2,29,23,34,12,92,19,40,65,2,4,41,60,87,88,88,63,83,14,7,2,77,36,46,21,62,50,47,23,0,77,41,28,35,31,13,43,0,4,96,3,12,85,8,69,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,68,40,36,24,28,25,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,61,38,23,21,19,12,12,8,61,38,23,21,19,12,12,8,99,1,0,0,0,0,0,0,0,0,0,0,0,0
38,402000,100800,97,94,42,36,100,100,100,100,73,78,100,0,8,16,58,17,100,32,72,82,10,12,45,85,100,96,100,89,91,27,9,0,100,69,55,26,73,65,52,51,7,81,78,52,52,35,46,53,1,2,97,2,16,82,8,81,9,4,4,4,4,4,4,0,9,4,4,4,4,4,4,0,53,22,19,22,25,4,53,3,40,5,76,19,5,0,0,0,0,0,0,0,0,0,0,0,69,39,30,30,21,17,8,4,69,39,30,30,21,17,8,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0
39,402000,101150,96,92,43,61,100,100,100,100,77,100,100,0,0,15,42,42,100,19,65,77,15,23,42,88,96,100,88,65,78,15,0,0,100,85,81,15,100,88,85,58,31,85,77,42,65,65,62,65,0,1,99,4,15,81,19,65,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,42,31,27,19,27,15,97,1,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,69,62,12,12,12,12,12,4,69,62,12,12,12,12,12,4,94,6,0,0,0,0,0,0,0,0,0,0,0,0
40,403300,100550,92,89,36,43,85,100,99,98,70,58,79,1,19,28,36,17,90,18,39,68,6,5,24,68,84,90,90,72,88,31,21,5,78,32,49,26,67,62,40,30,14,75,44,37,51,61,42,46,2,12,86,3,18,80,35,73,13,6,8,6,5,4,2,2,12,5,7,5,4,3,2,1,68,20,16,17,19,15,27,2,64,7,88,7,5,3,1,2,2,1,1,0,0,79,16,5,65,25,39,34,27,21,15,11,64,25,39,34,26,21,14,10,91,5,3,4,2,2,1,1,1,1,0,84,13,3
41,403300,100480,91,89,33,38,84,100,99,98,71,54,76,1,20,28,36,14,89,17,36,67,5,5,23,65,83,89,88,70,88,29,19,4,75,27,45,22,64,59,36,27,12,74,42,35,51,56,39,42,2,12,86,2,18,80,34,73,12,5,7,6,4,3,2,1,11,4,6,5,4,3,1,1,68,20,16,17,19,15,27,2,63,8,90,6,4,2,1,1,1,1,0,0,0,85,11,4,64,24,39,34,27,21,15,11,64,24,39,34,26,21,15,11,92,5,3,4,2,1,1,1,1,0,0,87,12,1
42,403300,100800,94,90,35,40,93,100,100,99,69,82,93,0,12,27,37,24,92,24,51,71,9,8,30,85,86,95,96,80,89,42,30,9,93,57,65,43,79,74,56,41,23,80,53,46,49,81,53,60,4,11,85,4,15,81,40,71,19,8,11,8,7,6,4,2,15,8,7,5,4,3,2,1,68,21,16,16,17,15,23,1,72,4,86,10,4,7,2,5,4,3,3,2,1,72,27,1,70,31,39,31,24,19,12,8,69,31,39,31,23,18,12,8,87,8,5,4,2,1,1,1,1,0,0,81,10,9
43,403300,101150,93,89,39,49,97,100,100,100,70,97,99,0,10,11,30,49,96,26,67,70,15,16,45,93,85,96,96,84,87,46,41,24,96,77,83,60,87,82,68,61,46,82,58,47,60,82,66,80,3,12,84,9,16,75,49,73,33,14,20,16,16,15,11,8,23,10,13,13,13,13,8,6,68,15,13,11,12,13,24,16,57,4,66,17,17,16,8,8,7,7,7,3,1,70,14,15,71,30,41,35,30,27,24,13,68,30,38,32,27,25,18,10,84,11,5,11,4,6,5,5,5,4,3,67,25,8
44,410200,100550,71,67,23,28,59,99,97,95,77,38,65,3,22,35,31,9,79,24,37,60,7,7,28,54,70,84,84,76,85,24,15,2,63,22,35,21,51,49,32,23,6,76,47,36,53,67,40,37,2,16,82,2,19,79,33,62,16,8,8,7,6,4,3,2,15,7,8,6,5,4,3,2,55,23,20,19,20,18,30,1,58,11,97,3,1,2,1,1,0,0,0,0,0,93,6,2,43,18,24,20,14,12,8,6,42,18,24,20,14,12,8,6,96,2,1,2,1,1,1,0,0,0,0,90,10,0
45,410200,100480,61,58,24,20,53,99,96,94,79,32,61,3,23,35,30,7,75,24,34,58,6,6,26,47,66,80,81,71,83,22,13,1,58,15,30,17,48,45,29,22,5,73,46,36,52,62,40,30,1,15,84,2,18,80,29,59,16,8,8,6,5,4,3,1,16,8,8,6,5,4,3,1,53,23,21,19,21,20,33,1,53,13,97,3,0,1,1,0,0,0,0,0,0,89,9,2,40,17,23,19,12,10,6,5,40,17,23,18,12,10,6,5,97,2,1,2,1,1,1,0,0,0,0,86,13,0
46,410200,100800,68,64,24,21,69,100,98,96,73,48,74,2,21,34,30,13,87,24,42,62,6,8,31,69,78,92,91,86,89,28,19,2,74,36,44,27,58,56,35,22,9,80,48,34,53,78,40,47,3,18,78,3,20,77,43,70,14,5,9,8,7,5,4,3,13,6,8,6,6,4,3,2,60,21,18,17,17,15,19,2,72,7,94,4,2,2,0,2,1,1,1,1,1,97,3,0,46,19,27,23,20,17,12,10,46,19,26,23,19,16,12,9,96,2,1,2,1,1,1,1,1,0,0,99,0,1
47,410200,101150,74,70,23,32,85,100,100,99,79,66,85,0,10,28,46,17,94,28,57,72,14,13,37,81,87,95,97,87,89,38,27,4,88,56,61,45,72,68,53,39,15,82,58,36,56,77,47,55,6,18,76,5,22,74,51,75,19,8,11,10,9,7,4,3,17,8,9,8,6,6,4,2,62,22,14,12,13,9,23,2,73,2,96,4,0,6,3,3,3,3,2,1,0,97,2,2,60,30,30,28,23,21,15,10,60,30,30,28,23,21,15,10,94,4,3,2,1,1,1,0,0,0,0,100,0,0
48,422400,100550,72,66,13,22,76,100,98,97,83,49,68,2,19,33,34,12,91,26,43,78,4,6,52,66,79,82,74,59,47,17,8,1,63,19,26,11,55,49,33,26,7,71,50,36,39,56,42,42,11,7,82,3,14,82,26,58,11,7,4,4,2,2,2,1,9,5,3,3,2,2,1,1,62,24,18,19,18,16,76,1,13,10,100,0,0,2,2,1,1,1,0,0,0,100,0,0,59,23,36,32,27,22,17,12,59,23,36,32,27,22,16,11,98,1,1,3,2,1,1,1,1,1,0,100,0,0
49,422400,100480,72,66,11,26,69,100,98,96,82,38,60,2,21,38,32,7,88,29,42,77,5,6,54,55,73,75,66,52,41,13,6,0,51,11,18,8,49,42,26,23,3,68,47,33,37,50,34,34,12,7,80,3,15,82,26,54,10,7,3,3,2,2,2,1,9,5,3,3,2,2,2,1,56,23,18,18,18,17,77,1,16,5,100,0,0,2,1,0,0,0,0,0,0,100,0,0,56,20,36,32,27,23,18,13,56,20,36,32,27,22,17,12,99,1,0,1,1,0,0,0,0,0,0,100,0,0
50,422400,100800,63,59,14,20,89,100,100,99,86,59,80,0,19,29,37,15,96,25,41,83,4,4,46,84,88,94,88,65,51,22,13,2,82,33,46,17,61,54,41,22,14,73,45,41,39,58,51,53,8,6,86,3,14,83,24,67,10,7,3,3,1,1,1,1,9,7,2,2,1,1,1,1,75,24,19,19,19,15,67,0,6,27,100,0,0,0,0,0,0,0,0,0,0,100,0,0,64,27,37,31,24,19,13,9,63,27,36,30,24,19,13,9,98,1,1,4,3,1,1,1,1,1,0,100,0,0
51,422400,101150,74,67,13,22,94,100,100,100,83,93,93,0,10,18,38,34,99,17,52,74,4,4,50,94,92,96,94,79,66,31,14,0,95,43,36,14,81,74,60,49,18,75,66,39,47,72,57,54,12,5,82,5,12,82,32,63,14,6,8,7,6,4,2,2,6,3,3,3,2,1,0,0,72,28,20,21,19,14,82,1,4,12,99,1,0,9,4,5,5,4,2,2,2,99,0,0,70,32,38,34,29,26,18,11,69,32,38,33,28,25,16,11,96,2,2,7,5,3,3,2,1,1,0,100,0,0
52,300006,100550,58,48,15,17,55,100,97,96,79,42,62,3,27,33,30,8,81,40,40,66,15,8,29,42,70,79,82,64,84,12,7,2,57,30,31,21,48,45,25,20,5,81,56,37,40,44,31,33,3,11,85,5,19,76,34,70,31,12,18,17,13,12,8,5,26,11,14,12,10,8,6,3,48,29,21,19,20,25,42,4,51,4,88,9,3,9,3,6,5,5,4,3,2,79,19,2,47,22,25,23,20,17,14,10,45,22,24,20,18,15,11,9,92,7,2,6,3,3,3,3,3,2,1,81,18,2
53,300006,100480,56,50,16,14,50,100,97,95,80,36,58,3,28,34,29,6,79,38,37,64,14,8,28,37,67,77,80,61,83,10,5,2,53,25,28,19,46,43,23,18,4,80,54,36,40,41,30,27,3,11,86,4,19,76,32,69,28,12,16,14,11,10,7,4,24,10,13,11,9,8,6,3,49,30,21,20,20,25,44,4,48,4,89,8,3,7,3,4,4,3,3,2,1,80,18,2,46,21,24,22,19,16,13,9,44,21,23,20,18,15,11,9,92,7,1,5,3,2,2,2,2,2,1,83,17,0
54,300006,100800,61,53,16,17,78,100,99,98,76,68,80,1,20,32,33,14,89,48,52,74,21,11,35,68,81,88,90,78,89,23,15,4,78,57,48,35,57,53,35,30,8,84,59,41,43,56,35,52,6,13,81,6,19,74,45,75,44,15,28,27,23,19,13,7,34,16,18,17,13,10,6,3,48,25,19,16,17,22,31,4,61,4,87,10,3,19,5,14,13,11,10,6,4,79,19,2,55,25,29,26,23,21,16,12,51,26,25,22,20,17,13,9,91,7,2,9,4,6,6,5,5,4,2,74,21,5
55,300006,101150,57,43,13,18,92,100,100,100,82,87,90,0,15,23,31,31,96,64,71,86,37,15,45,87,89,94,96,81,87,24,19,5,89,72,57,45,77,70,56,46,19,84,74,45,45,69,42,62,10,15,75,21,16,63,51,79,58,21,37,34,30,21,15,10,45,19,25,22,18,11,6,3,39,17,11,13,14,20,42,6,48,3,88,9,3,30,12,18,18,16,12,9,6,78,18,4,66,28,38,36,34,30,24,19,51,29,21,17,17,14,11,7,86,11,2,27,8,19,19,17,16,13,10,81,16,3
56,300010,100550,79,75,28,33,73,100,98,96,74,49,73,1,20,31,34,13,85,21,38,64,6,6,26,62,78,87,87,73,87,28,18,4,71,27,43,23,60,56,36,27,11,75,45,36,52,63,41,42,2,14,84,2,18,79,34,68,14,6,8,7,5,4,3,2,13,6,7,6,5,4,2,1,62,22,18,18,19,16,28,2,61,9,92,5,3,2,1,1,1,1,1,0,0,83,13,4,55,22,33,28,21,17,12,9,55,22,32,28,21,17,11,9,93,4,3,3,2,1,1,1,1,0,0,86,12,2
57,300010,100480,78,75,29,30,71,100,98,96,74,45,70,2,21,31,34,12,83,20,35,63,5,5,24,58,76,85,85,70,86,26,16,3,68,22,39,20,57,53,33,25,9,74,43,35,51,58,39,38,2,13,85,2,18,80,32,67,14,6,7,6,5,4,2,1,13,6,7,6,4,3,2,1,62,22,18,18,20,17,30,1,58,10,93,4,2,2,1,1,1,0,0,0,0,86,10,4,54,21,33,28,21,17,11,9,54,21,33,28,21,16,11,8,94,4,3,3,2,1,1,1,1,0,0,86,12,1
58,300010,100800,78,75,28,29,79,100,99,97,72,62,81,1,17,31,33,17,89,24,45,66,7,8,30,75,81,93,93,83,89,33,24,5,81,44,52,33,67,63,44,30,15,80,50,40,51,79,47,53,3,15,81,3,18,78,42,70,16,6,10,8,7,6,4,2,14,7,7,6,5,4,2,2,63,21,17,17,17,15,21,1,72,6,91,7,3,4,1,3,2,2,2,1,1,80,19,1,56,24,32,27,22,18,12,9,55,24,31,26,21,17,12,9,92,5,3,3,1,1,1,1,1,0,0,89,6,5
59,300010,101150,79,75,27,37,90,100,100,99,75,78,90,0,10,21,40,29,95,27,61,71,15,14,40,85,86,95,97,86,88,41,32,11,91,64,70,51,78,73,58,47,27,82,58,41,58,80,55,66,5,16,79,6,19,74,50,74,25,10,14,12,11,10,7,5,19,9,10,10,9,8,5,4,64,19,14,12,13,11,23,8,65,3,82,10,8,10,5,5,5,5,4,2,1,79,10,11,64,30,34,31,26,23,18,11,63,30,33,30,25,22,16,10,90,7,4,5,2,3,2,2,2,1,1,73,20,7
