ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20182020_7,Eenpersoonshuishoudens31122020_8,Eenpersoonshuishoudens31122019_9,Eenpersoonshuishoudens31122018_10,Gemiddelde20182020_11,Meerpersoonshuishoudens31122020_12,Meerpersoonshuishoudens31122019_13,Meerpersoonshuishoudens31122018_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleidenGemiddelde20162020_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122019_25,PersonenMetBijstand31122020_26,WajongUitkeringen31122020_27,PersonenMetLoonkostensubs31122020_28,PsychischMedicijngebruikOuders2020_29
339,GM0479,102360,31070,70550,26200,18080,2730,1110,1080,1080,1160,1140,1090,1130,1200,68600,24000,24400,25000,30200,4500,3800,83,14,16,16060,4280,2120,40,1470
340,GM0297,18790,6550,12120,4630,3360,310,70,70,70,80,100,100,90,100,10900,26200,4400,27000,6500,500,500,16,3,17,2440,380,250,50,360
341,GM0473,10400,2750,8590,2500,1690,240,100,110,110,100,100,110,100,100,8600,25600,2300,27500,2600,400,400,7,1,16,1920,480,190,10,110
342,GM0050,15750,4890,9720,3790,2730,280,80,80,80,80,100,90,100,100,8900,25400,3700,27100,5400,500,500,11,2,15,1920,330,220,20,190
343,GM0355,40070,13650,29410,9620,7240,790,290,290,280,310,340,320,320,370,29400,27700,8600,32500,12500,1500,1400,31,4,14,6830,1460,1270,60,650
344,GM0299,26970,7720,20010,6620,4510,510,210,200,200,220,200,210,200,200,19400,23700,6400,24400,8000,1000,900,22,4,19,4100,950,710,60,380
345,GM0637,79500,25420,56130,20680,14410,2410,1010,1010,980,1050,1040,1020,1000,1110,55100,25700,20400,25600,24700,4200,3700,68,10,14,12430,3360,1510,160,1380
346,GM0638,5640,1680,3590,1360,950,100,20,20,20,20,20,20,20,20,3600,27000,1300,29200,1500,100,100,5,1,27,760,70,300,10,100
347,GM1892,28450,9840,18350,7610,5440,590,130,140,120,130,180,190,170,190,16900,28100,6700,29300,8800,600,600,24,3,14,3580,620,480,30,440
348,GM0879,14120,3540,9590,3200,1980,180,50,60,50,40,70,80,70,60,9400,25100,3100,28400,3600,300,300,11,2,17,1990,270,280,20,140
349,GM0301,30200,8840,22300,6970,5020,680,370,340,370,390,390,350,390,430,22000,23100,6900,23600,9500,1500,1200,24,4,17,6230,1690,1180,110,550
350,GM1896,14240,5620,8620,3690,2710,200,60,50,60,60,80,60,80,80,8400,24600,3500,25300,5800,300,400,12,3,26,1770,240,320,30,210
351,GM0642,27360,8740,20220,6970,4870,790,390,390,370,400,410,400,390,430,20200,25000,6800,25200,8400,1400,1300,23,4,20,4560,1310,470,80,530
352,GM0193,86400,27030,60800,19250,14800,1680,800,790,800,810,870,860,870,890,58400,23400,18300,25200,26400,3000,2700,70,7,10,13050,4230,2790,150,1520
