ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,TelewerkKomtVoor_5,PersoneelDatWerktMetMobielInternet_6,Internet_7,TotaalBreedband_8,BreedbandVastTotaal_9,ADSLVDSLEnSDSLEnDergelijke_10,AndereHoogwaardigeVasteVerbindingen_11,MobielBreedbandTotaal_12,ViaDraagbareComputer_13,ViaMobieleTelefoonSmartphone_14,MinderDan2MbitS_15,k_2Tot10MbitS_16,k_10Tot30MbitS_17,k_30Tot100MbitS_18,k_100MbitSOfMeer_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,PresentatieEigenBedrijf_23,OnlineBestellenOfBoeken_24,TenMinsteEenSoortCommunicatie_25,VerkrijgenVanInformatie_26,VerkrijgenVanFormulieren_27,RetournerenIngevuldeFormulieren_28,SocialePremiesVanMedewerkers_29,Vennootschapsbelasting_30,BTW_31,InvoerrechtenAccijnzen_32,VolledigeElekAfhandelingAanvraag_33,BeperkingEContactMetDeOverheid_34,Geheimhouding_35,ProceduresTeIngewikkeld_36,ProceduresVereisenNogPapier_37,NietBekendMetBestaan_38,Anders_39,DocumentenRaadplegenOverAanbesteding_40,ElektronischInschrijvenOpAanbesteding_41,OverheidInNederland_42,OverheidInAnderEULand_43,OverheidBuitenEU_44,VerkoopViaExterneNetwerken_45,Verkoopwaarde1VanDeTotaleOmzet_46,Verkoopwaarde2VanDeTotaleOmzet_47,Verkoopwaarde5VanDeTotaleOmzet_48,Verkoopwaarde10VanDeTotaleOmzet_49,Verkoopwaarde25VanDeTotaleOmzet_50,Verkoopwaarde50VanDeTotaleOmzet_51,VerkoopViaEenWebsite_52,Verkoopwaarde1VanDeTotaleOmzet_53,Verkoopwaarde2VanDeTotaleOmzet_54,Verkoopwaarde5VanDeTotaleOmzet_55,Verkoopwaarde10VanDeTotaleOmzet_56,Verkoopwaarde25VanDeTotaleOmzet_57,Verkoopwaarde50VanDeTotaleOmzet_58,VerkoopViaNietInternetnetwerken_59,Verkoopwaarde1VanDeTotaleOmzet_60,Verkoopwaarde2VanDeTotaleOmzet_61,Verkoopwaarde5VanDeTotaleOmzet_62,Verkoopwaarde10VanDeTotaleOmzet_63,Verkoopwaarde25VanDeTotaleOmzet_64,Verkoopwaarde50VanDeTotaleOmzet_65,InkoopViaExterneNetwerken_66,Inkoopwaarde1VanDeTotaleInkoop_67,Inkoopwaarde2VanDeTotaleInkoop_68,Inkoopwaarde5VanDeTotaleInkoop_69,Inkoopwaarde10VanDeTotaleInkoop_70,Inkoopwaarde25VanDeTotaleInkoop_71,Inkoopwaarde50VanDeTotaleInkoop_72,TotaalOpenSourceSoftware_73,BesturingssystemenServerSoftware_74,Internetbrowsersoftware_75,OfficeSoftware_76,ERPOfCRMToepassingen_77,AndereOpenSourceSoftware_78,TotaalVerkooporderverwerkingssysteem_79,FactureringsEnBoekhoudsystemen_80,Voorraadbeheersystemen_81,Productiesystemen_82,LogistiekeSystemen_83,TotaalInkooporderverwerkingssysteem_84,BetalingsEnBoekhoudsysteem_85,Voorraadbeheersystemen_86,TenMinsteEenSoort_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,OrderverwerkingMetDerden_92,GeschiktVoorAutomatischeVerwerking_93,NietGeschiktVoorAutomBewerking_94,GeschiktVoorAutomatischeVerwerking_95,NietGeschiktVoorAutomVerwerking_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,VerminderenPapierPrintsKopieen_113,VerlagenEnergieverbruikApparaten_114,TelefoonWebVideoconferenceIpvReizen_115,ITToepassingenMinderEnergieverbruik_116
41,403300,11,5273,92,90,35,83,20,100,96,94,79,37,54,39,43,4,25,31,30,10,95,95,21,89,20,97,60,85,94,68,62,87,13,52,5,36,22,52,33,42,28,23,96,17,2,14,13,11,8,5,2,1,14,13,10,8,4,2,1,2,1,1,1,0,0,0,33,29,25,22,15,9,6,57,20,48,25,17,20,38,26,9,7,8,31,18,8,69,43,13,59,39,22,5,29,19,68,45,38,12,4,50,38,11,1,23,44,24,9,33,36,26,5,55,35,52,16
42,403300,12,790,91,86,35,92,17,100,98,96,65,70,70,54,64,2,25,28,30,16,95,94,45,95,20,99,67,92,98,70,63,87,23,63,4,15,39,59,30,65,32,32,99,34,19,13,12,11,9,5,1,0,13,10,7,6,2,0,0,6,4,4,4,3,1,0,40,31,28,23,15,8,4,62,34,45,23,20,22,48,40,18,19,18,50,40,18,78,43,24,73,52,27,11,41,22,75,42,46,9,3,51,40,7,1,25,55,18,3,29,48,18,5,68,53,72,39
43,403300,13,150,96,93,52,97,36,100,100,100,69,91,86,80,77,0,10,19,31,41,97,96,62,98,29,98,64,88,96,76,54,78,27,52,5,37,19,100,0,0,46,47,98,51,30,22,17,15,15,14,3,3,22,14,11,11,10,1,1,8,4,4,4,4,2,2,59,49,42,39,28,19,11,61,47,37,14,21,28,53,39,14,19,24,54,46,20,88,67,28,82,63,40,25,47,35,78,57,33,10,0,49,45,5,1,24,43,20,14,21,49,25,4,84,75,82,59
44,410200,14,4972,70,67,21,59,10,100,93,91,82,22,37,27,32,7,30,34,23,6,87,87,15,80,24,95,42,79,92,65,52,83,11,45,4,46,42,57,35,47,19,16,99,8,2,15,15,14,12,9,5,4,16,14,13,11,8,4,3,3,3,3,2,2,1,1,24,21,17,13,9,5,3,54,9,42,30,9,9,41,31,9,6,8,30,20,7,66,38,11,56,32,22,9,27,19,54,44,34,16,6,50,43,6,1,18,43,25,13,28,51,16,4,51,29,40,14
45,410200,11,3577,64,61,19,53,12,100,92,89,82,17,34,24,28,8,31,37,20,4,83,83,12,78,25,93,37,75,90,59,51,80,12,41,4,56,46,72,43,40,16,12,98,5,2,15,15,13,11,9,5,4,16,13,12,10,8,4,3,3,3,3,3,3,2,1,22,18,15,11,7,5,2,53,7,41,31,8,7,36,28,8,5,7,27,18,6,63,39,11,51,29,21,8,24,19,51,40,38,17,5,49,45,6,0,16,44,30,10,30,56,12,3,47,27,37,13
46,410200,12,1140,65,60,24,71,13,100,95,95,84,32,41,30,36,5,29,28,28,10,95,95,19,85,19,98,51,87,95,81,54,92,9,54,3,3,35,3,3,74,22,23,100,10,0,14,13,12,10,9,5,4,14,13,12,10,8,4,4,2,1,1,1,1,1,0,30,28,24,20,13,6,4,57,13,46,27,10,13,51,38,9,6,10,36,25,6,71,36,12,65,36,21,8,35,18,60,52,25,15,8,51,42,4,3,24,38,16,22,29,39,24,8,60,31,48,17
47,410200,13,255,73,72,21,85,9,100,98,97,80,57,68,55,61,2,22,28,34,14,96,95,43,95,33,99,64,91,99,84,58,91,16,61,4,71,14,38,49,42,33,33,100,13,5,28,27,25,22,16,10,6,27,24,22,19,12,7,5,10,8,7,7,7,3,0,36,29,23,21,14,6,4,53,22,38,24,15,14,58,47,15,13,17,47,32,12,85,44,14,77,54,38,27,47,28,73,46,35,12,7,51,33,12,4,17,54,19,10,19,52,25,5,57,42,55,23
48,422400,14,4360,69,62,17,76,5,100,95,92,78,38,40,31,29,4,34,29,25,7,90,88,21,91,25,87,54,75,81,57,29,43,7,37,5,36,26,51,20,32,18,11,100,7,3,17,15,12,11,9,6,5,17,14,12,10,9,5,4,4,2,2,2,1,1,1,33,28,24,23,18,10,6,57,17,42,24,11,12,24,18,4,7,5,24,15,6,63,40,10,44,38,34,23,27,21,59,39,43,15,3,42,46,12,1,25,41,23,12,27,43,29,1,58,38,33,16
49,422400,11,2877,69,64,21,69,7,99,93,89,76,25,30,21,18,7,36,29,25,3,88,86,14,88,28,82,44,67,75,48,28,45,6,29,3,0,6,34,0,66,17,9,100,10,0,19,17,13,13,11,7,6,20,17,13,12,11,7,5,4,2,2,2,1,1,1,26,23,20,20,16,9,5,57,12,44,26,7,9,23,17,2,6,4,19,11,3,56,39,8,35,32,34,23,26,21,56,42,41,14,3,48,44,7,0,32,35,20,13,32,37,31,0,53,34,29,12
50,422400,12,866,68,61,18,87,6,100,99,97,80,44,46,38,36,1,36,30,26,8,93,93,22,96,22,95,67,86,90,68,29,34,6,49,6,50,36,54,41,9,18,13,100,6,6,12,12,12,8,6,4,4,14,11,11,8,5,3,3,2,2,2,1,1,1,1,39,32,24,23,17,12,6,57,18,41,26,18,19,27,18,3,6,4,21,13,4,69,39,12,54,45,26,15,29,18,63,36,43,15,5,28,46,24,2,14,48,25,12,30,47,23,0,68,38,36,20
51,422400,13,617,69,62,16,92,5,100,100,100,83,82,70,59,62,0,24,30,26,20,92,90,47,98,18,97,74,91,93,70,33,47,14,53,9,70,46,69,29,10,25,16,100,3,4,15,11,9,8,6,4,3,10,8,7,5,4,2,2,8,4,3,2,2,1,1,54,43,39,36,26,13,8,59,37,34,13,19,17,26,23,11,8,8,43,29,19,80,48,17,68,55,46,32,31,30,63,36,47,16,2,45,47,7,1,19,47,26,8,15,54,29,2,60,51,43,28
