ID,RegioS,Perioden,CultuurgrondTotaal_1,k_001Tot1Ha_2,k_1Tot5Ha_3,k_5Tot10Ha_4,k_10Tot30Ha_5,k_30HaOfMeer_6,AkkerbouwTotaal_7,k_001Tot1Ha_8,k_1Tot5Ha_9,k_5Tot10Ha_10,k_10Tot30Ha_11,k_30HaOfMeer_12,TuinbouwOpenGrondTotaal_13,k_001Tot05Ha_14,k_05Tot1Ha_15,k_1Tot3Ha_16,k_3Tot10Ha_17,k_10HaOfMeer_18,TuinbouwOnderGlasTotaal_19,k_001Tot25Are_20,k_25Tot75Are_21,k_75Tot150Are_22,k_150Tot300Are_23,k_300AreOfMeer_24,BlijvendEnNatuurlijkGraslandTotaal_25,k_001Tot1Ha_26,k_1Tot5Ha_27,k_5Tot10Ha_28,k_10Tot30Ha_29,k_30HaOfMeer_30,BlijvendGraslandTotaal_31,k_001Tot1Ha_32,k_1Tot5Ha_33,k_5Tot10Ha_34,k_10Tot30Ha_35,k_30HaOfMeer_36,NatuurlijkGraslandTotaal_37,k_001Tot1Ha_38,k_1Tot5Ha_39,k_5Tot10Ha_40,k_10Tot30Ha_41,k_30HaOfMeer_42,NietCultuurgrondTotaal_43,k_001Tot1Ha_44,k_1Tot5Ha_45,k_5Tot10Ha_46,k_10Tot30Ha_47,k_30HaOfMeer_48,CultuurgrondTotaal_49,k_001Tot1Ha_50,k_1Tot5Ha_51,k_5Tot10Ha_52,k_10Tot30Ha_53,k_30HaOfMeer_54,AkkerbouwTotaal_55,k_001Tot1Ha_56,k_1Tot5Ha_57,k_5Tot10Ha_58,k_10Tot30Ha_59,k_30HaOfMeer_60,TuinbouwOpenGrondTotaal_61,k_001Tot05Ha_62,k_05Tot1Ha_63,k_1Tot3Ha_64,k_3Tot10Ha_65,k_10HaOfMeer_66,TuinbouwOnderGlasTotaal_67,k_001Tot25Are_68,k_25Tot75Are_69,k_75Tot150Are_70,k_150Tot300Are_71,k_300AreOfMeer_72,BlijvendEnNatuurlijkGraslandTotaal_73,k_001Tot1Ha_74,k_1Tot5Ha_75,k_5Tot10Ha_76,k_10Tot30Ha_77,k_30HaOfMeer_78,BlijvendGraslandTotaal_79,k_001Tot1Ha_80,k_1Tot5Ha_81,k_5Tot10Ha_82,k_10Tot30Ha_83,k_30HaOfMeer_84,NatuurlijkGraslandTotaal_85,k_001Tot1Ha_86,k_1Tot5Ha_87,k_5Tot10Ha_88,k_10Tot30Ha_89,k_30HaOfMeer_90,NietCultuurgrondTotaal_91,k_001Tot1Ha_92,k_1Tot5Ha_93,k_5Tot10Ha_94,k_10Tot30Ha_95,k_30HaOfMeer_96
40,LD04  ,2000JJ00,23717,1545,6561,4379,7449,3783,18475,1468,5239,3920,5784,2064,5285,772,756,1639,1561,557,2205,703,638,468,296,100,12963,2271,5006,1999,3311,376,12744,2218,4914,1975,3286,351,416,136,170,58,40,12,18119,13111,4582,252,126,48,379007,770,17998,31288,136821,192130,249198,719,14215,28359,99269,106637,22499,198,508,2857,8371,10566,191425,7041,30127,48464,59444,46348,105395,1157,12222,14098,55943,21976,100911,1135,12021,13929,55525,18301,4484,62,374,387,599,3063,25184,5801,7753,1702,2007,7922
41,LD04  ,2001JJ00,22557,1410,6156,4105,7046,3840,17438,1381,4618,3617,5712,2110,4847,657,655,1527,1420,588,2083,659,563,431,317,113,12283,2090,4811,1919,3067,396,12062,2025,4731,1889,3052,365,406,133,158,63,38,14,16581,11594,4550,265,129,43,370365,704,16758,29266,129590,194047,248409,675,12507,26073,98842,110311,22741,174,442,2711,7735,11680,196477,6787,26906,44490,64590,53704,97250,1066,11811,13548,51896,18928,94651,1034,11632,13340,51672,16973,2600,62,349,426,613,1150,22702,5226,7795,1778,1915,5988
42,LD04  ,2002JJ00,21719,1441,5799,3794,6623,4062,16093,933,4127,3227,5458,2348,4935,647,663,1443,1528,654,2056,664,530,409,316,137,11721,2120,4539,1861,2799,402,11543,2072,4465,1840,2782,384,283,84,113,35,35,16,16809,11061,5173,327,193,55,373796,734,15939,27336,122408,207379,252388,496,11482,23501,96258,120651,25059,172,452,2594,8414,13427,207156,6900,25742,42641,64687,67186,94278,1090,11390,13157,48471,20170,91761,1068,11228,13002,48095,18369,2517,38,263,242,531,1442,26337,5246,8984,2242,3003,6862
43,LD04  ,2003JJ00,20625,1353,5406,3531,6316,4019,15272,830,3494,2818,5327,2803,4693,601,586,1346,1506,654,1961,610,510,385,321,135,9832,1956,4167,1528,1855,326,9614,1891,4079,1507,1837,300,330,101,129,41,38,21,16078,10368,5222,279,159,50,367445,687,14800,25485,116055,210419,268920,438,9689,20380,96017,142394,25045,151,397,2400,8347,13750,207371,6620,24972,40591,66672,68515,71407,1003,10264,10677,31834,17629,67308,972,10059,10529,31474,14273,4099,47,302,278,593,2879,22367,4928,8924,1930,2569,4016
44,LD04  ,2004JJ00,20183,1275,5241,3519,6104,4044,15018,796,3325,2762,5129,3006,4516,555,595,1279,1432,655,1866,565,489,346,315,151,9020,1872,3905,1407,1548,288,8750,1806,3794,1380,1507,263,407,111,170,48,57,21,15677,9968,5230,283,161,35,366604,655,14452,25416,112303,213778,276701,427,9271,20000,93553,153450,25179,141,412,2299,8042,14286,210208,6194,23836,36175,64863,79140,62621,968,9674,9772,26369,15838,58315,937,9404,9576,25613,12784,4306,48,403,332,874,2649,21234,4764,8982,1914,2526,3048
45,LD04  ,2005JJ00,19614,1267,4885,3445,5930,4087,14424,607,3087,2697,5080,2953,4102,329,514,1193,1382,684,1826,546,464,338,309,169,8692,1733,3620,1394,1627,318,8486,1683,3566,1363,1586,288,364,88,139,59,58,20,15417,9485,5458,288,139,47,365549,654,13466,24896,108624,217909,272640,344,8849,19546,91859,152042,25555,138,346,2144,7769,15158,216979,5875,22671,35446,63889,89099,65184,901,9184,9816,27843,17440,60854,876,9058,9602,27119,14198,4330,41,347,411,947,2583,28053,4596,9457,1995,2147,9858
46,LD04  ,2006JJ00,19108,1234,4521,3390,5889,4074,14198,607,3034,2864,4897,2796,4297,480,497,1145,1423,752,1726,494,427,338,294,173,8683,1736,3449,1368,1708,422,8499,1729,3431,1315,1641,383,420,55,143,97,103,22,16464,9981,5913,327,162,50,362497,621,12697,24605,108389,216185,262489,346,8907,20881,88109,144246,27949,122,345,2060,8079,17343,219267,5287,20694,35649,61175,96463,69866,909,8876,9668,30143,20270,65336,904,8804,9283,28902,17443,4530,28,393,694,1696,1719,28845,4909,10217,2244,2526,8949
47,LD04  ,2007JJ00,18318,1104,4226,3217,5713,4058,13634,581,2832,2749,4698,2774,4147,466,476,1097,1324,784,1653,454,401,316,300,182,8551,1661,3372,1372,1720,426,8307,1652,3339,1296,1642,378,511,67,169,121,128,26,15770,9328,5909,310,162,61,359365,572,11985,23211,105461,218136,257594,324,8215,19977,84862,144216,28589,123,331,2001,7443,18691,228809,4927,19122,33338,62569,108853,70893,861,8753,9669,30409,21200,65278,862,8643,9139,28957,17678,5615,34,464,857,2144,2116,27491,4621,10228,2122,2474,8046
48,LD04  ,2008JJ00,17970,1059,4110,3115,5615,4071,13460,542,2817,2680,4654,2767,4064,450,401,1079,1347,787,1523,392,371,276,280,204,8515,1731,3330,1342,1674,438,8238,1727,3308,1257,1574,372,615,77,195,139,159,45,15086,9556,5245,178,76,31,362687,537,11798,22567,103094,224691,258188,302,8212,19570,84104,146001,29282,120,282,1987,7587,19307,230196,4238,17942,28635,57610,121770,72915,897,8629,9525,29347,24518,63209,899,8569,8899,27484,17359,9706,37,547,1001,2637,5484,19336,4832,8344,1217,1243,3700
49,LD04  ,2009JJ00,17341,902,3940,2982,5397,4120,13118,588,2673,2514,4559,2784,3983,435,394,1047,1307,800,1411,330,343,261,260,217,8467,1819,3244,1323,1633,448,8102,1817,3222,1214,1499,350,834,81,264,218,208,63,16149,10150,5708,176,75,40,358371,513,11454,21563,99145,225696,256054,331,7812,18336,82777,146797,29521,113,283,1966,7337,19823,237417,3648,16449,27628,54532,135161,70422,937,8466,9379,28599,23041,59646,934,8393,8564,26292,15463,10776,42,750,1584,3356,5043,22870,5083,9111,1176,1164,6336
50,PV20  ,2000JJ00,4159,92,512,427,927,2201,2588,64,313,263,587,1361,262,56,35,79,70,22,104,33,40,17,10,4,2663,204,659,374,651,775,2632,204,654,371,643,760,93,15,31,18,18,11,3096,970,1725,250,123,28,166101,50,1573,3017,18192,143271,109635,27,926,1865,10902,95914,1076,12,25,136,361,543,7419,193,1701,1856,1946,1723,55316,101,1794,2605,12721,38096,53846,100,1778,2580,12615,36773,1470,5,85,125,297,959,9306,460,3928,1676,1877,1365
51,PV20  ,2001JJ00,3998,84,497,397,869,2151,2498,52,284,269,581,1312,238,46,34,66,66,26,96,34,33,18,8,3,2541,182,629,351,612,767,2504,183,625,341,601,754,100,12,30,24,22,12,2905,879,1661,219,120,26,164191,45,1524,2808,16910,142903,108423,25,856,1893,10932,94716,1059,10,24,113,336,577,6365,244,1454,1906,1539,1223,54645,91,1721,2471,11920,38442,53190,92,1706,2384,11744,37264,1455,5,80,174,350,846,8888,423,3899,1494,1885,1187
52,PV20  ,2002JJ00,3882,83,454,385,815,2145,2432,25,279,241,589,1298,232,40,28,63,77,24,90,35,27,14,10,4,2500,178,592,348,600,782,2460,176,589,340,590,765,91,9,23,17,28,14,2905,836,1658,259,129,23,166002,44,1362,2741,15862,145994,108767,12,836,1720,11000,95199,1211,10,20,97,431,653,6689,262,1251,1583,1869,1725,55958,95,1618,2446,11663,40137,54594,93,1603,2383,11488,39027,1364,6,61,115,502,679,9253,412,3821,1754,2065,1201
53,PV20  ,2003JJ00,3724,80,422,358,766,2098,2328,19,233,225,520,1331,208,35,24,56,71,22,95,40,26,15,11,3,2310,159,542,334,542,733,2262,157,545,326,516,718,108,14,21,23,39,11,2847,791,1654,251,124,27,166222,43,1239,2558,15001,147383,111251,10,739,1633,9819,99049,1130,9,17,98,393,613,6214,288,1164,1574,2101,1087,53779,84,1461,2359,10545,39331,50270,83,1461,2298,10140,36287,3510,7,55,160,651,2636,20958,397,3841,1680,1871,13170
54,PV20  ,2004JJ00,3687,76,419,349,755,2088,2303,23,206,216,545,1313,202,36,24,59,60,23,91,38,24,16,9,4,2300,163,543,321,522,751,2247,163,547,308,497,732,110,7,24,30,35,14,2766,768,1625,236,120,17,167198,40,1222,2481,14776,148680,111075,11,649,1579,10284,98553,1016,9,16,106,342,544,6341,299,1126,1674,1855,1387,55044,84,1448,2257,9995,41260,51411,84,1442,2159,9668,38057,3634,4,66,205,570,2790,11453,376,3780,1573,1835,3889
55,PV20  ,2005JJ00,3597,77,383,350,727,2060,2243,17,190,208,544,1284,196,39,19,57,62,19,89,37,23,14,10,5,2268,158,498,329,515,768,2228,159,496,323,493,757,95,10,19,21,35,10,2778,783,1629,241,107,18,165494,38,1145,2510,14266,147536,110169,7,579,1495,10394,97694,848,10,13,104,329,392,6804,250,1081,1448,1958,2067,54408,81,1358,2343,9901,40723,53047,83,1347,2304,9510,39804,1361,5,48,140,599,568,8462,385,3765,1638,1750,925
56,PV20  ,2006JJ00,3513,69,365,341,710,2028,2267,20,222,232,536,1257,189,32,24,58,59,16,82,37,16,16,9,4,2213,173,486,316,479,759,2195,175,481,319,467,753,59,3,16,11,21,8,3003,854,1729,266,127,26,163131,39,1092,2404,13712,145884,108627,8,699,1682,10137,96101,847,7,17,104,337,381,6089,253,725,1691,1765,1655,53596,90,1315,2205,9072,40915,52672,92,1305,2220,8860,40196,924,2,41,77,315,489,13637,414,4012,1835,2063,5313
57,PV20  ,2007JJ00,3419,62,370,335,666,1986,2221,19,216,244,535,1207,177,30,26,47,56,18,79,34,17,14,10,4,2199,166,493,313,470,757,2173,168,489,316,450,750,77,5,22,12,31,7,2874,835,1659,237,118,25,162175,35,1124,2367,12807,145843,107475,9,663,1739,10169,94895,842,7,18,82,314,421,6177,226,781,1454,2062,1655,53797,87,1364,2207,8783,41356,52217,88,1353,2218,8436,40123,1580,3,58,100,559,859,11752,421,3904,1632,1976,3819
58,PV20  ,2008JJ00,3424,67,429,322,635,1971,2237,22,215,233,564,1203,173,35,17,49,55,17,72,27,17,14,9,5,2268,174,586,303,445,760,2241,174,583,302,438,744,89,1,34,14,27,13,2706,887,1576,155,67,21,165372,36,1308,2276,12240,149511,109365,9,648,1706,10610,96391,866,8,13,84,321,440,6273,160,698,1384,1766,2265,55078,94,1622,2141,8403,42819,53239,94,1604,2129,8304,41108,1839,1,85,102,470,1181,7835,469,3282,1030,1109,1944
59,PV20  ,2009JJ00,3341,58,418,326,599,1940,2160,20,192,251,523,1174,181,32,23,49,57,20,69,26,19,10,8,6,2262,188,583,287,446,758,2201,183,573,277,435,733,143,15,42,26,38,22,3018,1067,1703,155,70,23,163896,33,1276,2272,11620,148695,107550,8,592,1796,9941,95213,892,7,16,83,313,473,6568,135,875,952,1669,2936,55388,97,1605,2000,8498,43188,52612,96,1587,1925,8261,40742,2777,9,113,191,699,1766,8233,542,3549,1014,1115,2012
60,PV21  ,2000JJ00,7053,91,869,807,1667,3619,2572,51,766,725,574,456,222,43,24,52,67,36,89,45,19,13,7,5,6305,100,842,749,1626,2988,6251,98,828,742,1622,2961,206,16,66,59,51,14,4312,1332,2659,232,76,13,231036,47,2641,5639,33114,189596,44415,23,2351,5065,9324,27652,1262,8,16,90,406,742,6960,464,820,1272,1419,2986,185290,54,2537,5245,33057,144396,182617,52,2503,5193,33005,141863,2673,9,198,394,810,1261,10604,643,5844,1498,1211,1408
61,PV21  ,2001JJ00,6829,92,864,781,1491,3601,2481,51,654,723,570,483,193,42,20,42,59,30,91,42,23,12,8,6,6119,99,851,719,1476,2974,6064,100,846,710,1475,2933,223,12,68,66,53,24,4061,1196,2577,187,89,12,230877,50,2621,5548,29541,193117,45350,24,2022,5106,9224,28974,1142,9,14,74,357,687,7835,441,985,1136,1606,3668,184307,55,2544,5078,29690,146941,181037,54,2519,5007,29852,143605,3270,7,196,456,831,1780,10351,578,5694,1216,1388,1474
62,PV21  ,2002JJ00,6629,86,817,708,1431,3587,2576,41,677,744,670,444,189,30,25,48,58,28,83,36,21,10,8,8,6009,109,805,662,1452,2981,5951,110,799,654,1433,2955,161,8,49,43,43,18,4236,1208,2660,257,74,37,232919,50,2496,5039,28394,196939,45509,21,2191,5315,10844,27140,1113,6,17,85,350,655,8546,308,859,918,1792,4668,186211,62,2439,4713,29372,149626,183722,63,2422,4646,29051,147540,2490,4,154,311,745,1275,12175,619,5927,1724,1086,2818
63,PV21  ,2003JJ00,6422,91,785,671,1361,3514,2567,34,574,630,696,633,183,29,26,43,52,33,86,39,19,9,8,11,5636,112,784,626,1374,2740,5561,110,770,621,1346,2714,182,13,50,37,53,29,4191,1132,2686,282,72,19,232640,51,2413,4747,27038,198390,56819,16,1869,4492,11670,38772,1247,6,18,79,299,845,11577,379,798,838,1791,7770,174458,60,2358,4427,27665,139948,170481,59,2312,4380,27135,136594,3977,6,144,255,929,2643,11463,586,5910,1882,1088,1996
64,PV21  ,2004JJ00,6355,94,783,661,1312,3505,2638,45,529,642,721,701,170,32,20,43,44,31,82,37,18,10,8,9,5542,107,796,631,1347,2661,5450,103,791,620,1321,2615,220,14,56,45,62,43,4173,1120,2693,258,84,18,232869,57,2427,4666,25638,200081,62226,23,1705,4663,12192,43644,1107,7,14,78,248,760,10358,335,765,891,1777,6590,169433,59,2422,4460,26754,135738,164647,58,2403,4369,26319,131499,4786,6,165,319,1024,3272,11356,581,5878,1744,1247,1906
65,PV21  ,2005JJ00,6220,93,745,651,1263,3468,2636,25,501,670,796,644,160,28,25,36,38,33,80,40,17,7,6,10,5501,116,745,616,1353,2671,5429,115,741,606,1332,2635,167,15,47,27,45,33,4367,1388,2669,225,58,27,234864,57,2351,4604,24692,203160,60801,10,1656,4840,13731,40564,1100,6,17,65,221,792,11334,341,773,634,1287,8299,172850,63,2306,4321,26643,139517,169373,63,2297,4259,26340,136413,3477,6,134,177,721,2439,10675,707,5816,1474,863,1815
66,PV21  ,2006JJ00,6050,93,740,625,1216,3376,2591,33,497,688,783,590,154,23,27,31,39,34,79,37,18,7,6,11,5432,121,763,603,1289,2656,5406,122,765,599,1291,2629,197,13,61,53,40,30,4971,1529,3032,304,73,30,232852,53,2395,4448,23405,202550,56663,16,1609,5055,13196,36788,1174,6,18,56,237,857,12196,301,795,681,1304,9116,174894,66,2415,4314,25307,142791,170849,67,2422,4278,25336,138746,4045,8,175,374,682,2805,20755,766,6730,2012,1041,10206
67,PV21  ,2007JJ00,5898,84,734,604,1153,3323,2616,33,484,699,833,567,142,22,23,29,35,33,76,36,14,8,7,11,5341,113,785,580,1231,2632,5314,117,788,582,1231,2596,231,20,72,55,55,29,4872,1452,3010,299,91,20,234184,49,2402,4303,21925,205505,57848,19,1586,5111,14123,37009,1201,6,15,51,211,917,13498,276,642,707,1481,10391,175001,59,2520,4088,23810,144524,170397,62,2518,4107,23972,139738,4603,9,223,400,943,3029,13746,725,6758,1995,1294,2974
68,PV21  ,2008JJ00,5869,90,788,621,1051,3319,2742,31,486,677,961,587,138,22,24,27,33,32,74,39,12,7,5,11,5326,124,835,605,1124,2638,5303,125,845,601,1129,2603,267,28,81,64,56,38,4350,1593,2553,149,43,12,237377,50,2575,4357,19994,210401,61403,17,1555,4989,16322,38521,1121,5,17,51,189,858,11716,355,608,700,1127,8927,174736,67,2660,4214,21805,145992,169803,67,2667,4193,21980,140896,4933,17,261,454,961,3240,8137,837,5021,957,631,691
69,PV21  ,2009JJ00,5722,84,740,586,1030,3282,2603,38,454,659,891,561,134,25,24,25,34,26,66,32,11,7,5,11,5230,124,794,579,1086,2647,5193,124,808,583,1089,2589,395,23,114,106,96,56,5070,1914,2920,172,47,17,237278,46,2427,4079,19574,211153,58467,19,1439,4914,15044,37051,1015,7,17,47,203,740,12208,264,532,700,1026,9686,177675,64,2524,4041,21116,149930,170118,64,2548,4072,21265,142168,7556,13,359,765,1644,4775,9990,962,5664,1121,717,1526
70,PV22  ,2000JJ00,4885,108,745,628,1337,2067,3388,84,526,588,1037,1153,290,71,37,80,65,37,192,63,19,43,44,23,3118,159,723,541,1054,641,3073,152,720,541,1044,616,143,15,43,26,36,23,3222,1528,1433,147,80,34,159264,56,2216,4399,25806,126787,100090,40,1551,4259,18367,75874,1233,18,23,137,347,708,26690,547,816,4545,8982,11800,57673,84,2038,3761,20487,31304,53767,81,2031,3759,20233,27662,3906,7,117,172,595,3015,15766,707,2803,991,1249,10016
71,PV22  ,2001JJ00,4651,109,734,554,1235,2019,3231,73,482,526,1005,1145,275,68,33,72,60,42,181,63,16,37,38,27,2958,132,715,503,992,616,2918,130,718,493,984,593,126,11,37,25,30,23,3033,1354,1420,146,82,31,157296,58,2167,3949,23893,127229,99217,32,1417,3907,17764,76096,1332,17,21,123,297,873,26426,571,684,3875,7944,13352,56483,70,2014,3535,19211,31652,52491,69,2024,3476,19131,27790,3992,4,87,162,481,3259,10705,633,2852,972,1358,4889
72,PV22  ,2002JJ00,4485,109,665,534,1128,2049,3074,54,408,503,1015,1094,284,51,31,81,78,43,176,64,18,32,35,27,2985,139,710,494,935,707,2938,133,706,486,927,686,107,8,44,16,18,21,3135,1288,1572,153,86,36,157194,55,1951,3812,21400,129976,97647,26,1209,3740,18023,74649,1617,12,20,134,393,1058,26056,556,785,3404,7571,13741,57670,74,2004,3479,18177,33936,54825,71,1990,3423,18037,31303,2845,4,117,116,316,2292,10715,635,3247,1048,1335,4450
73,PV22  ,2003JJ00,4278,98,633,510,1050,1987,2980,48,355,433,957,1187,247,42,30,66,65,44,163,58,18,26,36,25,2693,142,668,460,824,599,2633,142,652,450,816,573,132,8,55,21,22,26,3059,1214,1574,161,70,40,156255,49,1862,3676,20013,130656,102854,26,1061,3168,17003,81597,1638,12,19,111,324,1172,24564,529,777,2767,7509,12982,51517,76,1892,3228,15751,30571,47462,75,1850,3157,15606,26775,4055,5,134,138,413,3365,12809,596,3177,1063,1144,6829
74,PV22  ,2004JJ00,4192,95,650,495,989,1963,2912,41,330,418,936,1187,247,46,30,75,58,38,156,51,18,23,32,32,2611,138,680,440,774,579,2553,137,669,431,767,549,138,14,50,19,29,26,2960,1198,1514,157,60,31,155294,49,1924,3564,18769,130989,103872,22,982,3075,16934,82860,1587,11,19,131,307,1120,27280,459,761,2477,6799,16783,49563,71,1978,3113,14833,29568,46231,72,1946,3058,14711,26445,3332,8,127,127,522,2547,11493,576,3060,1069,1012,5776
75,PV22  ,2005JJ00,4111,99,627,468,993,1924,2865,29,326,380,960,1170,225,43,25,64,62,31,150,53,18,21,29,29,2599,126,679,421,824,549,2558,123,676,417,815,527,114,10,42,19,25,18,2964,1200,1498,152,71,43,154098,54,1889,3409,18841,129906,103894,16,976,2858,17377,82668,1452,12,17,110,338,975,23871,480,672,2184,6127,14408,48513,68,1949,3018,15611,27867,46359,67,1943,2987,15514,25847,2155,6,115,133,429,1472,13393,598,3060,1070,1190,7474
76,PV22  ,2006JJ00,4070,95,597,485,993,1900,2850,30,336,437,920,1127,249,46,35,61,72,35,135,46,16,23,21,29,2618,130,689,430,786,583,2597,129,699,424,786,559,107,13,28,25,25,16,3312,1301,1706,166,83,51,150873,53,1786,3510,18666,126857,99524,16,973,3272,16461,78802,1738,11,23,112,405,1187,22724,382,625,2366,4425,14926,49384,71,1982,3066,15007,29258,47695,69,2020,3032,15025,27548,1689,6,81,178,438,986,16099,652,3561,1140,1359,9387
77,PV22  ,2007JJ00,3893,71,585,486,899,1852,2723,32,316,419,875,1081,247,45,33,63,69,37,121,40,14,18,22,27,2574,124,666,446,733,605,2555,124,681,438,728,584,108,9,29,25,28,17,3168,1229,1626,176,84,53,152170,39,1789,3561,16899,129882,100167,20,920,3144,15619,80465,1683,12,23,108,372,1167,22181,310,581,1910,4591,14788,50099,66,1925,3240,13964,30903,48135,66,1971,3182,13855,29060,1963,4,82,183,482,1213,15930,597,3423,1198,1356,9356
78,PV22  ,2008JJ00,3909,67,634,492,866,1850,2691,39,287,410,888,1067,240,38,32,65,59,46,109,36,14,17,15,27,2656,145,717,451,733,610,2623,143,724,449,722,585,138,18,39,21,37,23,3030,1380,1458,96,56,40,154223,36,1978,3564,16124,132520,99305,22,871,3089,15780,79543,1877,10,22,113,314,1418,23114,291,628,1773,3271,17151,52810,83,2090,3213,13909,33515,48590,81,2124,3194,13723,29468,4219,9,102,159,650,3299,12058,703,2677,650,881,7148
79,PV22  ,2009JJ00,3772,69,596,457,835,1815,2620,43,292,382,863,1040,223,42,28,53,54,46,90,26,13,15,12,24,2639,148,711,444,710,626,2592,148,717,441,695,591,187,15,57,35,48,32,3376,1569,1619,89,55,44,152471,40,1879,3289,15602,131662,98607,20,872,2866,15363,79487,1796,10,20,95,292,1378,19852,176,578,1511,2668,14920,51869,83,2076,3149,13437,33125,48220,83,2097,3128,13245,29668,3649,8,164,247,777,2453,15229,788,2951,603,872,10016
80,PV23  ,2000JJ00,11275,268,2039,2181,4504,2283,7710,445,2982,2178,1716,389,423,120,78,121,74,30,192,100,58,19,10,5,9867,477,2417,1895,4131,947,9805,470,2400,1879,4120,936,147,28,67,24,21,7,8236,5246,2639,208,94,49,218360,148,6163,15637,85298,111115,73346,241,8351,15386,26807,22560,1382,25,52,194,378,733,10234,948,2495,1928,2065,2798,143530,265,6870,13568,76759,46069,139433,260,6833,13462,76534,42342,4097,13,181,162,381,3361,25009,2330,4851,1372,1397,15059
81,PV23  ,2001JJ00,10829,243,1986,2036,4152,2412,7296,378,2646,2100,1742,430,381,111,68,112,58,32,180,93,54,17,9,7,9442,428,2326,1761,3896,1031,9353,412,2305,1740,3884,1012,178,40,64,34,30,10,7486,4562,2558,218,106,42,212927,130,5998,14583,78268,113948,74027,202,7452,14931,27053,24388,1320,22,42,185,284,787,10473,895,2252,1783,1864,3678,137476,231,6637,12591,72643,45373,133096,224,6591,12440,72417,41424,4380,19,172,221,520,3448,20957,2079,4742,1446,1622,11068
82,PV23  ,2002JJ00,10493,245,1959,1912,3784,2593,7040,325,2502,2052,1782,379,388,109,66,115,61,37,174,85,50,20,10,9,9403,487,2345,1670,3704,1197,9341,479,2329,1653,3696,1184,136,29,53,28,14,12,7902,4750,2802,192,116,42,217038,129,5971,13756,72125,125058,72452,193,7178,14839,27765,22477,1621,22,42,196,314,1047,11517,819,2046,2028,1996,4628,142850,269,6762,11995,70307,53517,137896,265,6723,11864,70165,48879,4954,14,148,206,259,4328,19494,2338,5192,1284,1740,8940
83,PV23  ,2003JJ00,10097,249,1880,1781,3558,2629,6849,282,2179,1791,1926,671,376,113,55,108,64,36,168,83,44,18,12,11,8536,488,2210,1539,3262,1037,8458,482,2186,1519,3252,1019,157,29,56,35,20,17,7686,4548,2810,199,95,34,216134,132,5762,12868,67724,129649,87352,168,6284,12971,31995,35934,1580,23,37,189,339,992,12533,847,1746,1694,2509,5738,127076,267,6367,11063,61187,48192,121851,262,6317,10909,61020,43343,5225,17,145,258,371,4435,17868,2256,5184,1347,1368,7713
84,PV23  ,2004JJ00,9956,243,1846,1772,3414,2681,6824,253,2054,1723,1982,812,356,91,60,106,60,39,155,72,42,18,13,10,8188,474,2189,1516,2988,1021,8117,474,2168,1496,2976,1003,158,25,60,31,26,16,7521,4386,2845,175,87,28,218007,131,5625,12760,64799,134692,95568,154,5899,12474,33244,43797,1548,21,39,189,303,996,12651,730,1661,1747,2615,5898,120765,256,6245,10908,55698,47658,115138,256,6198,10759,55501,42425,5627,13,169,224,439,4782,17130,2202,5253,1193,1291,7192
85,PV23  ,2005JJ00,9692,250,1750,1697,3299,2696,6576,247,1931,1718,1977,703,336,77,58,99,64,38,150,71,40,16,13,10,8200,462,2110,1485,3028,1115,8133,460,2097,1459,3019,1098,155,27,57,34,25,12,7561,4419,2869,166,78,29,213020,136,5392,12341,62378,132773,89732,165,5570,12450,32469,39079,1650,17,37,172,333,1091,12569,750,1647,1548,2776,5848,121513,250,6127,10689,56709,47737,118532,248,6084,10503,56535,45162,2981,14,166,243,431,2127,17219,2277,5351,1120,1175,7296
86,PV23  ,2006JJ00,9446,281,1658,1650,3136,2721,6369,243,1958,1780,1784,604,355,90,51,91,81,42,141,64,37,16,11,13,8194,522,2062,1413,2922,1275,8164,521,2066,1404,2909,1264,142,15,65,29,22,11,8183,4688,3178,206,84,27,211232,150,5168,11984,59209,134722,81741,158,5745,12941,29091,33805,1907,20,34,158,432,1263,13235,647,1467,1492,2448,7181,127452,278,6077,10257,55560,55280,124821,276,6094,10181,55273,52997,2631,8,173,194,332,1923,21913,2455,5865,1400,1268,10925
87,PV23  ,2007JJ00,9120,256,1563,1560,2993,2748,6142,240,1810,1698,1810,584,327,76,53,85,70,43,135,55,37,20,9,14,7951,497,1938,1361,2810,1345,7921,498,1939,1362,2799,1323,159,17,64,34,30,14,7966,4381,3261,203,93,28,209663,141,4844,11346,55991,137341,78933,154,5283,12379,29058,32059,1906,16,36,152,362,1340,14360,574,1484,1959,1957,8385,128681,265,5742,9839,53446,59388,125115,265,5752,9835,53227,56036,3566,8,174,240,443,2701,22248,2291,6122,1375,1388,11072
88,PV23  ,2008JJ00,8971,257,1567,1498,2877,2772,6159,215,1798,1673,1894,579,332,80,54,78,70,50,127,53,33,20,7,14,7892,526,1996,1308,2694,1368,7857,534,2002,1299,2684,1338,223,31,86,52,38,16,7676,4641,2827,124,62,22,209918,138,4878,10829,53610,140463,79622,138,5208,12230,30316,31730,2075,18,36,130,379,1512,12629,490,1348,2077,1642,7073,128095,281,5839,9472,51362,61140,123806,287,5864,9399,51218,57038,4289,16,243,363,603,3064,18911,2449,4901,857,937,9767
